f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-52.485,31.746,-122.744,-0.341,0.206,-0.797,0.338,0.285,0.274,-0.990,1.381,-0.344,2.000,12.000,0.000,-0.190,0.103,-0.824,0.295,0.241,0.234,0.268,0.232,0.233,-0.785,0.730,0.210,2.239,2.764,1.887,NearMiss
-117.984,-15.142,-74.932,-0.776,-0.100,-0.493,0.205,0.161,0.255,-0.264,-1.616,-0.517,0.000,2.000,0.000,-0.888,-0.158,-0.339,0.173,0.112,0.229,0.153,0.088,0.199,0.907,2.030,-0.731,2.197,5.920,1.774,NearMiss
-28.938,22.199,-121.361,-0.189,0.145,-0.793,0.489,0.366,0.364,-2.586,2.520,-0.459,6.000,11.000,2.000,0.017,0.037,-0.929,0.437,0.301,0.296,0.409,0.291,0.276,-0.291,0.812,0.892,1.794,3.356,2.918,NearMiss
-89.744,29.744,-75.405,-0.590,0.196,-0.496,0.362,0.245,0.410,-0.614,1.254,-0.825,1.000,3.000,2.000,-0.747,0.301,-0.296,0.306,0.215,0.359,0.282,0.203,0.308,0.863,-0.505,-0.840,2.181,1.925,2.262,NearMiss
-87.775,22.291,-98.813,-0.577,0.147,-0.650,0.318,0.164,0.350,-0.552,1.117,-0.538,0.000,6.000,0.000,-0.619,0.104,-0.586,0.273,0.115,0.329,0.269,0.106,0.329,-0.157,1.140,-0.156,2.377,5.171,1.506,NearMiss
-65.327,61.439,-101.675,-0.430,0.404,-0.669,0.191,0.382,0.189,-0.445,0.945,-0.282,0.000,1.000,0.000,-0.427,0.288,-0.614,0.174,0.337,0.161,0.174,0.330,0.148,-0.123,0.403,-0.378,1.452,1.772,2.055,NearMiss
-93.157,-22.256,-84.152,-0.613,-0.146,-0.554,0.311,0.245,0.374,-0.508,-1.674,-0.675,2.000,2.000,0.000,-0.742,-0.240,-0.369,0.252,0.173,0.323,0.211,0.156,0.271,1.207,1.831,-1.160,3.188,5.618,3.516,NearMiss
-76.418,51.749,-99.748,-0.503,0.340,-0.656,0.324,0.260,0.284,-0.645,0.763,-0.433,2.000,0.000,0.000,-0.524,0.294,-0.680,0.275,0.225,0.248,0.275,0.222,0.247,0.677,0.600,-0.017,3.491,2.250,1.876,NearMiss
-111.539,53.876,-53.217,-0.734,0.354,-0.350,0.166,0.202,0.293,-0.227,0.570,-0.836,0.000,1.000,0.000,-0.772,0.406,-0.224,0.130,0.143,0.234,0.127,0.133,0.201,1.052,-1.111,-1.218,3.234,3.948,2.918,NearMiss
-86.972,-12.666,-89.121,-0.572,-0.083,-0.586,0.388,0.182,0.401,-0.678,-2.187,-0.684,4.000,10.000,0.000,-0.669,-0.126,-0.444,0.319,0.147,0.377,0.313,0.143,0.368,-0.145,0.768,-0.203,3.178,3.172,1.423,NearMiss
-78.048,45.252,-98.782,-0.513,0.298,-0.650,0.300,0.271,0.279,-0.585,0.909,-0.429,2.000,4.000,0.000,-0.514,0.190,-0.694,0.268,0.233,0.254,0.268,0.225,0.252,0.190,0.657,-0.041,1.870,2.262,1.495,NearMiss
-100.172,15.283,-78.860,-0.659,0.101,-0.519,0.389,0.163,0.388,-0.591,1.619,-0.748,2.000,5.000,2.000,-0.769,0.147,-0.321,0.299,0.137,0.336,0.285,0.134,0.285,0.049,-0.591,-0.958,4.423,2.271,2.472,NearMiss
-76.736,45.278,-100.559,-0.502,0.296,-0.657,0.209,0.408,0.172,-0.416,1.377,-0.262,0.000,8.000,0.000,-0.534,0.174,-0.594,0.189,0.368,0.136,0.187,0.362,0.122,0.167,0.295,-1.176,1.584,1.629,3.070,NearMiss
-79.270,16.678,-114.092,-0.522,0.110,-0.751,0.282,0.094,0.254,-0.540,0.854,-0.338,2.000,6.000,0.000,-0.605,0.114,-0.586,0.254,0.061,0.234,0.242,0.061,0.224,0.438,3.076,-0.447,1.531,24.535,2.076,NearMiss
-103.174,56.045,-47.796,-0.679,0.369,-0.314,0.256,0.187,0.405,-0.376,0.508,-1.287,0.000,0.000,11.000,-0.738,0.358,-0.117,0.212,0.141,0.358,0.204,0.140,0.305,0.659,0.207,-0.835,2.063,2.731,1.911,NearMiss
-104.129,-4.301,-75.767,-0.685,-0.028,-0.498,0.243,0.312,0.336,-0.355,-11.038,-0.673,0.000,1.000,0.000,-0.785,-0.046,-0.323,0.208,0.281,0.306,0.185,0.281,0.288,0.843,0.363,-0.429,2.101,1.757,1.496,NearMiss
-115.314,46.515,-58.442,-0.759,0.306,-0.384,0.202,0.303,0.184,-0.266,0.989,-0.480,0.000,3.000,0.000,-0.802,0.225,-0.375,0.176,0.284,0.169,0.170,0.281,0.169,0.451,0.087,-0.055,1.666,1.297,1.383,NearMiss
-98.651,-12.086,-80.915,-0.653,-0.080,-0.536,0.318,0.229,0.377,-0.487,-2.855,-0.703,2.000,7.000,0.000,-0.777,-0.183,-0.349,0.259,0.181,0.332,0.233,0.166,0.280,1.121,1.282,-0.887,2.791,3.776,2.276,NearMiss
-88.389,17.070,-87.801,-0.582,0.112,-0.578,0.314,0.314,0.353,-0.541,2.799,-0.611,0.000,1.000,0.000,-0.716,0.225,-0.345,0.293,0.279,0.341,0.269,0.275,0.333,0.297,0.454,-0.174,1.378,2.130,1.268,NearMiss
-102.341,-2.794,-72.871,-0.673,-0.018,-0.479,0.384,0.183,0.364,-0.571,-9.951,-0.759,4.000,6.000,0.000,-0.852,-0.050,-0.265,0.325,0.127,0.332,0.285,0.117,0.280,1.006,1.407,-0.745,2.297,4.378,1.777,NearMiss
-103.732,79.196,-29.135,-0.682,0.521,-0.192,0.284,0.293,0.221,-0.416,0.563,-1.153,0.000,0.000,2.000,-0.811,0.361,-0.119,0.252,0.277,0.186,0.224,0.266,0.171,0.610,0.359,-0.364,1.817,1.477,2.088,NearMiss
