f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-20.552,35.903,-68.047,-0.203,0.355,-0.674,0.442,0.322,0.372,-2.171,0.906,-0.552,1.000,4.000,0.000,-0.230,0.202,-0.927,0.424,0.273,0.351,0.424,0.234,0.332,-0.050,0.930,0.230,1.213,2.455,1.354,Touching
-13.236,50.950,-70.134,-0.131,0.504,-0.694,0.416,0.365,0.405,-3.176,0.723,-0.584,1.000,2.000,2.000,0.209,0.342,-0.926,0.379,0.293,0.368,0.366,0.262,0.320,-0.576,1.170,0.509,1.861,3.206,1.755,Touching
-21.860,20.820,-65.463,-0.216,0.206,-0.648,0.445,0.420,0.465,-2.057,2.036,-0.718,1.000,1.000,0.000,-0.254,0.207,-0.920,0.408,0.318,0.435,0.407,0.318,0.425,-0.030,0.525,-0.116,1.415,2.441,1.524,Touching
-22.155,45.733,-61.014,-0.219,0.453,-0.604,0.412,0.450,0.324,-1.876,0.995,-0.536,1.000,6.000,0.000,-0.443,0.328,-0.581,0.396,0.351,0.309,0.386,0.336,0.309,0.114,1.024,0.040,1.219,3.048,1.298,Touching
-28.328,46.587,-58.638,-0.283,0.466,-0.586,0.448,0.337,0.382,-1.580,0.724,-0.651,1.000,0.000,0.000,-0.322,0.356,-0.333,0.375,0.265,0.363,0.371,0.238,0.345,0.003,1.226,-0.352,1.624,3.253,1.410,Touching
-31.132,50.111,-47.267,-0.308,0.496,-0.468,0.445,0.347,0.466,-1.444,0.700,-0.995,1.000,6.000,9.000,-0.373,0.468,-0.167,0.379,0.268,0.445,0.372,0.263,0.415,0.063,0.390,-0.337,1.691,2.246,1.309,Touching
-26.112,52.172,-46.742,-0.261,0.522,-0.467,0.435,0.363,0.443,-1.665,0.695,-0.947,1.000,0.000,3.000,-0.388,0.432,-0.245,0.385,0.284,0.424,0.373,0.270,0.413,-0.029,0.974,-0.171,1.590,2.834,1.232,Touching
-39.719,58.516,-42.607,-0.393,0.579,-0.422,0.447,0.326,0.376,-1.136,0.562,-0.892,1.000,0.000,6.000,-0.610,0.459,-0.249,0.412,0.280,0.348,0.373,0.258,0.331,0.459,0.779,-0.391,1.519,2.231,1.436,Touching
-22.679,42.490,-72.902,-0.225,0.421,-0.722,0.389,0.339,0.297,-1.734,0.807,-0.411,1.000,4.000,0.000,-0.314,0.332,-0.895,0.346,0.264,0.279,0.341,0.237,0.269,-0.213,1.046,0.089,1.767,3.257,1.412,Touching
-32.031,55.954,-46.877,-0.320,0.560,-0.469,0.416,0.310,0.430,-1.299,0.554,-0.917,1.000,0.000,4.000,-0.474,0.442,-0.214,0.366,0.255,0.411,0.332,0.240,0.393,0.193,1.034,-0.248,1.788,2.986,1.281,Touching
-31.048,56.562,-51.061,-0.310,0.566,-0.511,0.446,0.330,0.384,-1.438,0.583,-0.752,1.000,0.000,1.000,-0.375,0.469,-0.334,0.371,0.263,0.358,0.364,0.242,0.344,-0.165,0.952,-0.202,1.934,2.827,1.431,Touching
-34.593,7.196,-62.117,-0.343,0.071,-0.615,0.445,0.431,0.462,-1.300,6.050,-0.751,1.000,1.000,2.000,-0.459,0.084,-0.382,0.382,0.377,0.424,0.363,0.377,0.398,0.491,0.412,-0.334,1.840,1.840,1.634,Touching
-26.298,31.947,-64.495,-0.260,0.316,-0.639,0.453,0.435,0.358,-1.741,1.375,-0.560,1.000,3.000,0.000,-0.494,0.189,-0.584,0.407,0.352,0.330,0.374,0.319,0.329,0.276,0.938,0.005,1.792,2.836,1.445,Touching
-28.867,23.943,-64.605,-0.286,0.237,-0.640,0.443,0.436,0.413,-1.549,1.837,-0.646,1.000,3.000,0.000,-0.391,0.239,-0.482,0.388,0.356,0.384,0.376,0.356,0.380,0.214,0.432,-0.133,1.589,2.112,1.535,Touching
-21.989,52.691,-62.936,-0.218,0.522,-0.623,0.407,0.283,0.381,-1.868,0.543,-0.611,1.000,2.000,0.000,-0.314,0.389,-0.819,0.390,0.237,0.353,0.387,0.209,0.344,0.070,0.804,0.264,1.223,3.115,1.419,Touching
-28.334,30.873,-67.052,-0.281,0.306,-0.664,0.447,0.422,0.350,-1.593,1.381,-0.526,1.000,4.000,0.000,-0.402,0.275,-0.715,0.400,0.327,0.330,0.385,0.321,0.330,0.065,0.621,0.103,1.534,2.617,1.363,Touching
-21.075,47.864,-69.535,-0.209,0.474,-0.688,0.407,0.352,0.278,-1.952,0.744,-0.403,1.000,0.000,0.000,-0.270,0.312,-0.558,0.343,0.288,0.264,0.336,0.256,0.259,-0.175,1.045,-0.155,1.792,2.914,1.388,Touching
-32.026,43.033,-55.286,-0.317,0.426,-0.547,0.467,0.461,0.302,-1.472,1.082,-0.551,1.000,3.000,0.000,-0.414,0.492,-0.463,0.416,0.387,0.282,0.401,0.382,0.277,0.013,0.432,-0.034,1.546,2.142,1.379,Touching
-30.343,32.123,-61.809,-0.300,0.318,-0.612,0.457,0.343,0.398,-1.522,1.078,-0.651,1.000,2.000,0.000,-0.502,0.307,-0.717,0.420,0.282,0.376,0.399,0.281,0.374,0.219,0.133,0.095,1.486,2.010,1.368,Touching
