f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-10.945,92.259,-16.297,-0.109,0.923,-0.163,0.152,0.315,0.316,-1.393,0.341,-1.941,6.000,0.000,6.000,-0.132,0.992,-0.093,0.126,0.254,0.281,0.124,0.250,0.279,0.164,-0.691,-0.260,2.352,2.824,1.921,NoTouching
-16.377,61.760,73.716,-0.164,0.618,0.737,0.081,0.190,0.240,-0.497,0.308,0.325,2.000,0.000,0.000,-0.172,0.603,0.815,0.064,0.158,0.205,0.063,0.158,0.196,0.454,0.081,-0.472,2.689,2.125,2.009,NoTouching
-13.207,53.720,80.790,-0.132,0.537,0.808,0.051,0.248,0.178,-0.383,0.462,0.221,0.000,0.000,0.000,-0.134,0.529,0.844,0.042,0.213,0.149,0.042,0.213,0.147,0.363,0.361,-0.457,2.357,2.119,1.950,NoTouching
-17.461,62.030,-38.721,-0.175,0.620,-0.387,0.098,0.272,0.650,-0.563,0.439,-1.680,2.000,0.000,2.000,-0.180,0.536,-0.691,0.070,0.228,0.560,0.070,0.209,0.523,0.512,0.729,0.680,4.486,2.375,2.047,NoTouching
-18.321,77.376,-22.758,-0.183,0.774,-0.228,0.088,0.182,0.524,-0.479,0.235,-2.303,2.000,0.000,2.000,-0.188,0.811,-0.418,0.067,0.151,0.478,0.067,0.147,0.467,0.298,-0.408,0.164,2.986,2.391,1.495,NoTouching
-23.038,82.623,15.016,-0.228,0.818,0.149,0.056,0.126,0.510,-0.245,0.154,3.427,0.000,0.000,1.000,-0.249,0.786,0.297,0.047,0.110,0.457,0.043,0.107,0.442,0.782,0.151,-0.410,2.127,1.984,1.608,NoTouching
-23.076,77.825,51.785,-0.231,0.778,0.518,0.060,0.149,0.278,-0.261,0.191,0.537,0.000,0.000,2.000,-0.232,0.801,0.589,0.050,0.121,0.237,0.050,0.121,0.233,0.505,-0.087,-0.590,2.331,2.297,2.022,NoTouching
-15.234,70.802,-64.493,-0.152,0.708,-0.645,0.061,0.114,0.134,-0.404,0.161,-0.208,2.000,0.000,0.000,-0.143,0.713,-0.699,0.045,0.086,0.114,0.044,0.085,0.107,0.145,0.190,0.876,4.684,3.816,2.946,NoTouching
-16.050,51.166,81.628,-0.161,0.512,0.816,0.040,0.193,0.156,-0.248,0.377,0.192,0.000,0.000,0.000,-0.150,0.542,0.850,0.031,0.159,0.124,0.029,0.157,0.119,-0.743,0.022,-0.891,3.301,2.094,2.862,NoTouching
-12.968,58.814,80.277,-0.130,0.588,0.803,0.021,0.106,0.069,-0.165,0.180,0.086,0.000,0.000,0.000,-0.133,0.585,0.802,0.018,0.087,0.056,0.017,0.087,0.056,0.663,0.001,-0.102,2.783,2.333,2.531,NoTouching
145.576,39.025,-25.436,1.456,0.390,-0.254,0.690,1.378,0.741,0.474,3.531,-2.912,0.000,2.000,9.000,1.372,0.642,-0.260,0.579,1.017,0.597,0.575,0.942,0.597,-0.068,-1.123,0.320,2.183,3.496,2.301,NoTouching
71.803,35.981,-84.280,0.718,0.360,-0.843,0.313,0.532,0.847,0.435,1.479,-1.005,0.000,4.000,3.000,0.720,0.530,-0.881,0.246,0.421,0.709,0.246,0.405,0.707,-0.260,-0.710,-0.254,2.453,3.152,1.975,NoTouching
105.010,108.635,-22.184,1.094,1.132,-0.231,0.413,1.699,1.533,0.377,1.501,-6.632,2.000,2.000,5.000,1.147,1.664,-0.066,0.317,1.291,1.060,0.315,1.136,1.042,-0.858,-1.105,-1.322,3.807,3.440,4.312,NoTouching
132.871,142.284,45.959,1.303,1.395,0.451,0.475,1.960,0.468,0.365,1.405,1.040,0.000,2.000,5.000,1.321,1.558,0.462,0.398,1.421,0.362,0.398,1.417,0.362,-0.061,-0.100,0.273,2.146,3.130,3.433,NoTouching
122.689,127.180,107.255,1.203,1.247,1.052,0.747,1.777,0.927,0.621,1.425,0.881,2.000,2.000,6.000,1.124,1.557,0.815,0.535,1.267,0.716,0.529,1.216,0.690,-0.037,-0.882,0.960,3.825,3.641,3.287,NoTouching
202.454,60.155,109.648,1.985,0.590,1.075,0.897,1.904,0.759,0.452,3.229,0.706,0.000,2.000,2.000,2.070,0.993,0.795,0.737,1.412,0.652,0.735,1.333,0.617,-0.236,-0.986,0.689,2.406,3.537,2.224,NoTouching
193.841,63.065,124.330,1.882,0.612,1.207,0.876,1.888,0.737,0.466,3.084,0.611,2.000,2.000,2.000,2.035,0.906,1.108,0.685,1.355,0.589,0.676,1.301,0.584,-0.715,-0.982,0.070,2.927,3.828,2.503,NoTouching
174.296,95.785,98.508,1.709,0.939,0.966,0.646,1.987,0.569,0.378,2.116,0.590,0.000,2.000,3.000,1.772,1.217,0.922,0.491,1.372,0.423,0.489,1.332,0.421,-0.466,-0.467,0.541,3.061,3.864,3.643,NoTouching
131.061,63.881,123.788,1.394,0.680,1.317,0.664,1.986,1.062,0.476,2.923,0.807,2.000,2.000,3.000,1.236,1.136,1.167,0.536,1.529,0.850,0.521,1.422,0.841,0.362,-0.993,0.683,3.050,3.050,2.840,NoTouching
177.239,105.541,42.316,1.738,1.035,0.415,0.815,1.897,0.667,0.469,1.833,1.607,0.000,2.000,8.000,1.576,1.287,0.483,0.671,1.440,0.497,0.660,1.427,0.495,0.526,-0.348,-0.890,2.664,3.054,5.531,NoTouching
74.683,32.215,-61.192,0.732,0.316,-0.600,0.028,0.046,0.050,0.039,0.146,-0.084,0.000,0.000,0.000,0.733,0.306,-0.612,0.023,0.036,0.036,0.023,0.035,0.034,-0.091,0.528,1.501,3.014,3.782,5.244,NoTouching
72.335,31.774,-63.394,0.709,0.312,-0.622,0.043,0.051,0.072,0.060,0.165,-0.116,0.000,0.000,0.000,0.709,0.309,-0.624,0.035,0.042,0.055,0.035,0.041,0.055,0.077,-0.088,-0.134,2.378,2.786,3.166,NoTouching
67.511,34.562,-68.352,0.662,0.339,-0.670,0.054,0.050,0.065,0.082,0.147,-0.097,0.000,0.000,0.000,0.666,0.347,-0.648,0.045,0.041,0.055,0.045,0.040,0.053,-0.186,-0.344,-0.574,2.536,2.404,2.102,NoTouching
69.510,32.362,-68.578,0.681,0.317,-0.672,0.009,0.014,0.030,0.013,0.044,-0.045,0.000,0.000,0.000,0.682,0.318,-0.663,0.006,0.010,0.019,0.006,0.010,0.016,-0.235,0.402,-2.313,4.499,4.503,7.461,NoTouching
71.272,30.810,-66.561,0.699,0.302,-0.653,0.022,0.029,0.041,0.031,0.096,-0.063,0.000,0.000,0.000,0.697,0.306,-0.655,0.016,0.021,0.031,0.016,0.021,0.031,0.908,-1.323,0.321,4.454,5.791,3.099,NoTouching
66.638,32.138,-70.689,0.653,0.315,-0.693,0.037,0.039,0.061,0.057,0.125,-0.088,0.000,0.000,0.000,0.647,0.321,-0.694,0.029,0.032,0.045,0.028,0.032,0.045,1.180,-0.179,1.296,5.006,2.673,8.258,NoTouching
65.756,31.941,-71.011,0.645,0.313,-0.696,0.024,0.019,0.040,0.037,0.061,-0.058,0.000,0.000,0.000,0.647,0.312,-0.694,0.018,0.015,0.029,0.018,0.015,0.029,0.102,0.289,0.197,3.530,3.759,3.894,NoTouching
65.001,30.222,-72.857,0.637,0.296,-0.714,0.033,0.029,0.036,0.052,0.099,-0.050,0.000,0.000,0.000,0.639,0.298,-0.720,0.023,0.023,0.026,0.023,0.023,0.026,0.951,0.011,0.819,6.540,3.152,4.299,NoTouching
66.592,30.628,-70.266,0.653,0.300,-0.689,0.042,0.031,0.063,0.064,0.104,-0.092,0.000,0.000,0.000,0.648,0.298,-0.698,0.029,0.022,0.046,0.029,0.021,0.046,1.259,0.072,0.731,5.367,5.283,5.366,NoTouching
66.288,31.045,-71.382,0.650,0.304,-0.700,0.012,0.011,0.017,0.018,0.037,-0.025,0.000,0.000,0.000,0.649,0.305,-0.697,0.009,0.008,0.014,0.009,0.008,0.014,0.436,0.864,-0.327,3.988,5.308,2.483,NoTouching
-27.690,46.364,-77.563,-0.274,0.459,-0.768,0.237,0.177,0.146,-0.864,0.385,-0.190,2.000,2.000,0.000,-0.188,0.511,-0.758,0.201,0.138,0.123,0.195,0.129,0.123,-0.158,-0.976,0.273,2.272,3.493,2.431,NoTouching
-19.215,64.615,-74.575,-0.192,0.646,-0.746,0.057,0.073,0.075,-0.294,0.113,-0.101,0.000,0.000,0.000,-0.191,0.665,-0.746,0.045,0.064,0.066,0.045,0.063,0.066,0.183,-0.361,0.057,2.663,1.800,1.808,NoTouching
-4.368,91.813,74.007,-0.044,0.918,0.740,0.214,0.249,0.288,-4.908,0.271,0.390,3.000,0.000,0.000,-0.103,0.914,0.785,0.188,0.181,0.218,0.182,0.180,0.216,0.405,0.756,-0.092,1.863,3.653,3.120,NoTouching
-9.453,71.597,-63.411,-0.095,0.716,-0.634,0.112,0.125,0.096,-1.187,0.175,-0.152,3.000,0.000,0.000,-0.082,0.740,-0.630,0.082,0.093,0.077,0.082,0.090,0.077,0.050,-0.050,0.340,3.108,3.528,2.518,NoTouching
-17.735,81.314,-48.216,-0.177,0.813,-0.482,0.151,0.156,0.159,-0.850,0.192,-0.331,0.000,0.000,0.000,-0.099,0.843,-0.511,0.128,0.113,0.118,0.097,0.106,0.113,-1.194,-0.730,0.255,2.669,3.196,3.247,NoTouching
