f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,class
0.088,0.087,0.093,0.095,0.099,0.103,0.102,0.098,0.097,0.092,0.099,0.101,0.103,0.094,0.081,0.066,0.052,0.026,0.010,-0.112,1.000,1.003,0.998,0.995,0.993,0.990,0.986,-4.436,-0.081,0.047,-0.587,-0.097,0.035,0.032,1.000,1.650,4.874,No Touching
0.762,0.785,0.789,0.766,0.795,0.791,0.782,0.835,0.737,0.690,0.701,0.704,0.549,0.425,0.413,0.419,0.420,0.537,0.541,0.413,1.075,1.047,1.056,1.018,1.042,1.032,1.009,67.189,0.595,0.187,0.315,0.560,0.170,0.168,0.000,0.228,1.638,Touching
0.731,0.648,0.856,0.707,0.460,0.744,0.798,0.809,0.463,0.910,0.829,0.647,0.757,0.784,0.793,0.769,0.780,0.806,0.767,0.426,1.770,1.013,1.104,1.048,0.885,0.989,1.035,43.581,0.389,0.116,0.299,0.395,0.060,0.059,1.000,-4.590,36.333,Touching
0.026,0.335,0.844,0.992,0.953,0.702,0.576,0.624,0.757,0.634,0.809,0.789,0.443,0.909,0.883,0.632,0.771,0.777,0.782,0.424,1.432,1.858,1.693,1.523,1.679,1.133,0.958,65.718,0.582,0.476,0.818,0.419,0.338,0.272,2.000,1.263,4.659,Touching
-0.570,-0.363,-0.206,-0.130,-0.004,0.262,0.767,1.024,0.934,0.785,0.666,0.484,0.660,0.731,0.803,0.786,0.570,0.764,0.895,1.848,0.711,0.460,0.623,0.835,1.282,1.871,1.662,67.884,0.601,0.481,0.801,0.444,0.354,0.305,2.000,1.092,4.295,Touching
-0.730,-0.802,-1.002,-0.949,-0.576,-0.393,-0.244,-0.132,-0.031,0.196,0.685,1.046,0.912,0.742,0.813,0.587,0.481,0.718,0.808,0.267,0.774,0.857,1.054,1.018,0.749,0.478,0.597,62.327,0.552,0.510,0.925,0.391,0.383,0.347,2.000,1.082,3.884,Touching
-0.570,-0.427,-0.592,-0.741,-0.752,-0.946,-0.971,-0.568,-0.358,-0.168,-0.089,0.123,0.636,1.011,0.935,0.600,0.818,0.591,0.572,0.272,0.697,0.565,0.697,0.794,0.791,1.014,1.036,57.175,0.436,0.541,1.239,0.307,0.401,0.377,5.000,1.065,3.793,Touching
-0.625,-0.575,-0.527,-0.592,-0.597,-0.455,-0.465,-0.689,-0.735,-0.756,-0.932,-1.038,-0.650,-0.478,-0.303,-0.135,-0.082,0.099,0.504,-0.126,0.909,0.851,1.004,0.760,0.702,0.573,0.634,24.708,0.217,0.643,2.968,0.093,0.469,0.459,3.000,0.972,3.772,Touching
-1.101,-1.134,-0.840,-0.549,-0.610,-0.554,-0.574,-0.586,-0.433,-0.549,-0.744,-0.752,-0.903,-1.029,-0.584,-0.386,-0.195,-0.108,-0.001,-0.695,1.227,1.191,0.915,0.810,0.870,0.965,0.773,8.859,0.070,0.408,5.842,0.084,0.320,0.319,4.000,-0.118,2.849,Touching
-0.238,-0.491,-0.651,-0.785,-1.033,-1.252,-0.919,-0.713,-0.567,-0.606,-0.579,-0.524,-0.625,-0.498,-0.433,-0.612,-0.744,-0.746,-0.840,0.456,0.992,0.698,0.739,0.888,1.161,1.338,0.974,4.569,0.040,0.408,10.088,0.062,0.329,0.329,4.000,-0.180,2.480,Touching
0.218,0.282,0.168,0.052,-0.192,-0.444,-0.632,-0.759,-0.985,-1.241,-0.970,-0.779,-0.548,-0.619,-0.589,-0.499,-0.628,-0.530,-0.421,0.549,1.192,1.452,1.400,1.378,1.046,0.722,0.720,22.599,0.200,0.519,2.595,0.344,0.458,0.447,1.000,-0.293,1.908,Touching
0.396,0.317,0.256,0.230,0.223,0.262,0.215,0.112,-0.100,-0.364,-0.591,-0.712,-0.896,-1.164,-1.113,-0.868,-0.549,-0.644,-0.560,0.762,1.016,1.004,0.915,0.984,1.159,1.366,1.393,48.138,0.426,0.424,0.994,0.597,0.334,0.309,1.000,-1.073,3.048,No Touching
0.137,0.197,0.285,0.363,0.401,0.331,0.266,0.225,0.230,0.246,0.239,0.131,-0.051,-0.326,-0.565,-0.689,-0.855,-1.123,-1.230,0.662,1.084,0.922,0.920,0.985,0.997,1.043,0.908,77.090,0.682,0.201,0.295,0.680,0.157,0.156,0.000,-0.041,2.541,No Touching
0.163,0.061,0.066,0.156,0.137,0.197,0.285,0.363,0.401,0.331,0.266,0.225,0.230,0.246,0.239,0.131,-0.051,-0.326,-0.553,0.875,1.102,1.111,1.086,1.067,1.084,0.922,0.920,92.780,0.821,0.198,0.242,0.773,0.172,0.170,0.000,-0.119,2.305,No Touching
0.120,0.069,0.096,0.186,0.179,0.099,0.041,0.132,0.153,0.152,0.268,0.334,0.400,0.364,0.281,0.230,0.238,0.224,0.288,1.101,1.066,1.093,1.070,1.079,1.103,1.106,1.100,101.075,0.894,0.189,0.211,0.991,0.176,0.170,0.000,-0.308,1.399,No Touching
0.039,0.063,0.028,0.072,0.126,0.071,0.084,0.184,0.182,0.117,0.035,0.116,0.164,0.138,0.252,0.321,0.397,0.375,0.297,1.053,0.747,0.875,0.938,0.983,1.053,1.097,1.075,105.434,0.933,0.159,0.170,0.997,0.139,0.132,0.000,-0.619,1.985,No Touching
0.042,0.085,0.097,0.064,0.035,0.059,0.035,0.055,0.128,0.077,0.081,0.170,0.181,0.136,0.035,0.097,0.169,0.131,0.228,0.835,1.032,1.058,0.978,0.933,0.753,0.857,0.923,112.057,0.992,0.103,0.104,1.024,0.082,0.078,0.000,-1.015,3.362,No Touching
0.055,0.056,0.054,0.047,0.037,0.078,0.101,0.072,0.034,0.052,0.047,0.041,0.125,0.087,0.081,0.152,0.180,0.151,0.048,1.049,1.052,0.996,0.990,0.976,1.020,1.060,0.993,111.044,0.983,0.094,0.096,0.999,0.072,0.071,0.000,-0.998,3.961,No Touching
0.324,0.276,0.228,0.147,0.064,0.055,0.055,0.052,0.033,0.070,0.102,0.079,0.035,0.046,0.057,0.031,0.115,0.099,0.074,0.958,0.950,1.004,1.063,1.073,1.061,0.994,0.989,108.297,0.958,0.083,0.086,0.979,0.063,0.061,0.000,-1.225,4.188,No Touching
0.269,0.256,0.282,0.283,0.325,0.282,0.246,0.153,0.077,0.053,0.058,0.054,0.032,0.062,0.098,0.085,0.041,0.042,0.068,0.932,0.984,1.020,0.905,1.035,0.975,0.987,1.054,106.977,0.947,0.083,0.088,0.966,0.065,0.062,0.000,-1.088,3.606,No Touching
0.281,0.364,0.353,0.329,0.283,0.254,0.274,0.279,0.323,0.291,0.259,0.162,0.093,0.051,0.060,0.054,0.033,0.055,0.092,0.981,0.931,1.059,1.030,1.032,0.996,1.024,0.891,108.668,0.962,0.061,0.064,0.968,0.049,0.048,0.000,-0.719,2.835,No Touching
0.183,0.281,0.336,0.279,0.258,0.347,0.357,0.332,0.309,0.254,0.267,0.278,0.309,0.311,0.272,0.190,0.127,0.051,0.057,0.948,1.179,0.976,1.061,0.982,0.917,1.037,1.042,108.616,0.961,0.076,0.079,0.966,0.057,0.057,0.000,0.523,4.080,No Touching
0.144,0.116,0.202,0.238,0.183,0.281,0.336,0.279,0.258,0.347,0.357,0.332,0.309,0.254,0.267,0.278,0.309,0.311,0.273,0.934,1.061,0.813,0.795,1.064,1.179,0.976,1.061,106.576,0.943,0.101,0.107,0.955,0.076,0.076,0.000,-0.093,3.702,No Touching
0.186,0.228,0.244,0.233,0.161,0.120,0.160,0.247,0.190,0.237,0.342,0.296,0.257,0.314,0.364,0.345,0.318,0.261,0.260,0.910,0.915,1.024,1.090,1.135,1.104,0.918,0.734,109.020,0.965,0.111,0.115,0.964,0.086,0.086,0.000,-0.206,3.114,No Touching
0.032,0.047,0.109,0.170,0.185,0.219,0.239,0.247,0.169,0.125,0.143,0.243,0.199,0.218,0.335,0.306,0.259,0.297,0.366,0.956,0.983,1.070,1.064,0.980,0.946,0.987,1.094,109.305,0.967,0.112,0.116,0.966,0.088,0.088,0.000,-0.280,3.046,No Touching
0.165,0.207,0.154,0.095,0.038,0.038,0.095,0.171,0.182,0.207,0.237,0.256,0.181,0.129,0.131,0.233,0.211,0.202,0.313,0.991,1.020,1.095,1.093,0.939,0.961,1.072,1.049,110.329,0.976,0.118,0.121,0.989,0.095,0.094,0.000,-0.358,2.826,No Touching
0.218,0.249,0.245,0.211,0.162,0.200,0.176,0.103,0.045,0.032,0.084,0.167,0.180,0.196,0.235,0.259,0.193,0.136,0.114,0.957,1.061,0.977,0.990,1.014,1.028,1.035,1.139,109.967,0.973,0.098,0.100,0.980,0.078,0.078,0.000,-0.275,3.087,No Touching
0.245,0.142,0.190,0.243,0.223,0.235,0.258,0.215,0.162,0.192,0.198,0.106,0.054,0.026,0.076,0.158,0.175,0.189,0.234,0.915,1.101,0.942,0.855,0.944,1.067,0.983,0.983,108.094,0.957,0.084,0.088,0.951,0.067,0.067,0.000,0.178,2.838,No Touching
0.248,0.216,0.256,0.330,0.265,0.153,0.174,0.247,0.225,0.220,0.270,0.216,0.166,0.185,0.212,0.113,0.064,0.025,0.064,0.951,0.885,0.962,1.034,1.094,1.126,0.963,0.855,108.111,0.957,0.088,0.092,0.954,0.071,0.071,0.000,0.161,2.716,No Touching
0.215,0.222,0.296,0.319,0.265,0.210,0.247,0.320,0.285,0.169,0.158,0.247,0.229,0.207,0.278,0.219,0.176,0.177,0.220,0.898,0.939,0.960,1.140,0.979,0.905,0.922,1.037,108.853,0.963,0.091,0.094,0.955,0.074,0.073,0.000,0.331,2.727,No Touching
0.255,0.265,0.248,0.228,0.218,0.217,0.280,0.326,0.279,0.209,0.238,0.306,0.304,0.187,0.146,0.236,0.237,0.203,0.273,0.924,0.942,1.013,1.091,1.007,0.941,0.958,1.116,108.323,0.959,0.083,0.087,0.955,0.068,0.068,0.000,0.293,2.671,No Touching
0.162,0.177,0.207,0.250,0.253,0.266,0.247,0.232,0.218,0.216,0.266,0.329,0.289,0.210,0.232,0.291,0.321,0.206,0.134,0.933,1.065,1.046,0.971,0.986,0.940,0.995,1.092,109.899,0.973,0.081,0.083,0.965,0.063,0.063,0.000,0.400,2.989,No Touching
0.196,0.231,0.210,0.165,0.164,0.165,0.202,0.247,0.251,0.266,0.248,0.236,0.217,0.213,0.259,0.325,0.297,0.216,0.226,1.044,1.020,0.989,1.006,0.928,1.067,1.057,0.970,108.869,0.963,0.079,0.082,0.959,0.060,0.060,0.000,0.275,3.536,No Touching
