f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-0.105,-0.043,-0.980,-0.107,-0.033,-0.981,-0.066,0.043,-1.049,-0.413,0.685,-0.949,-0.672,0.317,-0.310,-0.769,0.132,-0.265,-0.901,0.191,-0.345,-0.916,0.255,-0.277,-0.876,0.246,-0.293,-0.775,0.157,-0.350,Touching
-0.088,-0.162,-0.971,-0.082,-0.151,-1.009,-0.331,0.510,-0.981,-0.703,0.554,-0.361,-0.694,0.358,-0.177,-0.912,0.326,-0.041,-0.916,0.283,-0.017,-1.026,0.192,0.046,-0.958,0.261,0.004,-0.953,0.284,0.010,Touching
-0.111,-0.084,-0.979,-0.095,-0.101,-0.991,-0.335,0.370,-0.994,-0.845,0.818,-0.436,-0.781,0.342,-0.106,-0.874,0.284,-0.082,-0.834,0.189,-0.178,-0.857,0.231,-0.188,-0.848,0.298,-0.220,-0.814,0.389,-0.219,Touching
-0.061,-0.138,-0.974,-0.078,-0.084,-0.982,-0.065,-0.004,-0.997,-0.303,0.613,-0.882,-0.716,0.760,-0.382,-0.632,0.380,-0.214,-0.804,0.353,-0.193,-0.916,0.383,-0.153,-0.833,0.433,-0.151,-0.724,0.550,-0.290,Touching
-0.047,-0.041,-0.988,-0.026,-0.042,-1.019,-0.167,0.478,-0.974,-0.755,0.525,-0.479,-0.688,0.283,-0.397,-0.810,0.398,-0.289,-0.942,0.383,-0.271,-0.856,0.381,-0.286,-0.750,0.435,-0.205,-0.853,0.420,-0.274,Touching
-0.048,-0.069,-0.983,-0.008,-0.091,-1.041,-0.186,0.324,-1.101,-0.716,0.342,-0.684,-0.723,-0.313,-0.346,-0.815,-0.136,-0.377,-0.803,-0.165,-0.290,-0.885,-0.083,-0.435,-0.935,-0.080,-0.474,-0.942,-0.051,-0.497,Touching
-0.041,-0.012,-0.989,-0.013,-0.049,-1.026,-0.213,0.337,-1.001,-0.781,0.692,-0.357,-0.744,0.432,-0.155,-0.759,0.425,-0.063,-1.033,0.412,-0.141,-0.945,0.158,-0.167,-0.699,0.357,-0.094,-1.066,0.585,-0.312,Touching
-0.068,0.487,-0.862,-0.046,0.489,-0.893,-0.124,0.757,-0.662,-0.767,0.881,-0.173,-0.836,0.200,-0.369,-0.802,0.074,-0.293,-0.898,-0.010,-0.280,-0.950,0.002,-0.263,-0.960,-0.081,-0.246,-1.073,-0.159,-0.345,Touching
-0.030,-0.043,-0.999,-0.112,0.058,-1.008,-0.320,0.293,-1.181,-0.664,0.259,-0.686,-0.442,-0.400,-0.298,-0.796,-0.388,-0.478,-0.877,-0.331,-0.336,-0.935,-0.297,-0.119,-0.948,-0.251,-0.135,-0.959,-0.204,-0.116,Touching
-0.027,-0.074,-0.981,0.001,0.073,-1.074,-0.438,0.739,-0.780,-0.681,0.406,-0.276,-0.763,0.346,-0.317,-0.902,0.282,-0.222,-0.899,0.252,-0.237,-0.767,0.209,-0.424,-0.718,0.318,-0.523,-0.602,0.500,-0.765,Touching
-0.028,0.046,-0.985,-0.006,0.064,-1.019,-0.161,0.418,-0.952,-0.771,0.709,-0.263,-0.724,0.438,-0.215,-0.837,0.314,-0.048,-1.083,0.344,-0.040,-0.879,0.220,0.050,-0.893,0.274,-0.053,-1.144,0.394,0.032,Touching
