f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,class
-0.056,0.006,-0.957,-0.069,0.023,-1.017,-0.059,-0.040,-1.000,-0.121,-0.154,-1.136,-0.277,0.168,-0.851,-0.135,0.474,-0.741,-0.121,0.455,-0.847,-0.221,0.134,-1.145,-0.130,0.104,-0.795,0.040,0.328,-1.074,-0.721,0.791,-0.826,-0.979,0.641,-0.480,-0.639,0.248,-0.468,-0.590,-0.025,-0.359,-0.806,0.015,-0.426,-0.909,0.017,-0.383,0.959,0.959,0.960,1.020,1.019,1.019,1.003,1.008,1.019,1.152,1.179,1.181,0.911,0.878,0.983,0.889,-52.485,31.746,-122.744,-0.341,0.206,-0.797,0.338,0.285,0.274,-0.990,1.381,-0.344,-0.190,0.103,-0.824,0.295,0.241,0.234,0.268,0.232,0.233,2.000,12.000,0.000,-0.785,0.730,0.210,2.239,2.764,1.887,NearMiss
-0.433,-0.143,-0.892,-0.445,-0.131,-0.882,-0.409,-0.151,-0.917,-0.513,0.101,-0.824,-0.876,0.365,-0.688,-0.952,0.077,-0.464,-0.788,-0.224,-0.250,-0.803,-0.176,-0.266,-0.872,-0.162,-0.276,-0.929,-0.167,-0.320,-0.908,-0.169,-0.381,-0.923,-0.153,-0.323,-0.918,-0.172,-0.335,-0.922,-0.182,-0.300,-0.920,-0.189,-0.309,-0.929,-0.190,-0.331,1.002,1.007,1.005,0.996,0.981,0.984,1.015,1.062,1.056,0.976,1.207,1.257,1.172,1.230,1.177,1.062,-117.984,-15.142,-74.932,-0.776,-0.100,-0.493,0.205,0.161,0.255,-0.264,-1.616,-0.517,-0.888,-0.158,-0.339,0.173,0.112,0.229,0.153,0.088,0.199,0.000,2.000,0.000,0.907,2.030,-0.731,2.197,5.920,1.774,NearMiss
0.024,-0.178,-0.977,0.126,-0.181,-0.960,0.144,-0.304,-0.922,-0.387,-0.330,-1.093,-0.823,0.246,-1.093,-0.400,0.334,-0.645,0.100,0.307,-0.761,0.308,0.211,-0.881,0.176,-0.025,-0.990,0.055,-0.002,-1.063,0.503,0.082,-1.270,0.063,0.920,-0.693,-1.002,0.194,0.040,-0.810,0.286,-0.412,-0.715,0.489,-0.372,-0.849,0.568,-0.149,0.993,1.001,1.001,0.985,0.987,1.017,0.982,1.045,1.053,1.206,1.407,1.390,1.390,1.190,1.211,0.829,-28.938,22.199,-121.361,-0.189,0.145,-0.793,0.489,0.366,0.364,-2.586,2.520,-0.459,0.017,0.037,-0.929,0.437,0.301,0.296,0.409,0.291,0.276,6.000,11.000,2.000,-0.291,0.812,0.892,1.794,3.356,2.918,NearMiss
-0.030,-0.208,-0.962,-0.026,-0.195,-0.967,0.070,-0.176,-1.085,-0.114,0.019,-1.357,-0.635,0.271,-0.840,-0.636,0.022,-0.235,-0.712,0.107,-0.128,-0.835,0.462,-0.326,-0.862,0.505,-0.254,-0.916,0.367,-0.232,-0.919,0.330,-0.286,-0.878,0.345,-0.111,-0.818,0.268,-0.131,-0.928,0.327,-0.249,-0.609,0.452,-0.319,-0.627,0.393,-0.296,0.984,0.984,0.981,0.987,0.989,0.985,1.102,1.105,1.091,1.362,1.499,1.523,1.087,1.088,1.054,0.679,-89.744,29.744,-75.405,-0.590,0.196,-0.496,0.362,0.245,0.410,-0.614,1.254,-0.825,-0.747,0.301,-0.296,0.306,0.215,0.359,0.282,0.203,0.308,1.000,3.000,2.000,0.863,-0.505,-0.840,2.181,1.925,2.262,NearMiss
-0.186,0.086,-0.964,-0.192,0.092,-0.959,-0.181,0.095,-0.957,-0.189,0.105,-0.939,-0.198,0.251,-0.954,-0.530,0.586,-1.249,-0.758,0.232,-1.001,-0.628,0.051,-0.638,-0.560,-0.091,-0.431,-0.611,0.240,-0.292,-0.781,0.221,-0.229,-0.901,0.027,-0.320,-1.006,0.089,-0.316,-0.928,0.099,-0.302,-0.943,0.144,-0.260,-0.927,0.017,-0.349,0.986,0.987,0.987,0.982,0.980,0.980,0.979,0.980,0.981,0.964,0.966,0.992,1.007,1.120,1.239,1.478,-87.775,22.291,-98.813,-0.577,0.147,-0.650,0.318,0.164,0.350,-0.552,1.117,-0.538,-0.619,0.104,-0.586,0.273,0.115,0.329,0.269,0.106,0.329,0.000,6.000,0.000,-0.157,1.140,-0.156,2.377,5.171,1.506,NearMiss
-0.246,0.102,-0.945,-0.248,0.114,-0.943,-0.228,0.125,-0.936,-0.423,0.256,-0.938,-0.525,0.434,-0.803,-0.370,0.504,-0.614,-0.175,0.858,-0.519,-0.234,0.911,-0.408,-0.244,1.023,-0.448,-0.440,0.980,-0.558,-0.576,0.644,-0.530,-0.617,0.284,-0.558,-0.680,0.076,-0.593,-0.686,-0.054,-0.615,-0.699,-0.084,-0.629,-0.706,-0.148,-0.650,0.982,0.982,0.984,0.981,0.977,0.978,0.971,1.034,1.058,1.060,1.105,1.160,1.053,0.985,1.018,0.876,-65.327,61.439,-101.675,-0.430,0.404,-0.669,0.191,0.382,0.189,-0.445,0.945,-0.282,-0.427,0.288,-0.614,0.174,0.337,0.161,0.174,0.330,0.148,0.000,1.000,0.000,-0.123,0.403,-0.378,1.452,1.772,2.055,NearMiss
-0.132,-0.108,-0.972,-0.130,-0.124,-0.967,-0.060,-0.124,-1.008,-0.213,0.319,-1.367,-0.723,0.463,-0.906,-0.703,-0.006,-0.353,-0.657,-0.234,-0.218,-0.746,-0.261,-0.261,-0.827,-0.260,-0.340,-0.867,-0.294,-0.375,-0.810,-0.261,-0.323,-0.915,-0.367,-0.369,-0.847,-0.249,-0.381,-0.774,-0.308,-0.297,-0.762,-0.339,-0.241,-0.755,-0.368,-0.194,0.987,0.986,0.988,0.983,0.977,0.977,1.017,1.038,1.078,1.420,1.579,1.615,1.248,1.237,1.146,0.787,-93.157,-22.256,-84.152,-0.613,-0.146,-0.554,0.311,0.245,0.374,-0.508,-1.674,-0.675,-0.742,-0.240,-0.369,0.252,0.173,0.323,0.211,0.156,0.271,2.000,2.000,0.000,1.207,1.831,-1.160,3.188,5.618,3.516,NearMiss
-0.178,0.068,-0.967,0.163,0.197,-1.080,-0.350,0.259,-0.956,-0.631,0.309,-0.592,-0.560,0.585,-0.528,-0.316,0.613,-0.725,-0.405,0.437,-0.781,-0.274,0.332,-0.913,-0.192,0.366,-0.919,-0.638,0.781,-0.739,-0.907,0.701,-0.412,-0.790,0.266,-0.277,-0.664,0.050,-0.380,-0.804,0.077,-0.359,-0.904,0.109,-0.285,-0.962,0.137,-0.311,0.985,0.983,1.000,1.110,1.152,1.165,1.050,1.174,1.186,0.919,0.872,1.003,0.967,0.849,0.868,1.000,-76.418,51.749,-99.748,-0.503,0.340,-0.656,0.324,0.260,0.284,-0.645,0.763,-0.433,-0.524,0.294,-0.680,0.275,0.225,0.248,0.275,0.222,0.247,2.000,0.000,0.000,0.677,0.600,-0.017,3.491,2.250,1.876,NearMiss
-0.361,-0.129,-0.927,-0.404,-0.047,-0.946,-0.596,0.197,-0.828,-0.794,0.513,-0.424,-0.892,0.453,-0.167,-0.786,0.342,-0.263,-0.835,0.373,-0.223,-0.878,0.406,-0.144,-0.883,0.370,-0.120,-0.925,0.408,-0.081,-0.794,0.401,-0.231,-0.681,0.456,-0.301,-0.754,0.443,-0.189,-0.756,0.420,-0.132,-0.688,0.633,-0.262,-0.633,0.742,-0.417,1.003,1.019,1.012,1.030,1.119,1.136,1.039,1.164,1.257,1.036,1.113,1.087,1.014,0.922,0.873,0.896,-111.539,53.876,-53.217,-0.734,0.354,-0.350,0.166,0.202,0.293,-0.227,0.570,-0.836,-0.772,0.406,-0.224,0.130,0.143,0.234,0.127,0.133,0.201,0.000,1.000,0.000,1.052,-1.111,-1.218,3.234,3.948,2.918,NearMiss
-0.035,-0.283,-0.939,-0.048,-0.267,-0.945,-0.016,-0.292,-0.909,-0.057,-0.198,-0.992,-0.369,0.034,-1.195,-0.529,0.306,-1.161,-0.556,0.175,-0.827,-0.693,0.021,-0.457,-0.697,0.042,-0.307,-0.763,-0.128,-0.149,-0.839,-0.143,-0.251,-0.860,-0.191,-0.194,-1.113,-0.180,-0.202,-0.958,-0.072,-0.216,-0.967,-0.089,-0.140,-0.977,-0.009,-0.150,0.981,0.982,0.978,0.983,0.982,0.989,0.955,0.957,0.933,1.013,1.077,1.059,1.251,1.307,1.342,1.312,-86.972,-12.666,-89.121,-0.572,-0.083,-0.586,0.388,0.182,0.401,-0.678,-2.187,-0.684,-0.669,-0.126,-0.444,0.319,0.147,0.377,0.313,0.143,0.368,4.000,10.000,0.000,-0.145,0.768,-0.203,3.178,3.172,1.423,NearMiss
