f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.103,-0.108,-0.107,-0.111,-0.057,-0.381,-0.610,-0.703,-0.740,-0.831,-0.916,-0.930,-0.898,-0.891,-0.789,-0.821,Touching
-0.084,-0.089,-0.083,-0.129,-0.541,-0.723,-0.668,-0.719,-0.891,-0.937,-0.908,-0.997,-1.036,-0.968,-0.937,-0.934,Touching
-0.111,-0.111,-0.095,-0.110,-0.602,-0.831,-0.827,-0.782,-0.875,-0.870,-0.815,-0.872,-0.842,-0.854,-0.833,-0.753,Touching
-0.055,-0.077,-0.078,-0.055,-0.086,-0.235,-0.642,-0.729,-0.639,-0.651,-0.826,-0.927,-0.899,-0.869,-0.712,-0.762,Touching
-0.048,-0.046,-0.020,-0.001,-0.394,-0.767,-0.743,-0.673,-0.794,-0.884,-0.948,-0.876,-0.830,-0.710,-0.843,-0.847,Touching
-0.054,-0.039,-0.001,-0.004,-0.428,-0.714,-0.716,-0.734,-0.798,-0.820,-0.797,-0.887,-0.884,-0.928,-0.957,-0.905,Touching
-0.040,-0.044,-0.007,-0.054,-0.433,-0.776,-0.758,-0.757,-0.700,-0.906,-1.048,-1.107,-0.759,-0.664,-0.957,-1.007,Touching
-0.070,-0.066,-0.043,-0.000,-0.321,-0.759,-0.859,-0.827,-0.801,-0.869,-0.888,-0.891,-0.983,-0.974,-1.012,-1.090,Touching
-0.025,-0.052,-0.134,-0.122,-0.556,-0.700,-0.447,-0.471,-0.829,-0.803,-0.857,-0.940,-0.925,-0.950,-0.962,-0.949,Touching
-0.030,-0.034,0.015,-0.150,-0.704,-0.686,-0.649,-0.815,-0.922,-0.886,-0.904,-0.835,-0.705,-0.733,-0.644,-0.509,Touching
-0.025,-0.038,-0.003,0.010,-0.389,-0.758,-0.804,-0.700,-0.780,-0.984,-1.119,-0.930,-0.814,-0.893,-1.069,-1.171,Touching
-0.019,-0.021,-0.003,-0.041,-0.361,-0.759,-0.665,-0.540,-0.557,-0.751,-0.862,-0.848,-0.790,-0.585,-0.664,-0.690,Touching
-0.007,-0.011,-0.003,0.009,-0.095,-0.383,-0.626,-0.601,-0.441,-0.478,-0.818,-0.786,-0.880,-0.813,-0.884,-0.940,Touching
-0.007,0.015,0.029,-0.156,-0.654,-0.707,-0.738,-0.857,-0.773,-0.845,-1.050,-0.947,-0.909,-0.766,-0.869,-0.971,Touching
-0.004,0.003,0.009,0.002,-0.109,-0.463,-0.756,-0.694,-0.737,-0.810,-0.769,-0.753,-0.747,-0.703,-0.677,-0.673,Touching
-0.009,-0.021,0.017,0.039,-0.355,-0.644,-0.552,-0.540,-0.827,-0.804,-0.725,-0.660,-0.720,-0.801,-0.886,-0.718,Touching
0.559,0.502,0.360,0.323,0.316,0.370,0.399,0.438,0.465,0.466,0.462,0.455,0.460,0.454,0.547,0.675,Touching
0.002,-0.009,0.009,-0.007,-0.169,-0.478,-0.679,-0.515,-0.487,-0.634,-0.781,-0.823,-0.780,-0.710,-0.530,-0.506,Touching
-0.017,-0.012,-0.021,-0.017,-0.183,-0.519,-0.667,-0.615,-0.608,-0.620,-0.814,-0.801,-0.789,-0.878,-0.711,-0.609,Touching
-0.022,-0.016,-0.012,0.001,-0.049,-0.302,-0.606,-0.629,-0.602,-0.778,-0.914,-1.005,-0.935,-0.917,-0.874,-0.806,Touching
-0.039,-0.028,-0.029,-0.014,-0.209,-0.590,-0.663,-0.646,-0.786,-0.913,-0.920,-0.896,-0.752,-0.694,-0.679,-0.550,Touching
-0.009,-0.012,-0.000,-0.006,-0.208,-0.556,-0.692,-0.641,-0.771,-0.908,-0.987,-1.056,-0.908,-0.885,-0.874,-0.891,Touching
-0.006,-0.006,0.018,-0.098,-0.467,-0.666,-0.720,-0.680,-0.770,-0.830,-0.899,-0.831,-0.745,-0.746,-0.643,-0.538,Touching
-0.027,-0.018,-0.017,-0.107,-0.487,-0.678,-0.728,-0.754,-0.878,-0.920,-0.964,-1.012,-0.880,-0.907,-0.993,-0.964,Touching
-0.014,-0.008,-0.023,-0.013,-0.242,-0.615,-0.833,-0.479,-0.601,-0.831,-0.922,-0.892,-0.898,-0.809,-0.692,-0.633,Touching
