f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.058,-0.018,-0.037,-0.044,0.148,0.773,0.529,0.258,0.115,0.095,0.253,0.275,0.242,0.261,0.199,0.015,Touching
-0.169,-0.152,-0.162,0.130,0.836,0.544,0.425,0.324,0.354,0.274,0.306,0.192,0.206,0.277,0.260,0.288,Touching
-0.087,-0.079,-0.109,0.052,0.746,0.845,0.495,0.291,0.282,0.255,0.177,0.217,0.240,0.282,0.378,0.411,Touching
-0.150,-0.101,-0.085,-0.079,0.091,0.577,0.942,0.641,0.399,0.350,0.348,0.385,0.383,0.431,0.518,0.524,Touching
-0.020,-0.063,-0.042,0.135,0.764,0.600,0.257,0.294,0.394,0.400,0.368,0.402,0.372,0.435,0.443,0.387,Touching
-0.060,-0.073,-0.105,0.091,0.532,0.408,-0.098,-0.385,-0.108,-0.175,-0.169,-0.099,-0.073,-0.086,-0.064,-0.024,Touching
0.007,-0.039,-0.057,0.193,0.541,0.699,0.478,0.419,0.414,0.466,0.390,0.275,0.081,0.359,0.548,0.389,Touching
0.494,0.476,0.493,0.602,0.898,0.952,0.502,0.085,0.090,0.056,-0.043,-0.004,0.004,-0.062,-0.153,-0.197,Touching
-0.052,0.032,0.046,0.053,0.563,0.320,-0.201,-0.492,-0.451,-0.291,-0.365,-0.268,-0.314,-0.251,-0.207,-0.213,Touching
-0.034,-0.062,0.049,0.520,0.831,0.409,0.312,0.357,0.341,0.192,0.268,0.192,0.257,0.277,0.464,0.563,Touching
0.061,0.052,0.046,0.216,0.598,0.752,0.564,0.390,0.321,0.303,0.366,0.246,0.207,0.287,0.356,0.359,Touching
-0.011,-0.027,-0.024,0.161,0.576,0.808,0.736,0.802,0.577,0.535,0.489,0.525,0.546,0.599,0.915,0.853,Touching
0.052,-0.011,0.009,0.097,0.290,0.603,0.804,0.783,0.727,0.489,0.504,0.506,0.552,0.442,0.415,0.411,Touching
-0.005,-0.059,0.018,0.335,0.693,0.105,-0.268,-0.217,0.012,0.033,-0.029,-0.056,-0.042,0.004,0.045,0.040,Touching
-0.007,-0.035,-0.045,0.016,0.132,0.538,0.393,0.007,-0.219,-0.119,-0.244,-0.357,-0.368,-0.432,-0.383,-0.400,Touching
0.054,0.040,0.045,0.180,0.632,0.500,-0.117,-0.281,-0.203,-0.391,-0.370,-0.365,-0.435,-0.420,-0.355,-0.396,Touching
-0.121,-0.065,-0.099,-0.107,0.031,0.105,-0.022,-0.087,-0.079,0.048,0.100,0.050,-0.026,-0.078,-0.123,-0.084,Touching
-0.029,-0.057,-0.042,0.058,0.397,0.708,0.756,0.722,0.700,0.528,0.602,0.523,0.587,0.613,0.754,0.780,Touching
0.701,0.755,0.711,0.692,0.953,1.088,0.810,0.629,0.401,0.227,0.433,0.426,0.537,0.401,0.567,0.647,Touching
0.207,0.218,0.204,0.218,0.416,0.742,0.867,0.600,0.363,0.328,0.423,0.306,0.357,0.427,0.392,0.465,Touching
0.194,0.240,0.215,0.278,0.696,0.746,0.617,0.363,0.311,0.348,0.382,0.413,0.506,0.607,0.465,0.428,Touching
0.237,0.268,0.247,0.336,0.548,0.759,0.619,0.381,0.369,0.327,0.371,0.394,0.335,0.321,0.261,0.278,Touching
0.163,0.186,0.256,0.340,0.549,0.709,0.722,0.567,0.475,0.395,0.425,0.533,0.609,0.606,0.640,0.632,Touching
0.200,0.218,0.226,0.340,0.657,0.695,0.327,0.203,0.277,0.282,0.268,0.274,0.280,0.244,0.323,0.291,Touching
