f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.977,-0.984,-0.980,-0.992,-1.127,-1.004,-0.515,-0.250,-0.258,-0.304,-0.340,-0.304,-0.272,-0.293,-0.346,-0.250,Touching
-0.968,-0.977,-1.008,-1.087,-0.814,-0.325,-0.295,-0.123,-0.002,-0.086,-0.009,0.034,0.054,-0.007,0.019,-0.046,Touching
-0.978,-0.979,-0.992,-1.076,-0.865,-0.463,-0.171,-0.085,-0.100,-0.047,-0.244,-0.163,-0.204,-0.215,-0.226,-0.223,Touching
-0.971,-0.979,-0.984,-0.967,-1.035,-0.939,-0.564,-0.309,-0.224,-0.198,-0.193,-0.169,-0.127,-0.120,-0.291,-0.236,Touching
-0.991,-0.984,-1.020,-1.075,-0.828,-0.489,-0.438,-0.346,-0.303,-0.282,-0.255,-0.278,-0.281,-0.194,-0.249,-0.293,Touching
-0.983,-0.985,-1.049,-1.128,-1.049,-0.724,-0.387,-0.342,-0.400,-0.321,-0.260,-0.434,-0.430,-0.474,-0.509,-0.448,Touching
-0.993,-0.978,-1.035,-1.141,-0.807,-0.380,-0.175,-0.134,-0.019,-0.172,-0.112,-0.120,-0.161,-0.084,-0.259,-0.346,Touching
-0.861,-0.860,-0.898,-0.893,-0.443,-0.125,-0.258,-0.395,-0.240,-0.381,-0.248,-0.255,-0.260,-0.226,-0.318,-0.393,Touching
-0.990,-1.006,-0.990,-1.161,-1.167,-0.723,-0.376,-0.262,-0.484,-0.478,-0.298,-0.099,-0.209,-0.108,-0.097,-0.150,Touching
-0.987,-0.991,-1.074,-1.040,-0.502,-0.253,-0.360,-0.279,-0.193,-0.252,-0.233,-0.334,-0.501,-0.477,-0.708,-0.869,Touching
-0.991,-0.982,-1.017,-1.096,-0.741,-0.280,-0.143,-0.243,-0.045,-0.080,-0.000,0.045,0.011,-0.067,0.019,-0.005,Touching
-0.987,-1.000,-1.018,-1.068,-0.804,-0.525,-0.203,-0.205,-0.185,0.038,0.036,0.038,-0.002,-0.150,-0.241,-0.191,Touching
-0.992,-0.985,-0.991,-1.027,-0.992,-0.889,-0.632,-0.324,-0.295,-0.242,-0.186,-0.169,-0.161,-0.237,-0.151,-0.044,Touching
-0.996,-1.028,-1.113,-1.083,-0.810,-0.367,-0.291,-0.340,-0.301,-0.389,-0.501,-0.407,-0.321,-0.349,-0.384,-0.392,Touching
-0.990,-0.985,-0.998,-1.052,-1.204,-1.071,-0.689,-0.462,-0.520,-0.420,-0.457,-0.429,-0.401,-0.446,-0.471,-0.468,Touching
-0.992,-0.980,-1.031,-1.170,-1.119,-0.775,-0.413,-0.376,-0.407,-0.454,-0.496,-0.565,-0.476,-0.461,-0.441,-0.574,Touching
-0.757,-0.766,-0.753,-0.781,-0.869,-0.940,-0.905,-0.893,-0.885,-0.910,-0.848,-0.782,-0.868,-0.906,-0.844,-0.757,Touching
-0.996,-0.979,-1.003,-1.025,-1.025,-0.823,-0.366,-0.230,-0.230,-0.070,-0.024,0.003,-0.077,-0.146,-0.366,-0.310,Touching
-0.699,-0.655,-0.718,-0.729,-0.621,-0.451,-0.247,-0.150,-0.222,-0.318,-0.215,-0.228,-0.308,-0.217,-0.134,-0.351,Touching
-0.967,-0.967,-0.973,-0.971,-0.984,-0.872,-0.508,-0.267,-0.240,-0.143,-0.076,0.046,0.013,-0.001,0.037,0.007,Touching
-0.968,-0.963,-0.979,-1.034,-0.906,-0.553,-0.287,-0.271,-0.228,-0.153,-0.103,-0.134,-0.217,-0.277,-0.383,-0.607,Touching
-0.964,-0.959,-0.986,-1.012,-0.904,-0.594,-0.318,-0.263,-0.168,-0.095,-0.009,-0.006,0.008,0.027,-0.016,-0.045,Touching
-0.978,-0.973,-1.034,-1.012,-0.774,-0.361,-0.113,-0.060,0.017,-0.007,0.046,-0.030,-0.076,-0.198,-0.359,-0.487,Touching
-0.973,-0.972,-1.010,-1.061,-0.853,-0.456,-0.274,-0.210,-0.172,-0.123,-0.088,-0.077,-0.083,-0.046,-0.090,-0.036,Touching
-0.975,-0.968,-0.978,-1.053,-0.922,-0.729,-0.366,-0.057,-0.001,-0.085,-0.138,-0.099,-0.042,-0.139,-0.192,-0.302,Touching
-0.774,-0.752,-0.853,-0.847,-0.625,-0.319,-0.096,-0.115,-0.256,-0.286,-0.492,-0.305,-0.428,-0.304,-0.455,-0.668,Touching
-0.956,-0.951,-0.970,-0.969,-1.023,-0.871,-0.724,-0.555,-0.387,-0.386,-0.326,-0.282,-0.207,-0.331,-0.315,-0.313,Touching
-0.971,-0.987,-1.027,-0.954,-0.679,-0.366,-0.210,-0.134,-0.048,-0.005,0.070,0.016,0.015,-0.001,-0.159,-0.235,Touching
-0.981,-0.987,-1.017,-1.036,-0.741,-0.387,-0.324,-0.327,-0.293,-0.325,-0.315,-0.219,-0.131,-0.232,-0.270,-0.219,Touching
