f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,class
-0.292,-0.120,-0.939,-0.286,-0.109,-0.929,-0.293,-0.098,-0.929,-0.239,-0.086,-0.862,-0.220,-0.002,-0.800,-0.345,0.133,-0.761,-0.398,0.370,-0.916,-0.392,0.400,-0.939,-0.344,0.563,-0.827,-0.276,0.769,-0.656,-0.357,0.852,-0.480,-0.402,0.882,-0.385,-0.383,0.827,-0.240,-0.397,0.839,-0.086,-0.350,0.887,-0.042,-0.331,0.949,-0.055,-0.286,0.982,-0.041,-0.276,1.012,-0.018,-0.266,0.968,0.011,0.133,-0.761,-0.398,NoTouching
-0.389,0.710,-0.058,-0.344,0.914,-0.207,-0.325,0.872,-0.246,-0.405,0.950,-0.015,-0.473,0.950,0.052,-0.524,0.801,-0.127,-0.488,0.711,-0.160,-0.361,0.815,-0.057,-0.257,1.059,0.209,-0.298,1.014,0.442,-0.424,0.851,0.613,-0.435,0.600,0.695,-0.474,0.525,0.719,-0.411,0.593,0.549,-0.421,0.884,0.490,-0.340,0.764,0.446,-0.381,0.879,0.425,-0.396,0.762,0.451,-0.436,0.635,0.598,0.801,-0.127,-0.488,NoTouching
-0.392,0.701,0.680,-0.398,0.750,0.602,-0.392,0.770,0.518,-0.444,0.807,0.449,-0.532,0.756,0.375,-0.574,0.853,0.315,-0.556,0.788,0.143,-0.542,0.805,0.017,-0.511,0.791,-0.074,-0.534,0.722,-0.036,-0.563,0.677,0.016,-0.621,0.703,0.251,-0.603,0.740,0.283,-0.471,0.835,0.238,-0.399,0.985,0.221,-0.397,0.858,0.291,-0.423,0.780,0.435,-0.462,0.641,0.642,-0.516,0.559,0.785,0.853,0.315,-0.556,NoTouching
-0.374,0.675,0.633,-0.377,0.641,0.687,-0.406,0.578,0.881,-0.394,0.836,0.625,-0.307,0.637,0.139,-0.239,0.910,-0.060,-0.343,0.967,0.220,-0.373,0.817,0.504,-0.359,0.669,0.646,-0.356,0.560,0.771,-0.348,0.604,0.763,-0.339,0.738,0.672,-0.338,0.833,0.550,-0.332,0.895,0.539,-0.348,0.919,0.496,-0.438,0.911,0.566,-0.551,0.905,0.462,-0.485,0.549,0.140,-0.524,0.692,-0.010,0.910,-0.060,-0.343,NoTouching
-0.548,0.787,-0.145,-0.580,0.858,0.208,-0.552,0.857,0.408,-0.457,0.787,0.433,-0.452,0.682,0.616,-0.451,0.668,0.726,-0.456,0.728,0.747,-0.455,0.601,0.698,-0.465,0.529,0.636,-0.441,0.676,0.563,-0.385,0.790,0.407,-0.366,0.863,0.328,-0.427,0.796,0.447,-0.565,0.709,0.606,-0.740,0.784,0.575,-0.803,0.646,0.461,-0.781,0.518,0.339,-0.629,0.608,0.399,-0.384,0.614,0.438,0.668,0.726,-0.456,NoTouching
-0.397,0.463,-0.777,-0.389,0.412,-0.722,-0.426,0.341,-0.653,-0.354,0.543,-0.710,-0.422,0.833,-0.611,-0.485,0.740,-0.460,-0.380,0.373,-0.532,-0.234,0.704,-0.720,-0.378,0.580,-0.893,-0.389,0.470,-0.819,-0.344,0.345,-0.819,-0.319,0.392,-0.853,-0.302,0.398,-0.804,-0.307,0.406,-0.854,-0.347,0.432,-0.866,-0.349,0.410,-0.857,-0.327,0.347,-0.872,-0.329,0.341,-0.857,-0.382,0.411,-0.810,0.740,-0.460,-0.380,NoTouching
-0.409,0.807,-0.331,-0.363,0.636,-0.551,-0.448,0.613,-0.592,-0.594,0.635,-0.531,-0.372,0.664,-0.607,-0.437,0.591,-0.320,-0.506,0.923,0.110,-0.442,1.056,0.287,-0.421,0.872,0.346,-0.315,1.000,0.440,-0.330,0.736,0.631,-0.391,0.605,0.397,-0.430,0.695,0.363,-0.491,0.755,0.309,-0.541,0.767,0.529,-0.483,0.812,0.561,-0.467,0.703,0.580,-0.463,0.622,0.651,-0.472,0.620,0.614,0.591,-0.320,-0.506,NoTouching
-0.461,0.733,0.492,-0.510,0.659,0.548,-0.497,0.589,0.644,-0.475,0.474,0.670,-0.503,0.456,0.725,-0.543,0.428,0.787,-0.553,0.383,0.818,-0.530,0.642,0.661,-0.460,0.669,0.488,-0.367,0.832,0.265,-0.443,0.787,0.457,-0.517,0.639,0.623,-0.519,0.477,0.688,-0.528,0.440,0.722,-0.526,0.478,0.733,-0.522,0.518,0.700,-0.510,0.477,0.713,-0.476,0.628,0.634,-0.501,0.727,0.569,0.428,0.787,-0.553,NoTouching
-0.569,0.914,0.494,-0.534,0.518,0.097,-0.468,0.685,-0.248,-0.322,0.507,-0.903,-0.152,0.247,-1.166,-0.252,0.302,-1.043,-0.409,0.394,-0.767,-0.461,0.514,-0.742,-0.449,0.525,-0.721,-0.418,0.407,-0.766,-0.404,0.361,-0.837,-0.415,0.339,-0.854,-0.439,0.354,-0.783,-0.414,0.386,-0.800,-0.421,0.353,-0.790,-0.422,0.388,-0.824,-0.416,0.391,-0.788,-0.413,0.402,-0.779,-0.355,0.377,-0.828,0.302,-1.043,-0.409,NoTouching
-0.547,0.445,-0.443,-0.307,0.411,-0.816,-0.308,0.296,-0.916,-0.436,0.298,-0.832,-0.472,0.459,-0.716,-0.439,0.476,-0.664,-0.389,0.393,-0.762,-0.353,0.438,-0.818,-0.343,0.515,-0.760,-0.375,0.589,-0.732,-0.447,0.734,-0.712,-0.534,0.697,-0.787,-0.521,0.501,-0.769,-0.510,0.348,-0.674,-0.457,0.422,-0.666,-0.379,0.349,-0.695,-0.338,0.403,-0.796,-0.444,0.368,-0.845,-0.496,0.435,-0.736,0.476,-0.664,-0.389,NoTouching
2.110,2.424,-0.513,1.821,1.820,-0.009,1.859,1.261,0.317,1.550,1.027,0.087,1.289,-0.306,0.590,0.970,-3.294,2.069,1.726,-1.321,0.716,2.679,1.934,0.186,2.435,2.248,0.966,1.757,1.808,0.798,2.203,3.537,-0.451,2.894,4.561,-0.710,2.334,2.398,0.111,1.705,1.323,0.230,1.404,1.636,-0.190,1.024,0.828,-0.229,1.257,-2.055,2.260,1.001,-2.187,1.398,2.280,0.620,0.129,-3.294,2.069,1.726,NoTouching
2.175,1.754,0.758,1.677,1.464,0.119,1.398,-0.609,1.435,0.978,-2.969,2.160,1.599,-0.452,0.457,2.299,1.778,0.188,2.333,1.626,0.949,1.589,1.455,1.214,2.342,2.898,1.055,2.093,4.569,1.119,1.836,2.651,0.994,2.331,1.813,1.010,2.268,1.900,0.352,1.873,1.254,-0.180,1.249,-1.216,2.253,0.941,-3.004,2.516,1.935,0.048,0.106,2.452,1.666,0.490,2.035,1.776,0.860,1.778,0.188,2.333,NoTouching
