f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
-48.524,78.219,-79.190,0.050,0.393,0.351,0.050,0.380,0.343,0.000,1.000,1.000,0.242,-0.413,0.253,2.338,1.493,1.374,NoTouching
-60.223,121.657,37.955,0.056,0.143,0.306,0.056,0.143,0.299,0.000,0.000,3.000,0.403,0.059,-0.154,2.811,2.165,1.537,NoTouching
-74.123,115.623,48.422,0.068,0.076,0.201,0.068,0.074,0.201,0.000,0.000,4.000,-0.072,-0.093,0.110,1.816,3.730,2.168,NoTouching
-57.310,114.006,73.808,0.054,0.143,0.219,0.051,0.143,0.206,0.000,0.000,5.000,-0.587,0.097,-0.744,4.557,2.833,2.488,NoTouching
-79.104,107.408,70.674,0.108,0.097,0.161,0.098,0.097,0.161,0.000,0.000,1.000,-0.899,0.000,-1.228,2.745,2.174,5.112,NoTouching
-54.487,71.107,-115.103,0.050,0.116,0.104,0.050,0.105,0.096,0.000,0.000,0.000,-0.209,1.979,1.126,3.250,7.169,3.413,NoTouching
-66.514,112.287,22.455,0.060,0.147,0.410,0.060,0.146,0.372,0.000,0.000,1.000,-0.181,0.328,-0.658,3.341,4.791,1.875,NoTouching
-75.017,87.573,94.913,0.035,0.121,0.105,0.033,0.119,0.100,0.000,0.000,0.000,1.555,0.509,-1.164,5.828,2.342,4.090,NoTouching
-61.147,66.146,-102.739,0.061,0.111,0.260,0.059,0.103,0.215,0.000,0.000,0.000,1.008,2.201,1.835,5.108,10.038,5.861,NoTouching
-63.768,67.761,-111.651,0.070,0.105,0.081,0.070,0.104,0.080,0.000,0.000,0.000,-0.216,0.618,0.636,2.473,3.045,4.411,NoTouching
272.095,145.466,61.925,0.508,1.553,0.683,0.507,1.486,0.656,0.000,4.000,13.000,0.242,-0.348,0.748,2.348,3.496,3.562,NoTouching
281.200,145.447,141.990,0.437,1.493,0.629,0.430,1.331,0.624,0.000,4.000,8.000,-0.785,-0.611,1.095,3.161,3.487,4.111,NoTouching
248.319,128.171,78.195,0.440,1.452,0.816,0.439,1.304,0.808,0.000,4.000,9.000,0.149,-0.443,0.170,3.030,4.179,4.774,NoTouching
223.129,126.864,82.865,0.485,1.442,0.815,0.483,1.353,0.793,0.000,3.000,6.000,0.505,-0.274,0.588,3.201,3.628,3.392,NoTouching
241.087,287.047,93.771,0.367,1.214,0.433,0.361,1.214,0.433,0.000,3.000,6.000,-0.368,-0.569,1.209,2.449,4.233,5.407,NoTouching
242.387,214.835,107.196,0.424,1.450,0.748,0.424,1.441,0.736,0.000,3.000,11.000,0.645,-0.258,0.758,3.465,3.850,4.466,NoTouching
273.270,132.701,118.360,0.400,1.598,0.450,0.400,1.473,0.450,0.000,4.000,11.000,-0.073,-0.539,0.401,3.606,4.155,3.830,NoTouching
236.527,146.629,101.357,0.441,1.505,0.542,0.438,1.352,0.520,0.000,4.000,6.000,0.401,-0.630,1.201,2.794,3.584,4.117,NoTouching
250.702,193.741,79.143,0.622,1.515,0.604,0.615,1.417,0.571,0.000,3.000,14.000,0.334,-0.501,1.133,2.118,3.377,4.415,NoTouching
235.689,268.736,56.020,0.435,1.175,0.464,0.420,1.174,0.463,0.000,2.000,12.000,0.932,0.514,-1.203,3.768,6.922,11.264,NoTouching
-14.437,18.885,-147.299,0.040,0.171,0.040,0.040,0.169,0.039,2.000,3.000,0.000,-0.189,-0.448,0.156,2.835,2.409,3.952,NoTouching
-17.786,40.380,-145.127,0.066,0.066,0.045,0.065,0.066,0.045,10.000,0.000,0.000,0.314,-0.471,-0.373,3.109,2.823,3.929,NoTouching
-19.674,42.207,-144.018,0.038,0.058,0.040,0.037,0.058,0.040,6.000,0.000,0.000,-1.579,-0.282,0.074,14.030,2.704,6.204,NoTouching
-15.680,31.857,-147.712,0.052,0.099,0.038,0.050,0.098,0.037,8.000,6.000,0.000,0.949,-0.164,-0.980,4.591,2.802,7.119,NoTouching
-18.837,35.658,-145.308,0.029,0.037,0.033,0.029,0.036,0.033,3.000,0.000,0.000,0.787,0.133,-0.178,7.180,3.956,5.910,NoTouching
-19.465,35.435,-145.689,0.043,0.082,0.057,0.042,0.082,0.057,4.000,8.000,0.000,0.787,-1.125,-0.794,6.655,5.749,5.698,NoTouching
-20.552,42.440,-143.601,0.029,0.041,0.033,0.029,0.041,0.033,2.000,0.000,0.000,0.233,-0.234,-0.087,5.103,3.038,3.468,NoTouching
-20.890,34.891,-144.885,0.047,0.051,0.037,0.046,0.050,0.037,4.000,0.000,0.000,-2.871,0.188,-0.248,26.994,3.921,4.901,NoTouching
-20.146,36.559,-146.330,0.039,0.054,0.046,0.038,0.054,0.046,4.000,0.000,0.000,1.314,0.125,-0.102,7.399,4.342,3.747,NoTouching
-22.160,45.824,-143.546,0.013,0.026,0.018,0.013,0.026,0.018,0.000,0.000,0.000,0.570,0.441,-0.523,6.457,4.066,4.802,NoTouching
-78.161,119.858,6.133,0.155,0.116,0.150,0.154,0.115,0.150,0.000,0.000,1.000,0.006,0.242,0.052,1.647,2.146,1.541,NoTouching
-82.742,111.257,7.698,0.082,0.216,0.250,0.082,0.215,0.242,0.000,0.000,4.000,-0.113,-0.081,-0.376,3.277,1.947,2.353,NoTouching
-71.559,95.702,-62.970,0.123,0.273,0.199,0.118,0.272,0.192,0.000,0.000,0.000,-0.804,-0.021,-0.956,3.056,1.910,3.026,NoTouching
-58.275,72.231,-104.765,0.105,0.243,0.170,0.094,0.225,0.170,0.000,2.000,0.000,-0.711,-0.538,-0.036,2.063,2.163,2.189,NoTouching
-50.858,57.915,-124.623,0.076,0.119,0.078,0.075,0.114,0.078,0.000,0.000,0.000,-0.652,-0.591,-0.230,3.401,2.889,3.155,NoTouching
-57.232,127.327,-26.492,0.026,0.099,0.277,0.025,0.095,0.270,0.000,0.000,3.000,-0.990,-0.455,-0.260,3.939,3.559,1.504,NoTouching
-49.569,107.298,-41.996,0.045,0.203,0.432,0.042,0.191,0.431,0.000,0.000,1.000,0.774,-0.451,-0.078,3.936,1.540,1.275,NoTouching
-66.219,121.124,21.782,0.065,0.173,0.241,0.059,0.170,0.235,0.000,0.000,2.000,-1.765,0.262,-0.459,7.479,7.656,2.337,NoTouching
-38.015,47.863,-133.702,0.054,0.096,0.045,0.053,0.091,0.045,0.000,0.000,0.000,-0.111,-0.819,-0.527,1.875,2.878,2.996,NoTouching
-40.828,82.169,-117.145,0.014,0.050,0.030,0.014,0.049,0.029,0.000,0.000,0.000,0.152,-0.397,0.897,3.680,4.499,10.335,NoTouching
54.903,113.331,24.915,0.319,0.328,0.566,0.319,0.327,0.564,16.000,6.000,13.000,0.293,-0.518,0.151,3.180,3.924,2.041,NoTouching
56.005,105.627,50.230,0.334,0.290,0.596,0.333,0.287,0.596,12.000,6.000,12.000,0.203,-0.269,0.235,2.791,4.423,2.230,NoTouching
49.523,90.361,94.624,0.356,0.243,0.411,0.356,0.242,0.405,14.000,4.000,7.000,0.108,0.376,-0.516,2.887,4.599,2.776,NoTouching
42.163,111.362,87.870,0.413,0.220,0.494,0.409,0.219,0.493,21.000,0.000,12.000,0.429,0.514,-0.152,2.571,3.062,2.078,NoTouching
38.225,101.222,93.797,0.444,0.220,0.483,0.444,0.220,0.482,19.000,6.000,14.000,0.154,-0.384,-0.077,2.527,4.002,2.192,NoTouching
36.324,97.959,96.559,0.464,0.274,0.519,0.463,0.273,0.514,14.000,6.000,8.000,0.266,0.196,-0.457,2.949,3.357,2.904,NoTouching
44.647,107.871,17.757,0.391,0.367,0.667,0.390,0.365,0.661,27.000,8.000,10.000,0.441,-0.925,0.196,3.043,4.873,1.846,NoTouching
47.075,68.604,-19.480,0.373,0.612,0.622,0.372,0.597,0.588,16.000,11.000,9.000,0.070,-0.374,0.919,2.870,2.461,4.250,NoTouching
53.052,92.864,-11.291,0.341,0.488,0.640,0.338,0.487,0.630,14.000,10.000,9.000,0.294,-0.098,0.505,3.740,2.771,2.145,NoTouching
94.069,83.718,-31.750,0.460,0.364,0.340,0.460,0.363,0.337,4.000,8.000,9.000,0.511,0.849,-1.112,2.649,4.895,4.948,NoTouching
-52.485,31.746,-122.744,0.295,0.241,0.234,0.268,0.232,0.233,2.000,12.000,0.000,-0.785,0.730,0.210,2.239,2.764,1.887,NearMiss
-117.984,-15.142,-74.932,0.173,0.112,0.229,0.153,0.088,0.199,0.000,2.000,0.000,0.907,2.030,-0.731,2.197,5.920,1.774,NearMiss
-28.938,22.199,-121.361,0.437,0.301,0.296,0.409,0.291,0.276,6.000,11.000,2.000,-0.291,0.812,0.892,1.794,3.356,2.918,NearMiss
-89.744,29.744,-75.405,0.306,0.215,0.359,0.282,0.203,0.308,1.000,3.000,2.000,0.863,-0.505,-0.840,2.181,1.925,2.262,NearMiss
-87.775,22.291,-98.813,0.273,0.115,0.329,0.269,0.106,0.329,0.000,6.000,0.000,-0.157,1.140,-0.156,2.377,5.171,1.506,NearMiss
-65.327,61.439,-101.675,0.174,0.337,0.161,0.174,0.330,0.148,0.000,1.000,0.000,-0.123,0.403,-0.378,1.452,1.772,2.055,NearMiss
-93.157,-22.256,-84.152,0.252,0.173,0.323,0.211,0.156,0.271,2.000,2.000,0.000,1.207,1.831,-1.160,3.188,5.618,3.516,NearMiss
-76.418,51.749,-99.748,0.275,0.225,0.248,0.275,0.222,0.247,2.000,0.000,0.000,0.677,0.600,-0.017,3.491,2.250,1.876,NearMiss
-111.539,53.876,-53.217,0.130,0.143,0.234,0.127,0.133,0.201,0.000,1.000,0.000,1.052,-1.111,-1.218,3.234,3.948,2.918,NearMiss
-86.972,-12.666,-89.121,0.319,0.147,0.377,0.313,0.143,0.368,4.000,10.000,0.000,-0.145,0.768,-0.203,3.178,3.172,1.423,NearMiss
-78.048,45.252,-98.782,0.268,0.233,0.254,0.268,0.225,0.252,2.000,4.000,0.000,0.190,0.657,-0.041,1.870,2.262,1.495,NearMiss
-100.172,15.283,-78.860,0.299,0.137,0.336,0.285,0.134,0.285,2.000,5.000,2.000,0.049,-0.591,-0.958,4.423,2.271,2.472,NearMiss
-76.736,45.278,-100.559,0.189,0.368,0.136,0.187,0.362,0.122,0.000,8.000,0.000,0.167,0.295,-1.176,1.584,1.629,3.070,NearMiss
-79.270,16.678,-114.092,0.254,0.061,0.234,0.242,0.061,0.224,2.000,6.000,0.000,0.438,3.076,-0.447,1.531,24.535,2.076,NearMiss
-103.174,56.045,-47.796,0.212,0.141,0.358,0.204,0.140,0.305,0.000,0.000,11.000,0.659,0.207,-0.835,2.063,2.731,1.911,NearMiss
-104.129,-4.301,-75.767,0.208,0.281,0.306,0.185,0.281,0.288,0.000,1.000,0.000,0.843,0.363,-0.429,2.101,1.757,1.496,NearMiss
-115.314,46.515,-58.442,0.176,0.284,0.169,0.170,0.281,0.169,0.000,3.000,0.000,0.451,0.087,-0.055,1.666,1.297,1.383,NearMiss
-98.651,-12.086,-80.915,0.259,0.181,0.332,0.233,0.166,0.280,2.000,7.000,0.000,1.121,1.282,-0.887,2.791,3.776,2.276,NearMiss
-88.389,17.070,-87.801,0.293,0.279,0.341,0.269,0.275,0.333,0.000,1.000,0.000,0.297,0.454,-0.174,1.378,2.130,1.268,NearMiss
-102.341,-2.794,-72.871,0.325,0.127,0.332,0.285,0.117,0.280,4.000,6.000,0.000,1.006,1.407,-0.745,2.297,4.378,1.777,NearMiss
-103.732,79.196,-29.135,0.252,0.277,0.186,0.224,0.266,0.171,0.000,0.000,2.000,0.610,0.359,-0.364,1.817,1.477,2.088,NearMiss
-76.906,73.545,-62.268,0.204,0.230,0.468,0.199,0.213,0.453,0.000,0.000,4.000,-0.331,0.914,0.203,1.960,2.751,1.347,NearMiss
-91.490,74.602,-57.736,0.226,0.188,0.398,0.222,0.176,0.366,0.000,0.000,9.000,0.137,0.716,-0.379,1.490,2.126,1.363,NearMiss
-81.483,28.269,-98.581,0.241,0.264,0.293,0.241,0.260,0.272,0.000,1.000,0.000,-0.270,0.577,0.368,1.486,2.903,1.284,NearMiss
-93.817,45.621,-77.090,0.243,0.103,0.392,0.240,0.100,0.389,0.000,0.000,5.000,-0.713,0.520,0.203,4.351,3.095,1.355,NearMiss
-74.702,42.377,-104.067,0.161,0.362,0.098,0.160,0.362,0.098,0.000,1.000,0.000,0.245,-0.242,-0.838,1.492,1.794,3.349,NearMiss
-87.363,46.612,-84.772,0.273,0.262,0.235,0.273,0.235,0.234,2.000,4.000,0.000,0.048,1.068,-0.173,1.526,2.853,1.857,NearMiss
-90.539,27.223,-87.798,0.227,0.226,0.235,0.224,0.224,0.214,0.000,7.000,0.000,0.447,-0.247,-0.735,2.240,2.017,1.979,NearMiss
-102.432,13.869,-93.226,0.236,0.107,0.273,0.236,0.104,0.261,2.000,13.000,0.000,-2.522,0.905,-0.524,17.854,3.555,1.864,NearMiss
-77.848,28.597,-104.294,0.244,0.278,0.238,0.238,0.276,0.232,0.000,9.000,0.000,0.159,0.556,-0.113,1.608,2.620,1.645,NearMiss
-101.114,-13.684,-89.067,0.243,0.134,0.250,0.209,0.134,0.210,0.000,8.000,0.000,1.138,1.377,-1.040,2.631,5.772,2.659,NearMiss
-101.754,44.071,-60.206,0.286,0.192,0.304,0.245,0.189,0.268,0.000,1.000,0.000,0.879,0.342,-0.920,2.126,3.983,2.183,NearMiss
-88.936,34.335,-79.558,0.290,0.283,0.322,0.288,0.246,0.318,2.000,5.000,0.000,0.450,1.068,-0.291,2.098,2.791,1.581,NearMiss
