f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.056,-0.069,-0.059,-0.121,-0.277,-0.135,-0.121,-0.221,-0.130,0.040,-0.721,-0.979,-0.639,-0.590,-0.806,-0.909,NearMiss
-0.433,-0.445,-0.409,-0.513,-0.876,-0.952,-0.788,-0.803,-0.872,-0.929,-0.908,-0.923,-0.918,-0.922,-0.920,-0.929,NearMiss
0.024,0.126,0.144,-0.387,-0.823,-0.400,0.100,0.308,0.176,0.055,0.503,0.063,-1.002,-0.810,-0.715,-0.849,NearMiss
-0.030,-0.026,0.070,-0.114,-0.635,-0.636,-0.712,-0.835,-0.862,-0.916,-0.919,-0.878,-0.818,-0.928,-0.609,-0.627,NearMiss
-0.186,-0.192,-0.181,-0.189,-0.198,-0.530,-0.758,-0.628,-0.560,-0.611,-0.781,-0.901,-1.006,-0.928,-0.943,-0.927,NearMiss
-0.246,-0.248,-0.228,-0.423,-0.525,-0.370,-0.175,-0.234,-0.244,-0.440,-0.576,-0.617,-0.680,-0.686,-0.699,-0.706,NearMiss
-0.132,-0.130,-0.060,-0.213,-0.723,-0.703,-0.657,-0.746,-0.827,-0.867,-0.810,-0.915,-0.847,-0.774,-0.762,-0.755,NearMiss
-0.178,0.163,-0.350,-0.631,-0.560,-0.316,-0.405,-0.274,-0.192,-0.638,-0.907,-0.790,-0.664,-0.804,-0.904,-0.962,NearMiss
-0.361,-0.404,-0.596,-0.794,-0.892,-0.786,-0.835,-0.878,-0.883,-0.925,-0.794,-0.681,-0.754,-0.756,-0.688,-0.633,NearMiss
-0.035,-0.048,-0.016,-0.057,-0.369,-0.529,-0.556,-0.693,-0.697,-0.763,-0.839,-0.860,-1.113,-0.958,-0.967,-0.977,NearMiss
-0.197,0.010,-0.130,-0.516,-0.411,-0.354,-0.243,-0.298,-0.587,-0.767,-0.762,-0.750,-0.802,-0.854,-0.940,-1.018,NearMiss
-0.086,-0.046,0.042,-0.419,-0.803,-0.665,-0.615,-0.702,-0.845,-1.074,-0.902,-0.950,-0.935,-0.921,-0.912,-0.923,NearMiss
-0.249,-0.217,-0.253,-0.605,-0.429,-0.268,-0.285,-0.387,-0.540,-0.631,-0.667,-0.674,-0.696,-0.744,-0.794,-0.790,NearMiss
-0.147,-0.152,-0.153,-0.162,-0.117,-0.539,-0.570,-0.570,-0.637,-0.724,-0.786,-0.791,-0.780,-0.806,-0.826,-0.831,NearMiss
-0.266,-0.277,-0.224,-0.404,-0.812,-0.830,-0.635,-0.731,-0.946,-0.928,-0.970,-0.913,-0.739,-0.767,-0.731,-0.722,NearMiss
-0.270,-0.275,-0.259,-0.409,-0.642,-0.840,-0.795,-0.730,-0.837,-0.911,-0.947,-0.879,-0.809,-0.807,-0.847,-0.777,NearMiss
-0.459,-0.449,-0.469,-0.480,-0.627,-0.730,-0.787,-0.800,-0.832,-0.889,-0.967,-0.999,-0.972,-0.953,-0.938,-0.915,NearMiss
-0.131,-0.124,0.038,-0.475,-0.756,-0.705,-0.629,-0.749,-0.860,-0.944,-0.888,-0.885,-0.892,-0.897,-0.881,-0.856,NearMiss
-0.202,-0.199,-0.186,-0.178,-0.183,-0.315,-0.698,-0.715,-0.716,-0.733,-0.817,-0.896,-0.924,-0.949,-0.944,-0.913,NearMiss
-0.017,-0.025,0.054,-0.249,-0.725,-0.832,-0.736,-0.773,-0.923,-0.972,-0.961,-0.966,-0.985,-0.961,-0.968,-0.978,NearMiss
-0.307,-0.296,-0.270,-0.182,-0.447,-0.718,-0.803,-0.791,-0.834,-0.936,-0.923,-0.863,-0.985,-1.005,-0.842,-0.853,NearMiss
-0.286,-0.293,-0.204,-0.228,-0.434,-0.475,-0.310,-0.354,-0.732,-0.846,-0.659,-0.488,-0.579,-0.786,-0.915,-1.007,NearMiss
-0.291,-0.292,-0.278,-0.268,-0.330,-0.679,-0.750,-0.594,-0.474,-0.702,-0.849,-0.909,-0.964,-0.785,-0.810,-0.867,NearMiss
-0.280,-0.280,-0.265,-0.225,-0.297,-0.347,-0.274,-0.464,-0.792,-0.800,-0.607,-0.615,-0.776,-0.925,-0.923,-0.922,NearMiss
-0.278,-0.272,-0.271,-0.276,-0.286,-0.505,-0.782,-0.673,-0.621,-0.656,-0.709,-0.849,-0.990,-1.028,-0.997,-0.948,NearMiss
-0.348,-0.507,-0.429,-0.233,-0.293,-0.283,-0.242,-0.407,-0.546,-0.656,-0.693,-0.678,-0.685,-0.670,-0.669,-0.649,NearMiss
-0.201,-0.390,-0.407,-0.209,-0.144,-0.268,-0.391,-0.569,-0.636,-0.763,-0.884,-0.949,-0.953,-0.931,-0.939,-1.026,NearMiss
-0.120,-0.157,-0.159,-0.378,-0.798,-1.032,-0.776,-0.645,-0.748,-0.802,-0.802,-0.815,-0.655,-0.518,-0.541,-0.541,NearMiss
-0.183,-0.228,-0.431,-0.612,-0.534,-0.529,-0.599,-0.703,-1.151,-0.868,-0.895,-0.896,-0.855,-0.790,-0.798,-0.845,NearMiss
-0.124,-0.132,-0.208,-0.520,-0.906,-0.778,-0.703,-0.776,-0.719,-0.625,-0.739,-0.604,-0.384,-0.309,-0.234,-0.233,NearMiss
-0.121,-0.076,-0.142,-0.484,-0.722,-0.693,-0.752,-0.811,-0.893,-0.879,-0.901,-0.845,-0.872,-0.926,-0.825,-0.842,NearMiss
