f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.957,-1.017,-1.000,-1.136,-0.851,-0.741,-0.847,-1.145,-0.795,-1.074,-0.826,-0.480,-0.468,-0.359,-0.426,-0.383,NearMiss
-0.892,-0.882,-0.917,-0.824,-0.688,-0.464,-0.250,-0.266,-0.276,-0.320,-0.381,-0.323,-0.335,-0.300,-0.309,-0.331,NearMiss
-0.977,-0.960,-0.922,-1.093,-1.093,-0.645,-0.761,-0.881,-0.990,-1.063,-1.270,-0.693,0.040,-0.412,-0.372,-0.149,NearMiss
-0.962,-0.967,-1.085,-1.357,-0.840,-0.235,-0.128,-0.326,-0.254,-0.232,-0.286,-0.111,-0.131,-0.249,-0.319,-0.296,NearMiss
-0.964,-0.959,-0.957,-0.939,-0.954,-1.249,-1.001,-0.638,-0.431,-0.292,-0.229,-0.320,-0.316,-0.302,-0.260,-0.349,NearMiss
-0.945,-0.943,-0.936,-0.938,-0.803,-0.614,-0.519,-0.408,-0.448,-0.558,-0.530,-0.558,-0.593,-0.615,-0.629,-0.650,NearMiss
-0.972,-0.967,-1.008,-1.367,-0.906,-0.353,-0.218,-0.261,-0.340,-0.375,-0.323,-0.369,-0.381,-0.297,-0.241,-0.194,NearMiss
-0.967,-1.080,-0.956,-0.592,-0.528,-0.725,-0.781,-0.913,-0.919,-0.739,-0.412,-0.277,-0.380,-0.359,-0.285,-0.311,NearMiss
-0.927,-0.946,-0.828,-0.424,-0.167,-0.263,-0.223,-0.144,-0.120,-0.081,-0.231,-0.301,-0.189,-0.132,-0.262,-0.417,NearMiss
-0.939,-0.945,-0.909,-0.992,-1.195,-1.161,-0.827,-0.457,-0.307,-0.149,-0.251,-0.194,-0.202,-0.216,-0.140,-0.150,NearMiss
-0.966,-1.056,-1.024,-0.741,-0.711,-0.786,-0.909,-0.904,-0.596,-0.328,-0.400,-0.400,-0.399,-0.345,-0.264,-0.246,NearMiss
-0.967,-0.998,-1.297,-1.197,-0.642,-0.322,-0.326,-0.291,-0.375,-0.360,-0.191,-0.202,-0.210,-0.206,-0.245,-0.278,NearMiss
-0.950,-1.004,-0.939,-0.691,-0.653,-0.602,-0.570,-0.627,-0.635,-0.577,-0.526,-0.511,-0.510,-0.536,-0.558,-0.557,NearMiss
-0.967,-0.965,-0.961,-0.962,-1.105,-1.206,-0.863,-0.532,-0.419,-0.518,-0.563,-0.538,-0.543,-0.578,-0.576,-0.560,NearMiss
-0.961,-0.939,-0.981,-0.946,-0.429,-0.044,-0.200,-0.153,0.047,0.025,0.021,-0.039,-0.133,-0.041,-0.015,0.037,NearMiss
