f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
-0.939,-0.929,-0.890,-0.810,-0.758,-0.971,-0.881,-0.669,-0.471,-0.333,-0.143,-0.041,-0.049,-0.044,0.008,-0.758,NoTouching
-0.069,-0.262,-0.090,0.043,-0.131,-0.147,0.108,0.416,0.623,0.732,0.596,0.501,0.447,0.431,0.537,0.618,NoTouching
0.683,0.580,0.453,0.384,0.289,0.096,-0.048,-0.045,0.048,0.282,0.250,0.226,0.304,0.515,0.750,0.752,NoTouching
0.632,0.784,0.754,0.202,-0.028,0.346,0.589,0.758,0.754,0.610,0.546,0.506,0.567,0.359,0.005,-0.030,NoTouching
-0.106,0.312,0.426,0.584,0.726,0.744,0.655,0.570,0.400,0.338,0.569,0.583,0.437,0.349,0.427,0.525,NoTouching
-0.773,-0.731,-0.621,-0.653,-0.458,-0.596,-0.850,-0.836,-0.831,-0.830,-0.834,-0.862,-0.862,-0.852,-0.841,-0.804,NoTouching
-0.353,-0.579,-0.607,-0.551,-0.224,0.157,0.330,0.427,0.604,0.364,0.323,0.492,0.577,0.571,0.656,0.600,NoTouching
0.495,0.591,0.655,0.722,0.793,0.766,0.582,0.274,0.480,0.657,0.708,0.733,0.702,0.700,0.584,0.502,NoTouching
0.435,-0.009,-0.671,-1.136,-0.996,-0.761,-0.740,-0.736,-0.850,-0.828,-0.782,-0.792,-0.811,-0.789,-0.810,-0.996,NoTouching
-0.466,-0.898,-0.887,-0.728,-0.681,-0.776,-0.794,-0.739,-0.735,-0.778,-0.724,-0.650,-0.714,-0.834,-0.762,-0.681,NoTouching
-0.459,0.168,0.182,0.487,1.958,0.135,0.944,0.753,-0.676,-0.320,0.331,-0.142,0.079,2.419,0.303,0.324,NoTouching
0.677,0.196,2.371,0.700,0.350,1.079,1.067,1.124,0.975,0.869,-0.128,1.827,2.100,0.039,0.869,0.844,NoTouching
0.541,2.462,0.359,0.254,0.816,0.641,-1.603,-0.345,0.179,-0.206,1.058,2.207,-0.061,0.517,0.924,0.767,NoTouching
2.459,0.915,-0.216,0.193,0.018,-0.966,-0.297,-0.043,-0.237,2.363,1.210,0.605,0.940,0.810,0.890,0.018,NoTouching
-0.188,0.646,1.032,0.671,0.794,0.578,0.455,-0.032,2.214,0.896,-0.119,0.662,0.610,0.535,0.429,0.484,NoTouching
-0.768,0.106,0.393,-0.107,0.764,2.117,0.194,1.280,1.014,0.639,0.510,0.657,0.791,-0.092,2.443,2.592,NoTouching
0.692,0.627,-0.008,1.539,1.317,0.220,0.825,0.818,0.798,0.238,0.833,0.964,0.215,1.480,1.286,-0.013,NoTouching
0.698,0.155,1.802,0.854,0.162,0.530,0.402,-0.007,0.353,0.502,0.188,0.311,2.459,0.591,0.783,0.887,NoTouching
2.139,0.565,0.109,0.490,0.177,-0.301,0.067,0.288,-0.144,0.992,2.115,0.010,0.402,0.695,0.308,0.008,NoTouching
-0.094,0.123,0.504,-0.649,0.151,0.248,0.292,0.399,1.960,0.257,0.509,0.840,0.701,-0.283,0.444,0.403,NoTouching
-0.894,-0.906,-0.974,-1.015,-0.962,-1.005,-0.960,-0.905,-0.974,-0.956,-0.978,-0.972,-0.967,-0.969,-0.959,-0.835,NoTouching
-0.878,-0.922,-0.936,-0.942,-0.933,-0.955,-0.940,-0.963,-0.946,-0.948,-0.970,-0.930,-0.964,-0.955,-0.957,-0.934,NoTouching
-0.937,-0.939,-0.934,-0.936,-0.949,-0.940,-0.932,-0.939,-0.959,-0.926,-0.962,-0.926,-0.941,-0.943,-0.964,-0.910,NoTouching
-0.952,-0.946,-0.935,-0.937,-0.947,-0.950,-0.933,-0.938,-0.961,-0.983,-0.960,-0.969,-0.987,-1.003,-0.980,-0.975,NoTouching
-0.884,-1.011,-0.931,-0.980,-0.943,-0.939,-0.954,-0.951,-0.953,-0.924,-0.972,-0.950,-0.942,-0.963,-0.949,-0.948,NoTouching
-0.943,-0.947,-0.938,-0.960,-0.938,-1.000,-0.932,-0.966,-0.953,-0.959,-0.893,-0.978,-0.970,-0.925,-0.974,-0.972,NoTouching
-0.957,-0.943,-0.929,-0.961,-0.938,-0.943,-0.946,-0.928,-0.931,-0.948,-0.915,-0.947,-0.890,-0.967,-0.938,-0.938,NoTouching
-0.960,-0.972,-0.931,-0.952,-0.968,-0.942,-0.943,-0.957,-0.964,-0.991,-0.911,-0.968,-0.951,-0.934,-0.958,-0.934,NoTouching
-0.938,-0.941,-0.930,-0.967,-0.987,-0.877,-1.000,-0.929,-0.964,-0.944,-0.954,-0.957,-0.937,-0.953,-0.966,-0.976,NoTouching
-0.941,-0.939,-0.936,-0.931,-0.929,-0.926,-0.925,-0.923,-0.928,-0.923,-0.926,-0.939,-0.945,-0.932,-0.925,-0.967,NoTouching
0.266,0.204,0.082,-0.051,-0.194,-0.188,-0.093,-0.073,-0.115,-0.124,0.086,0.234,0.268,0.225,0.081,0.048,NoTouching
0.151,0.219,0.280,0.422,0.232,0.157,0.346,0.407,0.125,-0.010,-0.184,-0.483,-0.462,-0.311,-0.129,0.046,NoTouching
-0.182,-0.134,-0.160,-0.331,-0.462,-0.359,-0.373,-0.412,-0.337,-0.353,-0.178,-0.370,-0.610,-0.937,-0.924,-0.881,NoTouching
-0.917,-0.950,-0.954,-1.048,-0.859,-0.399,-0.368,-0.425,-0.458,-0.614,-0.695,-0.678,-0.669,-0.704,-0.673,-0.669,NoTouching
-0.806,-0.720,-0.678,-0.815,-0.760,-0.723,-0.915,-0.888,-0.797,-0.842,-0.845,-0.786,-0.806,-0.952,-1.028,-1.027,NoTouching
-0.337,-0.495,-0.628,-0.565,-0.488,-0.549,-0.227,-0.105,0.029,0.005,0.047,0.147,0.188,0.147,0.166,0.164,NoTouching
0.239,0.280,0.187,0.207,0.184,0.128,-0.039,-0.276,-0.534,-0.746,-0.707,-0.682,-0.917,-0.844,-0.849,0.184,NoTouching
-0.170,0.153,0.366,0.209,0.180,0.154,0.325,0.555,0.515,0.390,0.269,0.128,-0.140,-0.346,-0.392,-0.185,NoTouching
-0.994,-1.014,-0.937,-0.855,-0.786,-0.830,-0.893,-0.892,-0.907,-0.899,-0.877,-0.865,-0.871,-0.853,-0.817,-0.816,NoTouching
-0.824,-0.774,-0.769,-0.814,-0.815,-0.713,-0.767,-0.752,-0.755,-0.769,-0.765,-0.753,-0.768,-0.774,-0.808,-0.936,NoTouching
0.301,-0.138,0.514,-0.497,0.692,0.600,0.202,1.236,0.162,0.725,0.239,-0.438,-0.717,-0.692,0.230,0.742,NoTouching
1.066,-0.000,1.024,0.673,0.173,1.500,0.270,0.618,0.922,0.132,-0.698,-0.471,-0.513,-0.363,0.599,0.915,NoTouching
0.651,0.908,0.775,0.803,1.082,0.731,0.612,1.228,0.364,0.708,1.049,0.179,0.654,0.212,-0.442,-0.507,NoTouching
0.531,1.050,0.477,0.233,1.130,0.154,0.515,1.212,0.118,0.906,0.922,-0.072,1.109,0.667,-0.207,0.424,NoTouching
0.019,-0.077,0.863,1.038,0.421,1.240,0.837,0.164,1.058,0.737,0.174,1.193,0.292,0.654,0.720,0.440,NoTouching
-0.034,1.113,-0.057,0.607,0.899,0.355,0.340,1.206,0.735,0.786,1.384,0.605,0.076,1.381,0.260,0.899,NoTouching
-0.308,1.046,0.690,-0.152,1.050,0.549,-0.167,1.140,0.548,-0.031,0.321,-0.575,-0.773,-0.500,-0.990,-0.713,NoTouching
-0.560,-1.116,-0.494,-1.148,-0.430,-0.509,-0.493,-0.319,-0.247,1.004,0.538,-0.392,1.641,0.105,0.264,1.043,NoTouching
0.699,0.408,1.311,0.370,0.554,0.524,-0.181,-0.642,-0.704,-0.979,-0.710,-0.633,-0.703,-0.077,-0.227,-1.387,NoTouching
0.093,-0.010,0.179,0.331,-0.093,-0.829,-0.893,-0.941,-0.469,-0.238,-0.278,-0.265,0.147,0.208,-0.114,-0.016,NoTouching
-0.939,-0.929,-0.890,-0.810,-0.758,-0.971,-0.881,-0.669,-0.471,-0.333,-0.143,-0.041,-0.049,-0.044,0.008,-0.758,NoTouching
-0.069,-0.262,-0.090,0.043,-0.131,-0.147,0.108,0.416,0.623,0.732,0.596,0.501,0.447,0.431,0.537,0.618,NoTouching
0.683,0.580,0.453,0.384,0.289,0.096,-0.048,-0.045,0.048,0.282,0.250,0.226,0.304,0.515,0.750,0.752,NoTouching
0.632,0.784,0.754,0.202,-0.028,0.346,0.589,0.758,0.754,0.610,0.546,0.506,0.567,0.359,0.005,-0.030,NoTouching
-0.106,0.312,0.426,0.584,0.726,0.744,0.655,0.570,0.400,0.338,0.569,0.583,0.437,0.349,0.427,0.525,NoTouching
-0.773,-0.731,-0.621,-0.653,-0.458,-0.596,-0.850,-0.836,-0.831,-0.830,-0.834,-0.862,-0.862,-0.852,-0.841,-0.804,NoTouching
-0.353,-0.579,-0.607,-0.551,-0.224,0.157,0.330,0.427,0.604,0.364,0.323,0.492,0.577,0.571,0.656,0.600,NoTouching
0.495,0.591,0.655,0.722,0.793,0.766,0.582,0.274,0.480,0.657,0.708,0.733,0.702,0.700,0.584,0.502,NoTouching
0.435,-0.009,-0.671,-1.136,-0.996,-0.761,-0.740,-0.736,-0.850,-0.828,-0.782,-0.792,-0.811,-0.789,-0.810,-0.996,NoTouching
-0.466,-0.898,-0.887,-0.728,-0.681,-0.776,-0.794,-0.739,-0.735,-0.778,-0.724,-0.650,-0.714,-0.834,-0.762,-0.681,NoTouching
-0.459,0.168,0.182,0.487,1.958,0.135,0.944,0.753,-0.676,-0.320,0.331,-0.142,0.079,2.419,0.303,0.324,NoTouching
0.677,0.196,2.371,0.700,0.350,1.079,1.067,1.124,0.975,0.869,-0.128,1.827,2.100,0.039,0.869,0.844,NoTouching
0.541,2.462,0.359,0.254,0.816,0.641,-1.603,-0.345,0.179,-0.206,1.058,2.207,-0.061,0.517,0.924,0.767,NoTouching
2.459,0.915,-0.216,0.193,0.018,-0.966,-0.297,-0.043,-0.237,2.363,1.210,0.605,0.940,0.810,0.890,0.018,NoTouching
-0.188,0.646,1.032,0.671,0.794,0.578,0.455,-0.032,2.214,0.896,-0.119,0.662,0.610,0.535,0.429,0.484,NoTouching
-0.768,0.106,0.393,-0.107,0.764,2.117,0.194,1.280,1.014,0.639,0.510,0.657,0.791,-0.092,2.443,2.592,NoTouching
0.692,0.627,-0.008,1.539,1.317,0.220,0.825,0.818,0.798,0.238,0.833,0.964,0.215,1.480,1.286,-0.013,NoTouching
0.698,0.155,1.802,0.854,0.162,0.530,0.402,-0.007,0.353,0.502,0.188,0.311,2.459,0.591,0.783,0.887,NoTouching
2.139,0.565,0.109,0.490,0.177,-0.301,0.067,0.288,-0.144,0.992,2.115,0.010,0.402,0.695,0.308,0.008,NoTouching
-0.094,0.123,0.504,-0.649,0.151,0.248,0.292,0.399,1.960,0.257,0.509,0.840,0.701,-0.283,0.444,0.403,NoTouching
-0.894,-0.906,-0.974,-1.015,-0.962,-1.005,-0.960,-0.905,-0.974,-0.956,-0.978,-0.972,-0.967,-0.969,-0.959,-0.835,NoTouching
-0.878,-0.922,-0.936,-0.942,-0.933,-0.955,-0.940,-0.963,-0.946,-0.948,-0.970,-0.930,-0.964,-0.955,-0.957,-0.934,NoTouching
-0.937,-0.939,-0.934,-0.936,-0.949,-0.940,-0.932,-0.939,-0.959,-0.926,-0.962,-0.926,-0.941,-0.943,-0.964,-0.910,NoTouching
-0.952,-0.946,-0.935,-0.937,-0.947,-0.950,-0.933,-0.938,-0.961,-0.983,-0.960,-0.969,-0.987,-1.003,-0.980,-0.975,NoTouching
-0.884,-1.011,-0.931,-0.980,-0.943,-0.939,-0.954,-0.951,-0.953,-0.924,-0.972,-0.950,-0.942,-0.963,-0.949,-0.948,NoTouching
-0.943,-0.947,-0.938,-0.960,-0.938,-1.000,-0.932,-0.966,-0.953,-0.959,-0.893,-0.978,-0.970,-0.925,-0.974,-0.972,NoTouching
-0.957,-0.943,-0.929,-0.961,-0.938,-0.943,-0.946,-0.928,-0.931,-0.948,-0.915,-0.947,-0.890,-0.967,-0.938,-0.938,NoTouching
-0.960,-0.972,-0.931,-0.952,-0.968,-0.942,-0.943,-0.957,-0.964,-0.991,-0.911,-0.968,-0.951,-0.934,-0.958,-0.934,NoTouching
-0.938,-0.941,-0.930,-0.967,-0.987,-0.877,-1.000,-0.929,-0.964,-0.944,-0.954,-0.957,-0.937,-0.953,-0.966,-0.976,NoTouching
-0.941,-0.939,-0.936,-0.931,-0.929,-0.926,-0.925,-0.923,-0.928,-0.923,-0.926,-0.939,-0.945,-0.932,-0.925,-0.967,NoTouching
0.266,0.204,0.082,-0.051,-0.194,-0.188,-0.093,-0.073,-0.115,-0.124,0.086,0.234,0.268,0.225,0.081,0.048,NoTouching
0.151,0.219,0.280,0.422,0.232,0.157,0.346,0.407,0.125,-0.010,-0.184,-0.483,-0.462,-0.311,-0.129,0.046,NoTouching
-0.182,-0.134,-0.160,-0.331,-0.462,-0.359,-0.373,-0.412,-0.337,-0.353,-0.178,-0.370,-0.610,-0.937,-0.924,-0.881,NoTouching
-0.917,-0.950,-0.954,-1.048,-0.859,-0.399,-0.368,-0.425,-0.458,-0.614,-0.695,-0.678,-0.669,-0.704,-0.673,-0.669,NoTouching
-0.806,-0.720,-0.678,-0.815,-0.760,-0.723,-0.915,-0.888,-0.797,-0.842,-0.845,-0.786,-0.806,-0.952,-1.028,-1.027,NoTouching
-0.337,-0.495,-0.628,-0.565,-0.488,-0.549,-0.227,-0.105,0.029,0.005,0.047,0.147,0.188,0.147,0.166,0.164,NoTouching
0.239,0.280,0.187,0.207,0.184,0.128,-0.039,-0.276,-0.534,-0.746,-0.707,-0.682,-0.917,-0.844,-0.849,0.184,NoTouching
-0.170,0.153,0.366,0.209,0.180,0.154,0.325,0.555,0.515,0.390,0.269,0.128,-0.140,-0.346,-0.392,-0.185,NoTouching
-0.994,-1.014,-0.937,-0.855,-0.786,-0.830,-0.893,-0.892,-0.907,-0.899,-0.877,-0.865,-0.871,-0.853,-0.817,-0.816,NoTouching
-0.824,-0.774,-0.769,-0.814,-0.815,-0.713,-0.767,-0.752,-0.755,-0.769,-0.765,-0.753,-0.768,-0.774,-0.808,-0.936,NoTouching
0.301,-0.138,0.514,-0.497,0.692,0.600,0.202,1.236,0.162,0.725,0.239,-0.438,-0.717,-0.692,0.230,0.742,NoTouching
1.066,-0.000,1.024,0.673,0.173,1.500,0.270,0.618,0.922,0.132,-0.698,-0.471,-0.513,-0.363,0.599,0.915,NoTouching
0.651,0.908,0.775,0.803,1.082,0.731,0.612,1.228,0.364,0.708,1.049,0.179,0.654,0.212,-0.442,-0.507,NoTouching
0.531,1.050,0.477,0.233,1.130,0.154,0.515,1.212,0.118,0.906,0.922,-0.072,1.109,0.667,-0.207,0.424,NoTouching
0.019,-0.077,0.863,1.038,0.421,1.240,0.837,0.164,1.058,0.737,0.174,1.193,0.292,0.654,0.720,0.440,NoTouching
-0.034,1.113,-0.057,0.607,0.899,0.355,0.340,1.206,0.735,0.786,1.384,0.605,0.076,1.381,0.260,0.899,NoTouching
-0.308,1.046,0.690,-0.152,1.050,0.549,-0.167,1.140,0.548,-0.031,0.321,-0.575,-0.773,-0.500,-0.990,-0.713,NoTouching
