f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-23.282,10.629,-65.330,-0.310,0.142,-0.871,0.062,0.275,0.089,-0.198,1.943,-0.102,0.000,1.000,0.000,-0.299,-0.002,-0.910,0.051,0.243,0.076,0.049,0.232,0.072,0.145,0.687,0.560,2.488,2.047,2.188,NoTouching
-29.253,65.437,-3.720,-0.390,0.872,-0.050,0.090,0.151,0.168,-0.230,0.173,-3.378,0.000,0.000,3.000,-0.390,0.880,-0.069,0.075,0.122,0.130,0.075,0.122,0.130,0.076,-0.010,0.764,2.014,2.378,3.343,NoTouching
-36.290,58.359,23.954,-0.484,0.778,0.319,0.072,0.055,0.259,-0.150,0.070,0.810,0.000,0.000,1.000,-0.507,0.793,0.386,0.066,0.045,0.226,0.064,0.043,0.218,0.211,-0.413,-0.208,1.530,2.441,1.747,NoTouching
-26.461,55.562,36.459,-0.353,0.741,0.486,0.055,0.188,0.295,-0.156,0.253,0.608,0.000,0.000,2.000,-0.368,0.699,0.610,0.038,0.148,0.252,0.034,0.145,0.235,1.895,0.324,-0.592,6.593,3.152,2.135,NoTouching
-36.661,53.687,36.306,-0.489,0.716,0.484,0.051,0.117,0.278,-0.104,0.164,0.575,0.000,0.000,1.000,-0.461,0.701,0.576,0.046,0.099,0.220,0.038,0.098,0.209,-0.861,0.010,-1.229,2.035,1.978,3.614,NoTouching
-28.947,41.404,-51.204,-0.386,0.552,-0.683,0.078,0.201,0.146,-0.202,0.364,-0.214,0.000,0.000,0.000,-0.398,0.506,-0.708,0.058,0.155,0.125,0.057,0.149,0.123,0.649,1.088,0.138,3.000,3.859,2.261,NoTouching
-32.948,58.099,-16.317,-0.439,0.775,-0.218,0.083,0.268,0.396,-0.189,0.346,-1.821,0.000,0.000,1.000,-0.424,0.760,-0.333,0.064,0.212,0.362,0.063,0.211,0.348,-0.725,-0.037,0.340,3.543,3.046,1.504,NoTouching
-37.248,42.387,47.331,-0.497,0.565,0.631,0.052,0.126,0.146,-0.105,0.223,0.232,0.000,0.000,0.000,-0.507,0.583,0.651,0.038,0.115,0.112,0.037,0.115,0.110,1.472,-0.016,-0.942,5.625,1.543,3.730,NoTouching
-30.261,38.144,-41.916,-0.403,0.509,-0.559,0.131,0.210,0.521,-0.325,0.413,-0.932,0.000,0.000,0.000,-0.437,0.499,-0.738,0.104,0.144,0.431,0.099,0.144,0.387,0.657,1.185,0.823,2.666,5.424,2.539,NoTouching
-29.855,31.546,-56.179,-0.398,0.421,-0.749,0.085,0.108,0.142,-0.213,0.257,-0.189,0.000,0.000,0.000,-0.372,0.440,-0.765,0.068,0.087,0.104,0.066,0.086,0.103,-0.912,-0.213,0.698,3.954,2.596,3.333,NoTouching
137.368,50.914,37.944,1.832,0.679,0.506,0.559,1.873,0.781,0.305,2.759,1.543,0.000,2.000,5.000,1.814,1.291,0.299,0.438,1.490,0.637,0.437,1.334,0.607,-0.042,-1.170,0.734,2.464,3.233,2.610,NoTouching
137.693,71.955,69.880,1.836,0.959,0.932,0.523,1.987,0.764,0.285,2.071,0.820,0.000,2.000,4.000,1.869,1.552,0.902,0.455,1.476,0.548,0.455,1.313,0.546,-0.238,-0.349,0.917,2.005,3.522,4.203,NoTouching
131.564,80.359,31.838,1.754,1.071,0.425,0.591,2.149,1.267,0.337,2.005,2.983,0.000,2.000,4.000,1.727,1.424,0.479,0.483,1.577,0.914,0.482,1.497,0.912,0.298,-0.123,-0.178,2.629,3.693,4.490,NoTouching
109.092,84.024,21.300,1.494,1.151,0.292,0.607,2.176,1.120,0.406,1.890,3.840,0.000,1.000,4.000,1.489,1.442,0.116,0.435,1.536,0.785,0.434,1.452,0.753,0.969,-0.091,0.812,4.144,3.239,3.761,NoTouching
128.379,170.250,38.602,1.667,2.211,0.501,0.415,1.259,0.438,0.249,0.569,0.873,0.000,1.000,3.000,1.656,1.758,0.637,0.333,0.893,0.357,0.332,0.813,0.342,-0.223,1.257,-0.603,2.289,4.847,2.389,NoTouching
121.250,91.065,35.045,1.595,1.198,0.461,0.597,2.263,1.023,0.374,1.889,2.219,0.000,2.000,7.000,1.451,1.396,0.277,0.469,1.600,0.738,0.454,1.561,0.699,0.810,-0.094,0.629,3.369,3.398,4.088,NoTouching
119.511,45.245,57.784,1.552,0.588,0.750,0.436,1.788,0.594,0.281,3.042,0.792,0.000,2.000,4.000,1.654,1.265,0.724,0.333,1.392,0.420,0.324,1.193,0.418,-1.057,-1.430,0.637,3.682,4.069,3.490,NoTouching
108.346,72.426,46.651,1.407,0.941,0.606,0.471,1.994,0.650,0.335,2.120,1.073,0.000,2.000,3.000,1.324,1.528,0.512,0.390,1.491,0.465,0.382,1.337,0.456,0.568,-0.434,1.134,2.273,3.420,4.363,NoTouching
130.202,105.707,33.898,1.713,1.391,0.446,0.814,2.090,0.813,0.475,1.502,1.824,0.000,1.000,6.000,1.615,1.800,0.286,0.698,1.528,0.567,0.690,1.423,0.537,0.133,-0.691,0.852,1.998,3.281,4.468,NoTouching
116.406,164.664,5.843,1.512,2.138,0.076,0.594,1.508,0.566,0.393,0.705,7.453,0.000,1.000,8.000,1.393,1.702,0.215,0.442,0.942,0.331,0.418,0.809,0.309,1.282,2.859,-3.473,4.380,12.600,17.587,NoTouching
-5.794,3.488,-73.340,-0.075,0.045,-0.952,0.055,0.267,0.064,-0.735,5.900,-0.068,2.000,3.000,0.000,-0.070,-0.023,-0.945,0.042,0.241,0.053,0.041,0.233,0.052,-0.796,0.241,-0.246,3.102,1.608,2.702,NoTouching
-9.014,21.897,-71.776,-0.117,0.284,-0.932,0.061,0.073,0.061,-0.524,0.258,-0.066,2.000,0.000,0.000,-0.131,0.306,-0.936,0.049,0.059,0.045,0.047,0.057,0.045,1.331,-0.673,-0.698,5.056,2.588,4.691,NoTouching
-8.970,21.534,-71.304,-0.118,0.283,-0.938,0.048,0.079,0.044,-0.405,0.278,-0.046,4.000,0.000,0.000,-0.125,0.288,-0.938,0.035,0.066,0.031,0.034,0.066,0.031,0.449,-0.255,0.215,4.263,2.305,3.913,NoTouching
-9.876,20.626,-72.671,-0.128,0.268,-0.944,0.038,0.105,0.059,-0.293,0.393,-0.063,2.000,2.000,0.000,-0.139,0.287,-0.939,0.027,0.073,0.035,0.025,0.071,0.034,1.464,-0.683,-1.642,5.503,4.772,9.126,NoTouching
-8.649,17.941,-72.097,-0.114,0.236,-0.949,0.058,0.051,0.066,-0.507,0.216,-0.069,3.000,0.000,0.000,-0.126,0.236,-0.947,0.041,0.043,0.045,0.039,0.043,0.044,0.400,-0.286,-0.182,4.728,2.099,4.085,NoTouching
-8.393,15.910,-72.459,-0.110,0.209,-0.953,0.073,0.149,0.093,-0.663,0.709,-0.097,4.000,8.000,0.000,-0.132,0.253,-0.945,0.052,0.113,0.065,0.048,0.107,0.064,1.519,-0.921,-1.163,5.177,3.910,5.467,NoTouching
-9.598,19.953,-71.705,-0.126,0.263,-0.943,0.048,0.055,0.042,-0.382,0.210,-0.045,2.000,0.000,0.000,-0.124,0.257,-0.943,0.036,0.043,0.034,0.035,0.043,0.034,-0.296,0.126,-0.035,4.170,3.009,2.901,NoTouching
-10.350,17.413,-72.610,-0.136,0.229,-0.955,0.045,0.071,0.049,-0.330,0.310,-0.051,0.000,0.000,0.000,-0.130,0.236,-0.954,0.033,0.053,0.039,0.032,0.053,0.039,-0.354,0.425,-0.170,4.522,4.378,2.997,NoTouching
-10.018,18.623,-72.943,-0.130,0.242,-0.947,0.067,0.064,0.074,-0.517,0.264,-0.078,2.000,0.000,0.000,-0.141,0.246,-0.938,0.045,0.051,0.053,0.043,0.051,0.052,1.031,0.869,-0.192,6.615,6.668,3.450,NoTouching
-11.020,22.967,-71.731,-0.143,0.298,-0.932,0.013,0.039,0.015,-0.092,0.132,-0.016,0.000,0.000,0.000,-0.142,0.299,-0.932,0.010,0.030,0.010,0.009,0.030,0.010,-0.472,0.186,-0.507,3.559,3.231,6.788,NoTouching
-27.570,67.095,-0.129,-0.368,0.895,-0.002,0.088,0.094,0.168,-0.238,0.105,-97.965,0.000,0.000,0.000,-0.390,0.875,-0.063,0.077,0.076,0.149,0.076,0.075,0.144,-0.033,0.558,0.369,1.861,2.367,1.705,NoTouching
-43.159,50.375,21.041,-0.568,0.663,0.277,0.130,0.280,0.144,-0.229,0.423,0.520,0.000,0.000,2.000,-0.586,0.598,0.231,0.098,0.244,0.113,0.097,0.240,0.104,0.231,0.431,0.921,2.653,1.976,3.778,NoTouching
-41.303,46.346,-22.112,-0.543,0.610,-0.291,0.166,0.305,0.123,-0.305,0.500,-0.421,0.000,0.000,0.000,-0.530,0.575,-0.296,0.140,0.251,0.110,0.140,0.249,0.110,-0.309,0.395,-0.015,2.051,2.363,1.625,NoTouching
-28.756,23.962,-56.936,-0.383,0.319,-0.759,0.140,0.310,0.277,-0.364,0.969,-0.365,0.000,2.000,0.000,-0.294,0.215,-0.904,0.129,0.253,0.250,0.116,0.220,0.225,-0.565,0.707,0.540,1.667,2.350,1.693,NoTouching
-28.852,30.837,-58.950,-0.385,0.411,-0.786,0.112,0.150,0.106,-0.290,0.366,-0.135,0.000,0.000,0.000,-0.397,0.444,-0.783,0.089,0.124,0.082,0.088,0.122,0.082,0.059,-0.194,-0.153,2.686,2.311,2.794,NoTouching
-28.511,57.734,-33.237,-0.380,0.770,-0.443,0.033,0.118,0.176,-0.087,0.153,-0.396,0.000,0.000,0.000,-0.380,0.772,-0.488,0.028,0.093,0.137,0.028,0.093,0.131,-0.385,-0.263,0.793,2.276,2.387,2.863,NoTouching
-26.316,67.720,10.903,-0.356,0.915,0.147,0.015,0.042,0.138,-0.044,0.046,0.935,0.000,0.000,1.000,-0.361,0.912,0.190,0.012,0.033,0.100,0.011,0.032,0.089,1.084,0.077,-1.569,4.223,2.735,4.802,NoTouching
-36.570,56.605,14.489,-0.488,0.755,0.193,0.103,0.399,0.191,-0.211,0.528,0.988,0.000,0.000,1.000,-0.459,0.802,0.239,0.081,0.287,0.154,0.080,0.286,0.151,-1.276,0.543,-0.630,5.085,4.437,2.837,NoTouching
-17.680,20.644,-67.543,-0.236,0.275,-0.901,0.064,0.165,0.079,-0.272,0.601,-0.088,0.000,0.000,0.000,-0.220,0.303,-0.890,0.055,0.151,0.066,0.053,0.151,0.064,-0.380,-0.012,-0.040,2.023,1.532,1.865,NoTouching
-20.512,39.781,-58.516,-0.273,0.530,-0.780,0.024,0.097,0.060,-0.088,0.182,-0.077,0.000,0.000,0.000,-0.276,0.535,-0.785,0.019,0.079,0.041,0.019,0.079,0.041,0.637,0.087,1.410,2.860,2.592,7.367,NoTouching
