f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-0.162,-0.164,-0.946,-0.200,-0.112,-0.963,-0.198,-0.093,-0.970,-0.252,0.225,-0.977,-0.732,0.683,-0.433,-0.796,0.316,-0.179,-0.851,0.300,-0.161,-0.958,0.246,0.006,-0.967,0.247,0.000,-0.950,0.265,-0.022,Touching
0.332,0.107,-0.910,0.371,0.152,-0.965,0.332,0.343,-1.207,-0.255,0.361,-1.130,-0.519,-0.032,-0.371,-0.697,-0.235,-0.366,-0.825,-0.192,-0.364,-0.891,-0.143,-0.181,-0.940,-0.066,-0.277,-0.941,-0.038,-0.299,Touching
-0.097,0.057,-0.977,-0.094,0.144,-1.071,-0.374,0.426,-0.930,-0.698,0.627,-0.336,-0.746,0.431,-0.185,-0.833,0.220,-0.194,-0.937,0.183,-0.180,-0.932,0.181,-0.185,-0.957,0.183,-0.178,-0.931,0.197,-0.215,Touching
0.198,0.056,-0.996,0.168,0.156,-1.118,-0.190,0.346,-0.974,-0.697,0.574,-0.441,-0.701,0.362,-0.242,-0.811,0.276,-0.263,-0.931,0.111,-0.246,-0.935,0.057,-0.260,-0.926,0.121,-0.326,-0.913,0.164,-0.337,Touching
0.148,0.068,-1.011,0.032,0.236,-1.078,-0.435,0.445,-1.085,-0.647,0.180,-0.520,-0.716,-0.141,-0.171,-0.868,0.472,-0.245,-0.842,0.267,-0.058,-0.984,0.292,-0.058,-0.908,0.308,-0.037,-0.991,0.279,0.019,Touching
-0.104,-0.265,-0.944,-0.067,-0.244,-0.968,-0.239,0.138,-1.216,-0.652,0.268,-0.541,-0.778,0.009,-0.350,-0.887,0.049,-0.302,-0.928,0.125,-0.276,-0.919,0.191,-0.272,-0.948,0.215,-0.233,-0.932,0.153,-0.118,Touching
-0.104,-0.240,-0.951,-0.097,-0.234,-1.003,-0.204,-0.028,-1.208,-0.633,0.326,-0.573,-0.754,0.083,-0.362,-0.897,0.023,-0.385,-0.914,0.116,-0.296,-0.843,0.257,-0.204,-0.912,0.256,-0.221,-0.955,0.123,-0.254,Touching
-0.085,-0.255,-0.948,-0.045,-0.208,-0.993,-0.299,0.313,-1.104,-0.779,0.324,-0.408,-0.758,0.123,-0.275,-0.910,0.199,-0.211,-0.968,0.093,-0.101,-1.027,0.123,-0.061,-0.960,0.170,-0.056,-0.901,0.290,-0.152,Touching
0.327,0.333,-0.890,0.357,0.373,-0.926,0.297,0.707,-0.993,-0.435,0.828,-0.594,-0.585,0.495,-0.213,-0.667,0.235,-0.190,-0.874,0.261,-0.219,-0.900,0.297,-0.219,-0.930,0.337,-0.153,-0.903,0.309,-0.169,Touching
0.319,0.671,-0.665,0.439,0.745,-0.724,0.249,0.896,-0.887,-0.575,0.865,-0.546,-0.627,0.442,-0.173,-0.689,-0.037,-0.284,-0.855,0.005,-0.408,-0.763,0.037,-0.315,-0.880,0.042,-0.366,-0.902,-0.068,-0.359,Touching
0.362,0.449,-0.845,0.458,0.553,-0.940,0.026,0.800,-0.892,-0.651,0.783,-0.236,-0.519,0.351,-0.112,-0.787,0.305,-0.155,-0.924,0.275,-0.091,-1.014,0.069,-0.049,-0.974,0.266,-0.037,-0.881,0.325,-0.045,Touching
0.340,0.515,-0.786,0.427,0.652,-0.894,-0.011,0.769,-1.046,-0.487,0.641,-0.575,-0.434,0.238,-0.448,-0.639,0.166,-0.382,-0.860,0.181,-0.476,-0.891,0.136,-0.414,-0.867,0.124,-0.456,-0.853,0.117,-0.453,Touching
0.342,0.572,-0.740,0.468,0.666,-0.844,0.100,0.919,-0.799,-0.638,0.852,-0.210,-0.505,0.531,-0.036,-0.723,0.349,-0.005,-0.913,0.278,-0.003,-0.950,0.275,-0.013,-0.949,0.255,-0.019,-0.911,0.253,-0.072,Touching
0.326,0.558,-0.759,0.426,0.630,-0.865,0.230,0.803,-0.970,-0.651,0.795,-0.504,-0.645,0.331,-0.191,-0.693,0.152,-0.270,-0.797,0.177,-0.313,-0.815,0.193,-0.276,-0.921,0.154,-0.374,-0.894,-0.011,-0.370,Touching
-0.175,-0.056,-0.963,-0.163,0.060,-0.997,-0.482,0.782,-0.767,-0.738,0.638,-0.276,-0.656,0.345,-0.261,-0.896,0.327,-0.125,-0.911,0.339,-0.080,-0.929,0.324,-0.021,-0.970,0.288,-0.015,-0.948,0.291,-0.031,Touching
-0.143,-0.055,-0.963,-0.124,0.063,-1.036,-0.411,0.673,-1.019,-0.729,0.303,-0.323,-0.708,0.052,-0.263,-0.927,0.115,-0.271,-0.984,-0.028,-0.211,-0.987,0.087,-0.206,-0.892,0.197,-0.210,-0.871,0.267,-0.272,Touching
0.424,0.469,-0.758,0.506,0.635,-0.918,0.146,0.677,-0.973,-0.511,0.824,-0.383,-0.565,0.518,-0.218,-0.605,0.313,-0.241,-0.901,0.184,-0.216,-0.946,0.176,-0.231,-0.952,0.115,-0.200,-1.013,0.051,-0.162,Touching
0.379,0.406,-0.866,0.455,0.496,-0.952,-0.103,0.627,-1.091,-0.554,0.598,-0.613,-0.626,0.121,-0.207,-0.681,0.181,-0.255,-0.927,0.026,-0.352,-1.002,-0.087,-0.244,-0.923,0.109,-0.227,-0.829,0.210,-0.279,Touching
-0.118,-0.210,-0.955,-0.064,-0.152,-0.993,-0.288,0.316,-1.176,-0.792,0.059,-0.560,-0.740,-0.399,-0.124,-0.743,-0.196,-0.248,-0.939,-0.185,-0.311,-0.987,-0.146,-0.333,-0.935,-0.112,-0.316,-0.948,-0.153,-0.383,Touching
-0.076,-0.211,-0.953,-0.041,0.001,-1.035,-0.449,0.466,-0.919,-0.766,0.563,-0.380,-0.704,0.448,-0.220,-0.906,0.284,-0.095,-0.909,0.302,-0.140,-0.868,0.363,-0.145,-0.942,0.342,-0.171,-0.955,0.318,-0.210,Touching
