f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,class
-0.102,-0.107,-0.109,-0.105,-0.112,-0.020,-0.277,-0.549,-0.636,-0.707,-0.728,-0.809,-0.881,-0.921,-0.931,-0.902,-0.894,-0.858,-0.775,0.130,0.984,0.990,0.989,0.986,1.003,1.110,1.319,29.944,0.197,0.229,1.162,0.189,0.174,0.174,7.000,1.097,3.820,Touching
-0.081,-0.094,-0.083,-0.081,-0.142,-0.521,-0.686,-0.720,-0.647,-0.742,-0.873,-0.951,-0.908,-0.924,-1.010,-1.041,-0.997,-0.920,-0.953,0.836,0.986,0.991,1.001,1.047,1.115,1.315,1.026,37.023,0.244,0.267,1.097,0.271,0.192,0.190,1.000,0.300,3.470,Touching
-0.111,-0.111,-0.111,-0.080,-0.121,-0.549,-0.816,-0.875,-0.775,-0.787,-0.876,-0.872,-0.851,-0.817,-0.875,-0.839,-0.834,-0.862,-0.814,0.650,0.988,0.989,0.989,1.013,1.102,1.236,1.395,40.657,0.267,0.281,1.049,0.255,0.201,0.201,3.000,0.827,3.807,Touching
-0.053,-0.069,-0.085,-0.071,-0.052,-0.077,-0.171,-0.435,-0.709,-0.723,-0.647,-0.618,-0.743,-0.864,-0.931,-0.900,-0.902,-0.764,-0.724,0.068,0.983,0.988,0.987,0.990,0.968,1.036,1.103,47.551,0.313,0.314,1.003,0.373,0.252,0.242,3.000,0.152,2.404,Touching
-0.047,-0.048,-0.041,-0.010,0.002,-0.336,-0.735,-0.776,-0.689,-0.687,-0.792,-0.827,-0.969,-0.916,-0.874,-0.837,-0.750,-0.751,-0.853,0.778,0.995,0.986,0.994,1.046,1.088,1.217,1.165,48.177,0.317,0.251,0.793,0.366,0.194,0.187,3.000,0.110,2.971,Touching
-0.049,-0.047,-0.025,0.009,-0.011,-0.361,-0.701,-0.730,-0.708,-0.738,-0.800,-0.831,-0.773,-0.833,-0.890,-0.879,-0.905,-0.965,-0.942,0.513,0.987,0.986,1.012,1.079,1.142,1.240,1.248,-4.679,-0.031,0.232,-7.489,-0.079,0.156,0.141,4.000,1.450,5.000,Touching
-0.037,-0.046,-0.042,0.016,-0.073,-0.353,-0.770,-0.792,-0.731,-0.758,-0.696,-0.823,-1.019,-1.048,-1.117,-0.772,-0.678,-0.720,-1.066,0.423,1.000,0.980,0.995,1.060,1.186,1.009,1.300,48.119,0.319,0.260,0.817,0.376,0.204,0.197,7.000,0.551,4.170,Touching
-0.071,-0.065,-0.073,-0.019,0.003,-0.251,-0.661,-0.873,-0.858,-0.815,-0.800,-0.804,-0.966,-0.831,-0.910,-0.991,-0.988,-0.932,-1.073,0.884,0.993,0.993,0.986,1.052,1.083,1.020,1.222,43.501,0.286,0.356,1.245,0.120,0.318,0.307,9.000,0.563,2.141,Touching
-0.030,-0.029,-0.113,-0.110,-0.135,-0.506,-0.747,-0.580,-0.383,-0.501,-0.792,-0.800,-0.884,-0.871,-0.941,-0.930,-0.936,-0.959,-0.959,0.520,0.990,1.012,0.992,1.042,1.179,1.395,1.252,-19.213,-0.126,0.290,-2.293,-0.213,0.227,0.216,10.000,1.133,4.087,Touching
-0.024,-0.031,-0.032,0.035,-0.196,-0.681,-0.758,-0.604,-0.689,-0.837,-0.935,-0.869,-0.922,-0.877,-0.830,-0.704,-0.740,-0.696,-0.602,0.883,0.991,0.981,1.028,1.127,1.182,1.246,0.928,44.312,0.293,0.239,0.813,0.281,0.171,0.170,3.000,0.666,4.017,Touching
