f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,class
-0.056,0.006,-0.949,-0.063,0.017,-1.009,-0.086,0.026,-1.002,-0.032,-0.076,-1.012,-0.145,-0.178,-1.165,-0.288,0.133,-0.874,-0.183,0.377,-0.723,-0.083,0.497,-0.791,-0.156,0.476,-0.964,-0.232,0.054,-1.126,-0.163,0.085,-0.819,0.050,0.229,-0.903,-0.214,0.548,-1.103,-0.966,0.882,-0.693,-0.944,0.586,-0.451,-0.664,0.285,-0.490,-0.563,0.007,-0.345,-0.681,-0.025,-0.404,-0.860,0.040,-0.427,-0.922,-0.005,-0.364,0.951,0.951,0.951,1.011,1.013,1.013,1.006,1.003,1.005,1.016,1.026,1.038,1.187,1.213,1.207,0.930,0.903,0.969,0.836,0.820,-52.485,31.746,-122.744,-0.341,0.206,-0.797,0.338,0.285,0.274,-0.990,1.381,-0.344,-0.190,0.103,-0.824,0.295,0.241,0.234,0.268,0.232,0.233,2.000,12.000,0.000,-0.785,0.730,0.210,2.239,2.764,1.887,NearMiss
-0.432,-0.145,-0.894,-0.442,-0.141,-0.880,-0.445,-0.149,-0.892,-0.389,-0.111,-0.921,-0.543,0.141,-0.806,-0.835,0.370,-0.722,-1.015,0.223,-0.510,-0.847,-0.140,-0.334,-0.768,-0.235,-0.252,-0.810,-0.165,-0.267,-0.873,-0.160,-0.263,-0.917,-0.171,-0.327,-0.909,-0.175,-0.359,-0.917,-0.152,-0.350,-0.923,-0.156,-0.327,-0.918,-0.169,-0.339,-0.923,-0.184,-0.306,-0.918,-0.180,-0.302,-0.924,-0.194,-0.316,0.370,-0.722,-1.015,1.003,1.008,1.007,0.995,0.996,0.997,1.008,0.984,0.980,1.006,1.075,1.079,0.982,1.169,1.218,1.164,1.299,1.265,1.157,1.013,-117.984,-15.142,-74.932,-0.776,-0.100,-0.493,0.205,0.161,0.255,-0.264,-1.616,-0.517,-0.888,-0.158,-0.339,0.173,0.112,0.229,0.153,0.088,0.199,0.000,2.000,0.000,0.907,2.030,-0.731,2.197,5.920,1.774,NearMiss
0.012,-0.186,-0.973,0.124,-0.168,-0.973,0.138,-0.237,-0.970,0.085,-0.295,-0.907,-0.475,-0.355,-1.116,-0.863,0.157,-1.101,-0.574,0.335,-0.748,-0.098,0.554,-0.738,0.202,0.152,-0.750,0.316,0.174,-0.888,0.205,-0.040,-0.996,0.059,0.008,-1.032,0.181,-0.025,-1.109,0.632,0.365,-1.320,-0.082,0.911,-0.564,-1.009,0.227,0.060,-0.869,0.192,-0.248,-0.743,0.385,-0.473,-0.751,0.553,-0.300,-0.846,0.540,-0.190,0.991,0.999,0.995,0.995,0.997,1.011,1.008,1.002,1.017,0.958,1.066,1.084,1.264,1.455,1.419,1.408,1.252,1.286,1.001,0.826,-28.938,22.199,-121.361,-0.189,0.145,-0.793,0.489,0.366,0.364,-2.586,2.520,-0.459,0.017,0.037,-0.929,0.437,0.301,0.296,0.409,0.291,0.276,6.000,11.000,2.000,-0.291,0.812,0.892,1.794,3.356,2.918,NearMiss
-0.025,-0.204,-0.965,-0.032,-0.217,-0.975,-0.019,-0.181,-0.958,0.127,-0.155,-1.200,-0.175,0.058,-1.366,-0.606,0.304,-0.920,-0.690,0.068,-0.383,-0.607,-0.011,-0.049,-0.787,0.229,-0.252,-0.834,0.487,-0.307,-0.842,0.502,-0.271,-0.919,0.405,-0.203,-0.935,0.340,-0.268,-0.900,0.351,-0.264,-0.874,0.335,-0.098,-0.807,0.272,-0.102,-0.931,0.299,-0.260,-0.806,0.388,-0.253,-0.557,0.449,-0.333,0.304,-0.920,-0.690,0.987,0.987,0.990,0.999,0.999,0.992,0.975,0.983,0.979,1.217,1.223,1.214,1.378,1.496,1.525,1.142,1.189,1.152,0.792,0.721,-89.744,29.744,-75.405,-0.590,0.196,-0.496,0.362,0.245,0.410,-0.614,1.254,-0.825,-0.747,0.301,-0.296,0.306,0.215,0.359,0.282,0.203,0.308,1.000,3.000,2.000,0.863,-0.505,-0.840,2.181,1.925,2.262,NearMiss
-0.183,0.086,-0.966,-0.194,0.088,-0.958,-0.190,0.095,-0.960,-0.174,0.095,-0.953,-0.193,0.106,-0.937,-0.180,0.196,-0.941,-0.380,0.572,-1.155,-0.747,0.438,-1.222,-0.719,0.117,-0.864,-0.617,0.077,-0.621,-0.552,-0.089,-0.450,-0.620,0.113,-0.286,-0.652,0.246,-0.255,-0.840,0.214,-0.277,-0.902,0.013,-0.321,-1.065,0.096,-0.340,-0.892,0.097,-0.283,-0.922,0.125,-0.274,-0.949,0.101,-0.287,0.196,-0.941,-0.380,0.987,0.989,0.989,0.981,0.981,0.981,0.983,0.981,0.981,0.973,0.977,0.978,0.963,0.960,0.974,0.978,1.034,1.165,1.344,1.490,-87.775,22.291,-98.813,-0.577,0.147,-0.650,0.318,0.164,0.350,-0.552,1.117,-0.538,-0.619,0.104,-0.586,0.273,0.115,0.329,0.269,0.106,0.329,0.000,6.000,0.000,-0.157,1.140,-0.156,2.377,5.171,1.506,NearMiss
-0.241,0.094,-0.944,-0.256,0.110,-0.945,-0.243,0.111,-0.937,-0.240,0.155,-0.945,-0.451,0.276,-0.931,-0.533,0.425,-0.830,-0.433,0.461,-0.654,-0.239,0.692,-0.551,-0.172,0.895,-0.501,-0.253,0.911,-0.393,-0.233,1.014,-0.438,-0.364,1.049,-0.544,-0.543,0.818,-0.542,-0.582,0.542,-0.536,-0.625,0.240,-0.557,-0.675,0.092,-0.587,-0.690,-0.033,-0.611,-0.691,-0.054,-0.634,-0.703,-0.118,-0.628,0.425,-0.830,-0.433,0.979,0.983,0.984,0.985,0.982,0.982,0.974,0.974,0.980,0.987,1.058,1.083,1.071,1.108,1.154,1.074,1.028,1.043,0.910,0.835,-65.327,61.439,-101.675,-0.430,0.404,-0.669,0.191,0.382,0.189,-0.445,0.945,-0.282,-0.427,0.288,-0.614,0.174,0.337,0.161,0.174,0.330,0.148,0.000,1.000,0.000,-0.123,0.403,-0.378,1.452,1.772,2.055,NearMiss
-0.133,-0.112,-0.971,-0.128,-0.103,-0.971,-0.119,-0.122,-0.965,0.027,-0.129,-1.036,-0.315,0.421,-1.450,-0.719,0.513,-0.988,-0.728,0.096,-0.432,-0.661,-0.133,-0.277,-0.670,-0.264,-0.197,-0.757,-0.260,-0.277,-0.821,-0.271,-0.317,-0.861,-0.268,-0.403,-0.851,-0.290,-0.330,-0.802,-0.272,-0.333,-0.938,-0.377,-0.377,-0.871,-0.248,-0.401,-0.758,-0.299,-0.307,-0.789,-0.296,-0.273,-0.751,-0.370,-0.215,0.513,-0.988,-0.728,0.986,0.986,0.985,0.984,0.983,0.986,0.980,0.973,0.974,1.044,1.091,1.162,1.543,1.673,1.698,1.326,1.330,1.231,0.852,0.796,-93.157,-22.256,-84.152,-0.613,-0.146,-0.554,0.311,0.245,0.374,-0.508,-1.674,-0.675,-0.742,-0.240,-0.369,0.252,0.173,0.323,0.211,0.156,0.271,2.000,2.000,0.000,1.207,1.831,-1.160,3.188,5.618,3.516,NearMiss
-0.186,0.084,-0.960,-0.070,0.126,-1.078,-0.050,0.184,-1.035,-0.275,0.309,-0.871,-0.664,0.338,-0.550,-0.595,0.551,-0.496,-0.337,0.644,-0.705,-0.358,0.666,-0.763,-0.398,0.288,-0.834,-0.255,0.308,-0.885,-0.182,0.328,-0.904,-0.464,0.674,-0.847,-0.826,0.894,-0.656,-0.930,0.547,-0.244,-0.757,0.199,-0.282,-0.653,0.058,-0.386,-0.758,0.055,-0.379,-0.865,0.105,-0.308,-0.929,0.110,-0.285,0.551,-0.496,-0.337,0.981,0.966,0.971,1.087,1.086,1.095,1.052,1.086,1.114,0.964,1.138,1.146,0.926,0.878,0.980,0.950,0.814,0.880,1.013,1.020,-76.418,51.749,-99.748,-0.503,0.340,-0.656,0.324,0.260,0.284,-0.645,0.763,-0.433,-0.524,0.294,-0.680,0.275,0.225,0.248,0.275,0.222,0.247,2.000,0.000,0.000,0.677,0.600,-0.017,3.491,2.250,1.876,NearMiss
-0.362,-0.123,-0.922,-0.358,-0.103,-0.954,-0.515,0.092,-0.936,-0.644,0.278,-0.717,-0.814,0.524,-0.377,-0.902,0.466,-0.153,-0.796,0.365,-0.265,-0.813,0.332,-0.224,-0.844,0.406,-0.228,-0.884,0.398,-0.126,-0.878,0.363,-0.121,-0.914,0.391,-0.096,-0.901,0.420,-0.106,-0.727,0.423,-0.300,-0.684,0.447,-0.293,-0.763,0.443,-0.191,-0.774,0.422,-0.142,-0.702,0.559,-0.167,-0.667,0.632,-0.332,0.466,-0.153,-0.796,0.999,0.997,0.995,1.024,1.089,1.088,1.073,1.140,1.170,1.003,1.120,1.205,1.039,1.109,1.082,1.026,0.935,0.889,0.915,0.930,-111.539,53.876,-53.217,-0.734,0.354,-0.350,0.166,0.202,0.293,-0.227,0.570,-0.836,-0.772,0.406,-0.224,0.130,0.143,0.234,0.127,0.133,0.201,0.000,1.000,0.000,1.052,-1.111,-1.218,3.234,3.948,2.918,NearMiss
-0.035,-0.285,-0.938,-0.046,-0.264,-0.945,-0.037,-0.275,-0.943,-0.008,-0.301,-0.893,-0.071,-0.175,-1.011,-0.339,0.007,-1.191,-0.516,0.206,-1.138,-0.526,0.307,-1.120,-0.601,0.144,-0.659,-0.703,0.005,-0.440,-0.703,0.076,-0.346,-0.723,-0.140,-0.090,-0.809,-0.109,-0.293,-0.848,-0.156,-0.208,-0.866,-0.196,-0.189,-1.134,-0.222,-0.192,-0.973,-0.045,-0.233,-0.964,-0.132,-0.159,-0.970,-0.030,-0.152,0.007,-1.191,-0.516,0.981,0.982,0.976,0.982,0.982,0.985,0.983,0.982,0.990,0.943,0.945,0.913,1.029,1.081,1.067,1.239,1.298,1.314,1.267,1.271,-86.972,-12.666,-89.121,-0.572,-0.083,-0.586,0.388,0.182,0.401,-0.678,-2.187,-0.684,-0.669,-0.126,-0.444,0.319,0.147,0.377,0.313,0.143,0.368,4.000,10.000,0.000,-0.145,0.768,-0.203,3.178,3.172,1.423,NearMiss
