f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-41.627,86.656,-95.924,-0.276,0.574,-0.635,0.069,0.270,0.352,-0.250,0.470,-0.554,0.000,0.000,1.000,-0.272,0.588,-0.740,0.056,0.233,0.247,0.056,0.233,0.232,-0.079,-0.074,1.750,2.498,1.981,5.299,NoTouching
-54.158,128.821,-33.713,-0.359,0.853,-0.223,0.085,0.157,0.288,-0.238,0.184,-1.292,0.000,0.000,2.000,-0.342,0.845,-0.293,0.066,0.112,0.235,0.064,0.112,0.226,-0.549,0.536,0.834,3.200,4.365,2.592,NoTouching
-46.512,120.025,0.668,-0.304,0.784,0.004,0.067,0.190,0.523,-0.220,0.242,119.833,0.000,0.000,3.000,-0.309,0.839,-0.026,0.055,0.166,0.426,0.055,0.161,0.424,0.421,-0.425,0.093,2.204,2.269,2.011,NoTouching
-34.714,130.348,56.747,-0.230,0.863,0.376,0.096,0.193,0.268,-0.419,0.224,0.714,1.000,0.000,3.000,-0.215,0.875,0.382,0.078,0.162,0.215,0.077,0.162,0.215,-0.198,0.044,-0.247,2.571,2.641,2.284,NoTouching
-42.196,117.110,72.123,-0.279,0.776,0.478,0.079,0.176,0.285,-0.282,0.226,0.597,0.000,0.000,0.000,-0.275,0.765,0.466,0.066,0.145,0.255,0.066,0.145,0.255,0.401,0.267,0.071,2.361,2.087,1.694,NoTouching
-33.825,70.450,-95.442,-0.224,0.467,-0.632,0.124,0.316,0.437,-0.554,0.678,-0.691,1.000,2.000,2.000,-0.174,0.339,-0.830,0.106,0.285,0.381,0.099,0.272,0.340,-0.650,0.427,0.854,2.261,1.781,2.278,NoTouching
-38.454,105.368,-90.977,-0.250,0.684,-0.591,0.079,0.244,0.272,-0.315,0.356,-0.460,0.000,0.000,2.000,-0.260,0.701,-0.623,0.063,0.188,0.214,0.062,0.187,0.209,0.728,0.314,0.605,2.861,2.523,2.933,NoTouching
-31.632,80.826,-113.778,-0.211,0.539,-0.759,0.063,0.221,0.183,-0.300,0.410,-0.242,2.000,0.000,0.000,-0.229,0.471,-0.772,0.047,0.179,0.134,0.044,0.170,0.133,1.375,1.178,1.040,4.707,4.440,4.026,NoTouching
-35.395,122.595,71.733,-0.236,0.817,0.478,0.086,0.101,0.162,-0.365,0.124,0.340,1.000,0.000,0.000,-0.254,0.817,0.511,0.062,0.085,0.136,0.060,0.085,0.134,1.389,0.221,-0.463,4.923,2.153,2.234,NoTouching
-44.541,130.669,53.998,-0.295,0.865,0.358,0.056,0.098,0.198,-0.190,0.114,0.552,0.000,0.000,0.000,-0.318,0.860,0.402,0.047,0.075,0.163,0.043,0.075,0.157,0.869,-0.398,-0.062,2.510,2.977,2.201,NoTouching
218.211,197.105,8.795,1.426,1.288,0.057,0.584,1.542,0.841,0.410,1.197,14.624,0.000,4.000,12.000,1.373,1.595,0.260,0.465,1.134,0.601,0.463,1.088,0.567,0.552,-0.103,-1.897,3.035,4.863,8.235,NoTouching
216.754,220.626,170.210,1.417,1.442,1.112,0.519,1.920,0.802,0.366,1.332,0.721,2.000,3.000,6.000,1.558,1.714,0.958,0.399,1.352,0.647,0.387,1.317,0.634,-0.775,-0.770,0.578,3.190,3.634,2.540,NoTouching
231.503,250.002,170.783,1.494,1.613,1.102,0.549,1.779,0.661,0.368,1.103,0.600,0.000,2.000,5.000,1.440,1.628,1.104,0.417,1.146,0.534,0.412,1.146,0.534,0.336,-0.484,-0.091,3.368,4.517,2.163,NoTouching
213.516,263.444,118.228,1.386,1.711,0.768,0.521,1.944,0.619,0.376,1.136,0.806,2.000,2.000,12.000,1.318,1.694,0.753,0.382,1.226,0.485,0.374,1.226,0.485,-0.340,-0.013,0.386,4.062,5.403,2.992,NoTouching
237.855,231.253,154.380,1.545,1.502,1.002,0.480,1.851,0.760,0.311,1.233,0.758,2.000,3.000,6.000,1.590,1.507,0.955,0.364,1.219,0.603,0.361,1.219,0.600,-0.470,-0.407,0.243,4.167,4.797,2.306,NoTouching
205.405,131.218,183.584,1.334,0.852,1.192,0.480,1.981,0.776,0.360,2.325,0.651,0.000,3.000,4.000,1.401,1.240,1.094,0.385,1.413,0.619,0.382,1.318,0.612,-0.139,-0.654,0.232,2.627,3.817,2.504,NoTouching
205.134,127.542,120.437,1.445,0.898,0.848,0.539,2.147,0.857,0.373,2.391,1.010,0.000,4.000,9.000,1.642,1.503,0.729,0.428,1.660,0.635,0.413,1.515,0.624,-0.821,-0.561,1.113,2.965,3.176,3.727,NoTouching
180.245,130.774,158.230,1.178,0.855,1.034,0.568,2.076,0.713,0.482,2.428,0.689,2.000,4.000,6.000,1.221,1.359,0.939,0.439,1.594,0.589,0.439,1.469,0.586,0.023,-0.601,0.374,3.153,3.077,2.389,NoTouching
172.965,134.883,136.855,1.116,0.870,0.883,0.550,1.914,0.706,0.493,2.200,0.800,0.000,4.000,5.000,1.106,1.395,0.930,0.438,1.502,0.579,0.438,1.375,0.576,0.298,-0.467,0.104,2.647,3.023,2.306,NoTouching
209.647,181.312,179.398,1.370,1.185,1.173,0.712,1.957,0.774,0.519,1.652,0.660,0.000,3.000,6.000,1.335,1.545,1.075,0.572,1.443,0.611,0.571,1.359,0.607,0.293,-0.701,0.144,2.292,3.302,2.466,NoTouching
-38.684,13.351,-146.297,-0.251,0.087,-0.950,0.032,0.085,0.032,-0.126,0.984,-0.034,0.000,10.000,0.000,-0.255,0.092,-0.947,0.018,0.071,0.016,0.018,0.070,0.016,0.476,-0.307,0.276,13.455,2.954,29.027,NoTouching
-26.132,27.376,-147.437,-0.170,0.178,-0.957,0.100,0.098,0.079,-0.587,0.553,-0.083,4.000,6.000,0.000,-0.184,0.197,-0.954,0.067,0.074,0.058,0.066,0.072,0.057,1.778,-1.033,-0.397,13.058,4.266,3.945,NoTouching
-28.446,23.718,-147.598,-0.185,0.154,-0.958,0.067,0.070,0.044,-0.364,0.453,-0.046,4.000,4.000,0.000,-0.199,0.158,-0.957,0.043,0.056,0.032,0.041,0.056,0.032,3.027,-0.107,0.136,18.827,3.066,5.893,NoTouching
-30.804,29.085,-146.208,-0.200,0.189,-0.949,0.031,0.043,0.034,-0.153,0.230,-0.035,0.000,0.000,0.000,-0.205,0.199,-0.948,0.018,0.033,0.020,0.017,0.032,0.020,2.340,-0.836,-1.093,12.472,3.958,13.793,NoTouching
