f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-60.684,-2.168,-97.454,-0.405,-0.014,-0.650,0.424,0.256,0.384,-1.047,-17.708,-0.591,4.000,1.000,0.000,-0.226,0.061,-0.911,0.405,0.230,0.358,0.396,0.228,0.329,-0.221,0.432,0.474,1.210,1.949,1.444,NearMiss
-25.684,42.267,-127.044,-0.169,0.278,-0.836,0.394,0.187,0.322,-2.331,0.673,-0.386,3.000,6.000,0.000,-0.106,0.246,-0.934,0.315,0.156,0.270,0.306,0.154,0.251,-0.235,0.194,0.608,2.215,2.250,2.263,NearMiss
-67.514,12.825,-70.601,-0.444,0.084,-0.464,0.567,0.314,0.451,-1.276,3.716,-0.970,1.000,1.000,2.000,-0.582,-0.074,-0.156,0.495,0.248,0.421,0.476,0.240,0.367,0.608,1.139,-0.612,1.774,3.191,1.678,NearMiss
-70.476,40.348,-40.543,-0.464,0.265,-0.267,0.539,0.234,0.571,-1.162,0.881,-2.139,1.000,2.000,1.000,-0.616,0.199,0.092,0.482,0.189,0.532,0.451,0.168,0.485,0.520,0.988,-0.491,1.635,2.697,1.473,NearMiss
-61.549,28.398,-83.084,-0.405,0.187,-0.547,0.532,0.330,0.362,-1.313,1.768,-0.663,3.000,1.000,0.000,-0.606,0.168,-0.336,0.483,0.274,0.340,0.461,0.273,0.322,0.419,0.636,-0.418,1.522,2.292,1.600,NearMiss
1.723,47.567,-115.441,0.011,0.315,-0.765,0.357,0.357,0.324,31.271,1.132,-0.423,1.000,1.000,0.000,0.200,0.192,-0.930,0.313,0.287,0.262,0.273,0.256,0.198,-0.898,0.371,1.323,2.135,2.552,3.084,NearMiss
-72.893,-0.404,-75.115,-0.480,-0.003,-0.494,0.515,0.357,0.448,-1.073,-134.341,-0.906,1.000,1.000,0.000,-0.705,-0.210,-0.240,0.450,0.302,0.391,0.421,0.278,0.332,0.736,1.078,-0.994,1.947,3.090,2.547,NearMiss
-37.661,30.100,-125.920,-0.248,0.198,-0.828,0.395,0.187,0.318,-1.594,0.942,-0.384,7.000,12.000,0.000,-0.177,0.216,-0.888,0.349,0.157,0.286,0.345,0.156,0.285,0.056,-0.236,0.021,1.731,2.211,1.654,NearMiss
-57.472,25.506,-98.745,-0.378,0.168,-0.650,0.504,0.307,0.263,-1.333,1.830,-0.404,1.000,5.000,0.000,-0.586,0.174,-0.476,0.461,0.258,0.247,0.434,0.258,0.225,0.506,0.336,-0.476,1.542,2.008,1.500,NearMiss
-81.396,65.998,-59.485,-0.535,0.434,-0.391,0.393,0.137,0.412,-0.734,0.315,-1.052,1.000,0.000,2.000,-0.739,0.396,-0.131,0.344,0.110,0.376,0.299,0.106,0.315,0.860,0.745,-0.749,2.003,2.821,1.717,NearMiss
