f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,class
0.240,0.173,-0.940,0.229,0.202,-0.946,0.229,0.189,-0.947,0.234,0.204,-0.937,0.252,0.174,-0.962,0.321,0.282,-1.016,0.325,0.603,-1.184,0.084,0.862,-1.128,-0.251,1.004,-0.914,-0.465,0.946,-0.688,-0.506,0.626,-0.395,-0.600,0.344,-0.262,-0.705,0.158,-0.201,-0.701,0.066,-0.168,-0.686,0.004,-0.203,-0.785,0.050,-0.218,-0.774,0.118,-0.273,-0.873,0.088,-0.143,-0.855,0.086,-0.115,-1.001,0.024,-0.161,-1.014,0.104,-0.237,-0.951,0.006,-0.183,-0.935,0.078,-0.176,-0.962,0.024,-0.178,-1.022,0.029,-0.204,0.986,0.983,0.989,0.994,0.994,0.992,0.992,0.994,0.997,0.987,0.991,0.986,1.010,1.029,1.053,1.103,1.103,1.225,1.367,1.331,1.466,1.422,1.442,1.531,1.381,-69.113,38.540,-77.129,-0.455,0.254,-0.507,0.506,0.301,0.384,-1.113,1.187,-0.756,-0.666,0.150,-0.270,0.455,0.230,0.362,0.427,0.200,0.324,1.000,13.000,0.000,0.477,1.429,-0.502,1.559,3.796,1.481,Touching
0.231,0.244,-0.935,0.222,0.237,-0.930,0.219,0.251,-0.938,0.223,0.258,-0.938,0.221,0.244,-0.920,0.232,0.273,-0.926,0.234,0.268,-0.956,0.278,0.495,-1.049,0.151,1.177,-1.237,-0.256,1.322,-1.163,-0.497,1.087,-0.680,-0.622,0.745,-0.210,-0.524,0.563,-0.082,-0.287,0.463,-0.273,-0.404,0.160,-0.339,-0.843,0.423,-0.026,-0.932,0.312,-0.109,-0.764,0.226,-0.266,-0.799,0.238,-0.096,-0.792,0.246,-0.191,-0.780,0.308,-0.194,-0.815,0.387,-0.218,-0.738,0.478,-0.233,-0.648,0.502,-0.203,-0.708,0.407,-0.181,0.993,0.991,0.990,0.985,0.984,0.988,0.995,0.996,0.998,0.998,0.997,0.994,0.978,0.980,0.988,0.993,0.993,0.992,1.020,1.031,1.111,1.193,1.170,1.584,1.714,-52.073,68.645,-80.082,-0.343,0.452,-0.527,0.453,0.313,0.409,-1.323,0.694,-0.777,-0.509,0.345,-0.281,0.417,0.225,0.385,0.409,0.205,0.368,1.000,2.000,4.000,0.268,1.627,-0.303,1.376,4.953,1.462,Touching
0.262,0.195,-0.928,0.253,0.223,-0.932,0.243,0.212,-0.933,0.256,0.225,-0.938,0.268,0.194,-0.977,0.401,0.471,-1.098,0.152,0.973,-1.435,-0.133,1.010,-1.338,-0.266,0.787,-0.920,-0.373,0.405,-0.396,-0.491,0.178,-0.239,-0.602,-0.136,-0.104,-0.612,-0.294,-0.160,-0.680,-0.387,-0.129,-0.745,-0.173,-0.154,-0.853,-0.188,-0.091,-0.868,-0.278,-0.164,-0.881,-0.212,-0.171,-0.943,-0.134,-0.216,-1.016,-0.164,-0.203,-0.999,-0.177,-0.226,-0.986,-0.166,-0.219,-1.061,-0.128,-0.243,-0.986,-0.150,-0.262,-0.935,-0.151,-0.219,0.984,0.981,0.987,0.991,0.989,0.986,0.987,0.990,0.993,0.998,1.001,0.995,1.031,1.074,1.156,1.260,1.204,1.475,1.740,1.739,1.760,1.682,1.698,1.575,1.240,-71.432,12.498,-76.422,-0.470,0.082,-0.503,0.510,0.385,0.431,-1.085,4.680,-0.858,-0.623,-0.116,-0.238,0.456,0.313,0.393,0.436,0.290,0.332,1.000,1.000,0.000,0.492,1.142,-0.799,1.650,3.445,2.108,Touching
0.200,0.278,-0.914,0.220,0.276,-0.908,0.209,0.333,-0.901,0.194,0.403,-0.886,0.208,0.469,-0.897,0.328,0.551,-0.936,0.291,1.003,-1.059,-0.082,1.412,-0.916,-0.454,1.370,-0.560,-0.546,0.845,-0.289,-0.504,0.433,-0.134,-0.549,0.048,-0.200,-0.588,0.042,-0.283,-0.593,-0.007,-0.298,-0.717,-0.018,-0.356,-0.717,0.098,-0.402,-0.726,0.105,-0.254,-0.807,0.098,-0.337,-0.967,0.176,-0.288,-0.898,0.099,-0.384,-0.895,0.129,-0.313,-0.920,0.154,-0.294,-0.940,0.133,-0.275,-1.016,-0.029,-0.332,-1.019,0.101,-0.290,0.976,0.980,0.980,0.974,0.972,0.989,0.983,0.980,1.006,0.993,0.996,1.024,1.034,1.064,1.103,1.135,1.124,1.402,1.487,1.461,1.767,1.686,1.744,1.710,1.548,-69.711,51.187,-76.791,-0.459,0.337,-0.505,0.477,0.404,0.301,-1.040,1.200,-0.596,-0.589,0.164,-0.359,0.416,0.300,0.272,0.390,0.272,0.240,1.000,8.000,0.000,0.525,1.587,-0.622,1.704,4.681,1.724,Touching
0.244,0.163,-0.944,0.239,0.179,-0.942,0.228,0.126,-0.936,0.278,0.264,-1.000,0.371,0.694,-1.141,0.045,1.163,-1.224,-0.278,1.222,-0.910,-0.332,0.913,-0.554,-0.333,0.543,-0.297,-0.305,0.412,-0.296,-0.331,0.237,-0.264,-0.525,0.247,-0.219,-0.799,0.257,-0.244,-0.885,0.373,-0.259,-0.867,0.386,-0.198,-0.908,0.330,-0.189,-0.832,0.401,-0.212,-0.661,0.491,-0.236,-0.569,0.581,-0.243,-0.585,0.528,-0.079,-0.674,0.524,-0.052,-0.545,0.459,-0.203,-0.462,0.799,-0.414,-0.301,0.852,-0.530,-0.162,0.908,-0.739,0.989,0.988,0.990,0.988,0.985,0.977,0.971,0.984,1.011,1.071,1.098,1.272,1.386,1.336,1.630,1.689,1.711,1.752,1.549,1.559,1.331,1.118,1.118,0.844,0.702,-53.795,79.116,-74.695,-0.356,0.524,-0.495,0.394,0.306,0.362,-1.105,0.583,-0.731,-0.351,0.455,-0.317,0.321,0.244,0.323,0.321,0.236,0.294,1.000,0.000,0.000,0.407,0.841,-0.656,2.052,2.855,1.959,Touching
0.234,0.011,-0.955,0.236,0.033,-0.950,0.229,0.015,-0.943,0.289,0.207,-1.038,0.322,0.531,-1.137,0.014,0.992,-1.155,-0.346,1.122,-0.834,-0.525,1.080,-0.290,-0.511,0.879,-0.009,-0.391,0.539,-0.013,-0.326,0.481,-0.141,-0.378,0.335,-0.128,-0.578,0.364,-0.143,-0.846,0.466,-0.012,-0.967,0.425,-0.103,-0.961,0.474,-0.007,-0.820,0.475,-0.013,-0.772,0.398,-0.127,-0.722,0.479,-0.140,-0.564,0.553,-0.253,-0.555,0.446,-0.217,-0.511,0.566,-0.100,-0.470,0.748,0.003,-0.411,0.715,-0.208,-0.274,0.967,-0.521,0.983,0.984,0.984,0.980,0.978,0.978,0.971,0.987,1.008,1.097,1.106,1.210,1.296,1.255,1.509,1.522,1.561,1.647,1.440,1.493,1.462,1.236,1.230,1.057,1.017,-57.982,81.696,-58.001,-0.381,0.537,-0.382,0.390,0.311,0.413,-1.022,0.578,-1.083,-0.433,0.481,-0.166,0.310,0.245,0.364,0.303,0.237,0.324,1.000,6.000,12.000,0.471,0.184,-0.777,2.223,2.456,1.972,Touching
1.928,0.920,-0.150,-0.402,0.765,-0.051,-0.341,0.548,-0.114,-0.285,0.512,-0.143,-0.281,0.401,-0.212,-0.434,0.415,-0.107,-0.525,0.263,-0.198,-0.728,0.461,-0.051,-0.836,0.573,0.014,-0.874,0.451,-0.149,-0.946,0.382,-0.129,-1.016,0.465,0.008,-0.887,0.505,0.023,-0.815,0.490,-0.040,-0.782,0.450,-0.103,-0.853,0.486,-0.071,-0.887,0.479,-0.065,-0.921,0.444,-0.003,-0.853,0.472,0.022,-0.783,0.440,-0.063,-0.666,0.547,-0.235,-0.519,0.479,-0.301,-0.473,0.477,-0.293,-0.485,0.491,-0.217,-0.529,0.538,-0.134,2.142,1.015,0.877,0.865,0.839,0.647,0.655,0.628,0.597,0.603,0.601,0.510,0.534,0.628,0.637,0.610,0.678,0.597,0.620,0.799,0.884,0.863,0.956,1.015,1.014,-56.245,49.270,-10.916,-0.568,0.498,-0.110,0.993,0.127,0.100,-1.747,0.255,-0.907,-0.754,0.482,-0.097,0.315,0.077,0.082,0.300,0.075,0.081,1.000,0.000,5.000,9.032,1.594,-0.303,87.195,7.701,2.238,Touching
0.241,0.119,-0.946,0.239,0.169,-0.949,0.227,0.160,-0.957,0.226,0.174,-0.980,0.300,0.322,-1.001,0.271,0.841,-1.053,-0.120,1.277,-0.866,-0.324,1.248,-0.487,-0.400,0.967,-0.201,-0.416,0.637,-0.040,-0.423,0.406,-0.090,-0.456,0.379,-0.157,-0.579,0.314,-0.104,-0.746,0.431,-0.051,-0.879,0.451,-0.028,-0.898,0.523,0.056,-0.925,0.399,0.091,-0.912,0.335,0.091,-0.930,0.316,0.080,-0.913,0.353,0.072,-0.890,0.355,0.061,-0.930,0.372,0.056,-0.837,0.378,-0.112,-0.578,0.413,-0.239,-0.548,0.482,-0.208,0.983,0.983,0.990,0.993,0.990,0.989,0.996,0.996,0.998,1.021,1.040,1.075,1.093,1.086,1.335,1.374,1.353,1.659,1.548,1.577,1.553,1.378,1.398,1.155,1.066,-67.765,71.463,-47.975,-0.449,0.473,-0.318,0.450,0.305,0.424,-1.002,0.644,-1.335,-0.526,0.385,-0.127,0.378,0.215,0.373,0.375,0.198,0.332,1.000,0.000,4.000,0.536,1.520,-0.747,1.832,4.612,1.862,Touching
0.190,0.376,-0.884,0.172,0.434,-0.878,0.151,0.476,-0.879,0.253,0.593,-0.974,0.307,0.896,-0.982,-0.010,1.044,-0.787,-0.399,1.213,-0.489,-0.631,1.118,-0.348,-0.753,0.877,-0.136,-0.661,0.616,-0.080,-0.608,0.452,-0.146,-0.632,0.285,-0.013,-0.717,0.269,-0.089,-0.862,0.309,-0.166,-0.933,0.286,-0.019,-0.854,0.307,-0.059,-0.760,0.223,-0.230,-0.736,0.108,-0.192,-0.611,0.270,-0.242,-0.705,0.284,-0.201,-0.886,0.183,-0.277,-0.954,0.267,-0.308,-0.928,0.294,-0.242,-0.953,0.337,-0.298,-0.954,0.373,-0.266,0.979,0.976,0.999,0.994,0.991,1.010,1.011,1.031,1.090,1.168,1.181,1.359,1.365,1.329,1.433,1.307,1.367,1.500,1.367,1.452,1.374,1.330,1.392,1.207,1.164,-83.051,72.148,-55.778,-0.546,0.475,-0.367,0.431,0.308,0.318,-0.788,0.649,-0.867,-0.697,0.357,-0.258,0.354,0.241,0.263,0.318,0.215,0.235,1.000,0.000,6.000,0.943,1.223,-0.885,2.384,3.369,2.345,Touching
0.208,0.295,-0.915,0.208,0.327,-0.912,0.192,0.337,-0.907,0.209,0.339,-0.914,0.183,0.408,-0.949,0.265,0.626,-1.128,0.041,1.035,-1.103,-0.198,1.194,-1.097,-0.321,0.906,-0.912,-0.366,0.527,-0.619,-0.391,0.198,-0.383,-0.514,0.241,-0.364,-0.434,0.114,-0.340,-0.527,0.121,-0.370,-0.708,0.061,-0.441,-0.844,0.251,-0.461,-0.936,0.118,-0.396,-0.951,0.034,-0.332,-0.920,-0.063,-0.256,-0.903,-0.005,-0.364,-0.872,-0.042,-0.291,-0.933,-0.203,-0.281,-0.953,-0.217,-0.352,-0.904,-0.228,-0.270,-0.907,-0.209,-0.274,0.983,0.983,0.993,0.990,0.987,0.990,0.986,0.990,0.991,0.997,0.992,1.017,1.049,1.066,1.167,1.318,1.291,1.532,1.513,1.525,1.637,1.634,1.653,1.459,1.325,-69.503,36.663,-88.468,-0.457,0.241,-0.582,0.456,0.381,0.313,-0.998,1.581,-0.538,-0.482,0.205,-0.404,0.401,0.294,0.289,0.400,0.292,0.262,1.000,9.000,0.000,0.389,0.940,-0.553,1.601,3.436,1.652,Touching
