f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,class
0.174,0.170,-0.978,0.169,0.163,-0.976,0.167,0.172,-0.965,0.164,0.186,-0.956,0.167,0.199,-0.952,0.170,0.230,-0.965,0.148,0.278,-1.002,-0.015,0.523,-1.011,-0.167,0.736,-1.057,-0.377,0.862,-0.953,-0.477,0.736,-0.849,-0.509,0.571,-0.559,-0.559,0.430,-0.356,-0.548,0.279,-0.296,-0.586,0.154,-0.301,-0.596,0.081,-0.416,-0.543,0.016,-0.628,-0.756,0.320,-0.640,-0.817,0.200,-0.576,-0.860,0.224,-0.620,-0.800,0.247,-0.615,-0.747,0.207,-0.560,-0.745,0.179,-0.539,-0.758,0.155,-0.523,-0.760,0.164,-0.561,1.008,1.007,1.006,1.004,1.004,1.005,0.994,0.993,0.996,0.987,0.988,0.990,0.986,0.987,0.994,1.006,1.003,1.015,1.051,1.040,1.131,1.138,1.150,1.261,1.299,-58.289,45.224,-108.274,-0.383,0.298,-0.712,0.393,0.227,0.273,-1.024,0.764,-0.383,-0.536,0.204,-0.620,0.357,0.177,0.246,0.333,0.152,0.239,1.000,4.000,0.000,0.405,1.169,-0.211,1.521,3.629,2.487,NearMiss
0.319,0.245,-0.921,0.330,0.186,-0.841,0.375,0.127,-0.781,0.378,0.201,-0.906,0.263,0.305,-0.719,0.306,0.205,-0.883,0.371,0.543,-0.584,0.351,0.822,-0.538,0.397,1.106,-0.536,0.470,0.806,-0.568,0.582,0.920,-0.604,0.716,0.987,-0.702,0.559,1.010,-0.882,0.380,1.037,-0.890,0.148,0.998,-0.841,-0.085,0.822,-0.660,-0.304,0.608,-0.557,-0.433,0.318,-0.372,-0.472,0.260,-0.445,-0.536,0.117,-0.470,-0.583,0.031,-0.533,-0.636,-0.046,-0.511,-0.703,-0.083,-0.535,-0.759,-0.141,-0.525,-0.773,-0.180,-0.550,1.005,1.009,0.996,0.923,0.940,0.930,0.876,0.877,0.890,1.002,0.965,0.992,0.824,0.838,0.807,0.957,0.980,1.101,0.879,0.871,1.067,1.043,1.059,1.292,1.292,2.430,66.833,-99.224,0.016,0.440,-0.653,0.489,0.428,0.175,30.615,0.973,-0.268,0.305,0.301,-0.581,0.450,0.383,0.153,0.413,0.368,0.148,1.000,1.000,0.000,-0.403,0.305,-0.344,1.578,1.882,1.909,NearMiss
0.229,0.166,-0.975,0.213,0.141,-0.950,0.217,0.138,-0.956,0.228,0.153,-0.960,0.223,0.153,-0.946,0.217,0.160,-0.946,0.211,0.145,-0.925,0.218,0.122,-0.880,0.267,0.048,-0.739,0.370,0.070,-0.779,0.481,0.170,-0.763,0.691,0.410,-1.065,0.589,0.473,-0.971,0.366,0.596,-0.799,0.263,0.706,-0.745,0.270,0.804,-0.690,0.318,1.091,-0.849,0.065,0.997,-0.852,-0.205,0.932,-0.881,-0.223,0.836,-0.673,-0.290,0.834,-0.584,-0.403,0.613,-0.363,-0.489,0.347,-0.203,-0.586,0.137,-0.124,-0.645,0.132,-0.121,1.015,1.012,1.008,0.984,0.984,0.984,0.990,0.992,0.994,0.998,0.997,0.997,0.984,0.983,0.984,0.984,0.982,0.980,0.959,0.961,0.958,0.915,0.928,0.921,0.787,16.844,61.978,-112.190,0.114,0.419,-0.758,0.345,0.338,0.261,3.034,0.808,-0.344,0.220,0.217,-0.847,0.279,0.300,0.198,0.241,0.288,0.186,1.000,0.000,0.000,-0.699,0.654,1.312,2.647,1.987,3.750,NearMiss
0.243,0.219,-1.000,0.201,0.206,-0.994,0.176,0.309,-1.123,0.027,0.539,-1.210,-0.201,0.795,-1.105,-0.386,0.915,-0.833,-0.472,0.799,-0.468,-0.439,0.609,-0.254,-0.448,0.452,-0.111,-0.577,0.412,0.057,-0.559,0.581,-0.250,-0.716,0.348,-0.611,-0.865,0.507,-0.433,-0.831,0.310,-0.250,-0.743,0.292,-0.222,-0.763,0.401,-0.221,-0.888,0.312,-0.150,-0.922,0.297,-0.230,-0.872,0.253,-0.438,-0.846,0.116,-0.597,-0.770,0.027,-0.771,-0.681,0.363,-0.490,-0.635,0.675,-0.257,-0.703,0.385,-0.462,-0.778,0.123,-0.688,1.052,1.043,1.040,1.035,1.031,1.056,1.178,1.165,1.246,1.325,1.340,1.462,1.376,1.415,1.485,1.296,1.324,1.247,1.039,1.025,0.885,0.792,0.797,0.685,0.646,-82.308,61.924,-79.950,-0.542,0.407,-0.526,0.365,0.269,0.400,-0.674,0.659,-0.760,-0.688,0.373,-0.438,0.299,0.212,0.330,0.275,0.210,0.325,3.000,4.000,2.000,1.036,0.668,-0.600,2.784,3.559,3.709,NearMiss
0.496,0.448,-0.794,0.481,0.428,-0.769,0.480,0.439,-0.788,0.481,0.418,-0.828,0.555,0.555,-0.948,0.431,0.685,-1.090,0.139,0.942,-1.054,-0.111,1.031,-0.832,-0.241,1.013,-0.543,-0.321,0.837,-0.350,-0.465,0.579,-0.211,-0.631,0.385,-0.236,-0.692,0.203,-0.287,-0.679,-0.056,-0.216,-0.688,-0.186,-0.131,-0.725,-0.244,-0.134,-0.812,-0.250,-0.199,-0.857,-0.256,-0.282,-0.934,-0.272,-0.323,-0.967,-0.268,-0.297,-0.878,-0.296,-0.258,-0.795,-0.300,-0.234,-0.839,-0.283,-0.233,-0.907,-0.293,-0.208,-0.938,-0.311,-0.219,1.038,1.031,1.022,1.003,1.003,1.008,1.022,1.023,1.014,1.045,1.081,1.141,1.230,1.180,1.246,1.357,1.295,1.447,1.420,1.418,1.479,1.330,1.347,1.333,1.175,-57.426,29.383,-69.024,-0.380,0.195,-0.457,0.554,0.475,0.313,-1.456,2.439,-0.684,-0.676,0.185,-0.285,0.492,0.435,0.281,0.452,0.435,0.242,1.000,1.000,0.000,0.650,0.373,-0.781,1.784,1.679,2.036,NearMiss
0.416,0.332,-0.857,0.401,0.327,-0.833,0.404,0.325,-0.838,0.412,0.328,-0.847,0.437,0.305,-0.881,0.483,0.372,-1.020,0.442,0.620,-1.086,0.209,0.758,-1.073,0.007,0.993,-0.983,-0.198,0.887,-0.661,-0.345,0.758,-0.243,-0.428,0.749,0.029,-0.466,0.554,0.083,-0.472,0.145,0.104,-0.628,-0.020,0.206,-0.807,-0.095,0.256,-0.995,-0.072,0.309,-1.037,0.126,0.493,-0.971,0.175,0.521,-0.882,0.126,0.376,-0.796,0.111,0.293,-0.836,0.159,0.378,-0.905,0.200,0.379,-0.961,0.224,0.366,-0.934,0.223,0.331,1.009,1.003,1.001,0.980,0.982,0.981,0.986,0.989,0.990,0.997,1.008,1.001,1.030,1.050,1.071,1.188,1.172,1.273,1.327,1.268,1.341,1.331,1.314,1.462,1.398,-52.551,52.105,-30.446,-0.346,0.343,-0.200,0.568,0.296,0.598,-1.644,0.863,-2.983,-0.464,0.301,0.099,0.513,0.233,0.565,0.499,0.226,0.532,1.000,2.000,1.000,0.316,0.690,-0.317,1.471,2.563,1.341,NearMiss
0.089,0.393,-0.983,0.059,0.399,-0.959,0.035,0.405,-0.932,0.035,0.439,-0.935,0.004,0.534,-0.954,-0.123,0.786,-1.013,-0.364,0.949,-0.884,-0.480,0.869,-0.675,-0.549,0.735,-0.448,-0.585,0.482,-0.322,-0.615,0.327,-0.296,-0.602,0.131,-0.344,-0.703,0.052,-0.350,-0.800,0.116,-0.411,-0.820,0.124,-0.390,-0.856,0.141,-0.413,-0.851,0.076,-0.413,-0.860,0.111,-0.413,-0.826,0.022,-0.422,-0.843,0.011,-0.457,-0.856,0.075,-0.493,-0.862,-0.027,-0.447,-0.877,0.060,-0.456,-0.911,0.079,-0.431,-0.803,-0.042,-0.449,1.063,1.061,1.063,1.041,1.039,1.042,1.017,1.017,1.030,1.033,1.032,1.077,1.093,1.100,1.242,1.288,1.333,1.435,1.347,1.383,1.329,1.200,1.230,1.139,1.021,-85.410,43.921,-86.610,-0.562,0.289,-0.570,0.352,0.293,0.248,-0.626,1.014,-0.436,-0.702,0.149,-0.449,0.297,0.249,0.219,0.282,0.233,0.187,1.000,10.000,0.000,0.831,0.858,-0.785,2.119,2.646,1.905,NearMiss
0.213,0.304,-0.929,0.198,0.298,-0.928,0.204,0.297,-0.936,0.202,0.303,-0.933,0.202,0.259,-0.928,0.198,0.310,-0.981,0.169,0.356,-1.025,0.043,0.586,-1.159,-0.090,0.662,-1.246,-0.204,0.822,-1.229,-0.359,0.709,-0.932,-0.424,0.501,-0.668,-0.448,0.336,-0.508,-0.543,0.099,-0.365,-0.711,-0.065,-0.362,-0.702,-0.015,-0.327,-0.742,0.018,-0.281,-0.682,0.138,-0.299,-0.536,0.586,-0.308,-0.460,0.915,-0.335,-0.806,0.582,-0.297,-0.997,0.266,-0.340,-1.055,-0.002,-0.343,-0.679,0.441,-0.329,-0.553,0.750,-0.282,1.000,0.997,0.995,0.995,0.996,0.996,1.003,1.003,1.004,1.001,1.001,0.989,0.985,0.984,0.999,1.047,1.042,1.057,1.098,1.086,1.182,1.300,1.302,1.338,1.413,-53.154,57.608,-98.161,-0.350,0.379,-0.646,0.418,0.281,0.348,-1.196,0.742,-0.539,-0.431,0.313,-0.472,0.366,0.230,0.329,0.358,0.222,0.321,1.000,4.000,0.000,0.077,0.298,-0.342,1.675,2.245,1.502,NearMiss
0.637,0.447,-0.627,0.628,0.458,-0.614,0.623,0.477,-0.628,0.617,0.490,-0.637,0.670,0.491,-0.694,0.816,0.556,-0.884,0.793,0.590,-0.951,0.449,0.721,-0.935,0.116,0.867,-0.814,-0.205,1.057,-0.599,-0.352,0.944,-0.480,-0.483,0.820,-0.327,-0.558,0.568,-0.235,-0.627,0.366,-0.183,-0.725,0.128,-0.221,-0.743,-0.039,-0.163,-0.726,-0.184,-0.176,-0.700,-0.231,-0.208,-0.730,-0.280,-0.205,-0.856,-0.283,-0.266,-0.912,-0.312,-0.269,-0.901,-0.312,-0.286,-0.868,-0.323,-0.264,-0.846,-0.347,-0.236,-0.874,-0.367,-0.234,0.999,0.993,0.999,0.991,0.988,0.997,1.006,1.002,1.008,1.013,1.046,1.047,1.082,1.178,1.206,1.325,1.311,1.326,1.372,1.206,1.275,1.263,1.187,1.281,1.195,-35.434,37.468,-67.086,-0.235,0.248,-0.444,0.651,0.468,0.261,-2.773,1.887,-0.588,-0.551,0.449,-0.293,0.597,0.428,0.237,0.552,0.412,0.221,1.000,1.000,0.000,0.521,0.023,-0.642,1.533,1.584,2.003,NearMiss
0.324,0.230,-1.007,0.285,0.224,-0.977,0.283,0.241,-1.028,0.228,0.355,-1.049,0.203,0.472,-1.111,-0.050,0.657,-0.969,-0.310,0.737,-0.687,-0.549,0.846,-0.279,-0.708,0.750,0.058,-0.714,0.567,0.180,-0.667,0.487,0.149,-0.631,0.424,0.036,-0.703,0.439,0.054,-0.786,0.404,0.040,-0.825,0.470,0.022,-0.835,0.435,0.020,-0.852,0.432,0.079,-0.799,0.348,-0.089,-0.840,0.473,0.055,-0.877,0.464,-0.024,-0.899,0.398,-0.002,-0.882,0.466,0.053,-0.906,0.435,0.014,-0.880,0.451,0.021,-0.881,0.478,-0.032,1.082,1.071,1.070,1.042,1.041,1.045,1.093,1.080,1.111,1.130,1.126,1.168,1.225,1.209,1.292,1.172,1.212,1.257,1.054,1.147,1.220,1.046,1.138,1.068,1.033,-80.559,70.565,-38.852,-0.534,0.467,-0.257,0.442,0.152,0.460,-0.828,0.324,-1.787,-0.753,0.452,0.008,0.375,0.105,0.404,0.320,0.104,0.322,1.000,0.000,8.000,1.042,0.750,-0.951,2.396,3.559,2.094,NearMiss
