f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-29.988,74.817,-72.702,-0.197,0.492,-0.478,0.646,0.242,0.213,-3.274,0.492,-0.445,0.000,2.000,0.000,-0.440,0.404,-0.397,0.588,0.185,0.182,0.562,0.162,0.175,0.447,1.083,-0.533,1.507,3.679,2.279,Touching
-12.786,61.429,-61.722,-0.085,0.407,-0.409,0.631,0.421,0.251,-7.450,1.034,-0.614,1.000,8.000,0.000,-0.269,0.383,-0.334,0.578,0.330,0.221,0.565,0.330,0.218,0.078,0.850,-0.438,1.490,2.746,2.192,Touching
-17.380,92.772,-35.108,-0.114,0.610,-0.231,0.563,0.287,0.381,-4.922,0.471,-1.650,2.000,0.000,12.000,-0.161,0.518,-0.028,0.475,0.206,0.336,0.472,0.176,0.296,0.136,1.843,-0.781,1.774,5.396,2.108,Touching
-14.613,86.198,-45.093,-0.096,0.567,-0.297,0.558,0.314,0.343,-5.809,0.554,-1.155,1.000,0.000,3.000,-0.299,0.426,-0.229,0.482,0.252,0.290,0.448,0.222,0.284,0.455,1.190,-0.260,1.882,3.291,2.092,Touching
-29.602,87.661,-57.921,-0.195,0.577,-0.381,0.475,0.265,0.332,-2.437,0.460,-0.870,2.000,0.000,0.000,-0.257,0.462,-0.202,0.405,0.211,0.300,0.400,0.193,0.255,0.168,1.233,-0.777,1.698,3.417,1.860,Touching
-20.777,81.597,-36.344,-0.137,0.537,-0.239,0.635,0.305,0.368,-4.649,0.568,-1.540,1.000,0.000,9.000,-0.284,0.426,-0.058,0.566,0.237,0.336,0.547,0.209,0.303,0.284,1.323,-0.493,1.538,3.629,1.693,Touching
-8.987,76.815,-33.774,-0.059,0.505,-0.222,0.590,0.436,0.356,-9.973,0.862,-1.601,1.000,2.000,6.000,-0.205,0.351,-0.185,0.512,0.362,0.286,0.503,0.328,0.284,0.178,0.976,0.211,1.699,2.675,2.310,Touching
9.819,82.922,-48.204,0.065,0.546,-0.317,0.577,0.572,0.353,8.926,1.049,-1.113,2.000,6.000,4.000,-0.089,0.462,-0.373,0.514,0.471,0.302,0.506,0.460,0.299,0.165,0.520,-0.027,1.657,2.440,2.063,Touching
-46.711,78.140,-56.960,-0.307,0.514,-0.375,0.637,0.276,0.249,-2.072,0.537,-0.665,1.000,0.000,0.000,-0.501,0.460,-0.288,0.549,0.200,0.209,0.512,0.193,0.188,0.746,1.325,-0.942,2.012,4.378,2.585,Touching
-42.834,73.264,-43.952,-0.282,0.482,-0.289,0.688,0.350,0.286,-2.443,0.727,-0.990,1.000,0.000,2.000,-0.456,0.368,-0.208,0.593,0.282,0.231,0.580,0.247,0.220,0.548,1.083,-0.648,1.868,2.847,2.738,Touching
10.314,50.085,-63.601,0.068,0.330,-0.418,0.665,0.514,0.266,9.803,1.560,-0.637,2.000,6.000,2.000,-0.065,0.303,-0.381,0.600,0.411,0.197,0.590,0.407,0.194,0.126,0.664,-0.979,1.514,2.709,3.435,Touching
-8.645,103.509,-8.490,-0.057,0.677,-0.055,0.691,0.358,0.473,-12.222,0.530,-8.517,1.000,0.000,15.000,-0.157,0.522,-0.024,0.605,0.281,0.339,0.599,0.236,0.337,-0.101,1.323,1.101,1.858,3.383,5.164,Touching
14.280,71.756,-62.693,0.095,0.475,-0.415,0.628,0.469,0.278,6.644,0.988,-0.669,2.000,6.000,2.000,0.038,0.390,-0.429,0.559,0.380,0.232,0.558,0.364,0.232,-0.177,0.306,-0.493,1.786,2.419,2.299,Touching
1.646,30.495,-69.059,0.011,0.201,-0.454,0.629,0.656,0.200,58.102,3.270,-0.441,1.000,5.000,0.000,-0.290,0.352,-0.431,0.580,0.573,0.154,0.550,0.564,0.152,0.341,0.115,-0.316,1.446,1.836,2.919,Touching
-21.063,95.295,-35.828,-0.139,0.627,-0.236,0.659,0.260,0.281,-4.758,0.415,-1.192,0.000,2.000,6.000,-0.324,0.552,-0.127,0.595,0.195,0.244,0.577,0.177,0.229,0.355,0.860,-0.314,1.524,3.366,1.937,Touching
27.205,94.443,-48.998,0.179,0.621,-0.322,0.692,0.365,0.254,3.868,0.588,-0.788,2.000,0.000,2.000,0.077,0.468,-0.239,0.611,0.307,0.222,0.608,0.286,0.215,0.136,0.838,-0.380,1.884,2.527,2.113,Touching
-11.461,88.684,-20.308,-0.075,0.583,-0.134,0.621,0.397,0.344,-8.233,0.680,-2.578,2.000,0.000,12.000,-0.206,0.394,-0.033,0.532,0.309,0.282,0.521,0.257,0.269,0.228,1.535,-0.436,1.752,4.185,2.384,Touching
-34.631,59.772,-66.845,-0.228,0.393,-0.440,0.705,0.384,0.235,-3.095,0.976,-0.534,1.000,8.000,0.000,-0.450,0.260,-0.366,0.635,0.288,0.187,0.614,0.267,0.182,0.429,1.330,-0.746,1.566,3.764,2.767,Touching
-20.944,80.193,-54.324,-0.139,0.531,-0.360,0.681,0.341,0.220,-4.913,0.642,-0.612,1.000,0.000,2.000,-0.381,0.386,-0.377,0.630,0.276,0.172,0.612,0.225,0.171,0.317,1.312,0.240,1.385,3.171,2.364,Touching
8.695,101.613,-31.470,0.057,0.669,-0.207,0.552,0.375,0.387,9.658,0.561,-1.867,2.000,0.000,10.000,-0.106,0.501,-0.137,0.469,0.312,0.331,0.447,0.286,0.326,-0.034,0.998,-0.141,2.114,2.768,2.013,Touching
-23.755,94.199,-29.249,-0.156,0.620,-0.192,0.678,0.289,0.274,-4.338,0.466,-1.422,1.000,0.000,4.000,-0.374,0.512,-0.093,0.620,0.230,0.232,0.603,0.202,0.210,0.381,1.253,-0.572,1.467,3.296,2.092,Touching
-25.682,93.708,-25.020,-0.169,0.616,-0.165,0.671,0.291,0.336,-3.969,0.473,-2.044,0.000,0.000,15.000,-0.284,0.505,0.001,0.609,0.224,0.293,0.599,0.195,0.254,0.306,1.427,-0.730,1.447,3.856,2.060,Touching
-40.911,38.408,-65.723,-0.269,0.253,-0.432,0.632,0.430,0.284,-2.348,1.702,-0.658,1.000,12.000,0.000,-0.431,0.037,-0.320,0.546,0.357,0.232,0.522,0.331,0.198,0.578,0.986,-1.047,1.835,2.949,2.966,Touching
-29.810,53.856,-80.432,-0.197,0.357,-0.533,0.675,0.407,0.239,-3.420,1.140,-0.449,1.000,4.000,2.000,-0.253,0.144,-0.513,0.604,0.334,0.182,0.599,0.317,0.182,0.339,0.953,-0.157,1.500,2.853,2.923,Touching
-20.832,90.027,-34.169,-0.137,0.592,-0.225,0.705,0.306,0.386,-5.143,0.517,-1.719,1.000,2.000,11.000,-0.159,0.506,-0.051,0.618,0.220,0.347,0.617,0.202,0.310,0.063,1.409,-0.664,1.554,4.678,1.999,Touching
-8.045,43.525,-64.464,-0.053,0.286,-0.424,0.611,0.573,0.275,-11.553,2.001,-0.648,1.000,5.000,4.000,-0.352,0.370,-0.465,0.561,0.466,0.236,0.528,0.458,0.234,0.321,-0.123,0.020,1.502,2.246,1.906,Touching
-27.235,49.325,-70.330,-0.179,0.325,-0.463,0.690,0.495,0.173,-3.850,1.525,-0.375,1.000,7.000,0.000,-0.408,0.141,-0.468,0.628,0.405,0.134,0.611,0.394,0.133,0.343,0.854,0.050,1.470,2.666,2.832,Touching
-22.620,35.594,-70.523,-0.149,0.234,-0.464,0.682,0.512,0.235,-4.585,2.185,-0.507,0.000,1.000,0.000,-0.386,0.268,-0.378,0.635,0.449,0.198,0.621,0.449,0.187,0.286,0.563,-0.799,1.366,2.085,2.647,Touching
-41.419,74.020,-32.497,-0.274,0.490,-0.215,0.702,0.400,0.308,-2.560,0.815,-1.429,1.000,2.000,13.000,-0.516,0.359,-0.095,0.638,0.294,0.261,0.620,0.266,0.234,0.479,1.505,-0.740,1.579,4.408,2.279,Touching
-35.906,90.266,-16.001,-0.236,0.594,-0.105,0.689,0.350,0.369,-2.917,0.590,-3.508,3.000,2.000,9.000,-0.225,0.516,-0.005,0.597,0.265,0.309,0.597,0.256,0.291,0.238,1.108,-0.737,1.666,3.478,2.200,Touching
-31.129,55.039,-69.632,-0.205,0.362,-0.458,0.683,0.417,0.195,-3.334,1.151,-0.425,1.000,8.000,0.000,-0.454,0.251,-0.478,0.615,0.349,0.162,0.579,0.339,0.162,0.451,0.787,0.001,1.575,2.200,2.174,Touching
-33.445,90.757,-40.318,-0.220,0.597,-0.265,0.646,0.370,0.242,-2.936,0.620,-0.911,1.000,0.000,4.000,-0.455,0.438,-0.255,0.595,0.296,0.180,0.575,0.241,0.179,0.382,1.330,-0.209,1.454,3.464,2.401,Touching
-33.770,86.418,-42.998,-0.222,0.569,-0.283,0.673,0.371,0.286,-3.031,0.652,-1.011,1.000,0.000,12.000,-0.312,0.425,-0.203,0.601,0.297,0.238,0.595,0.271,0.221,0.345,1.114,-0.854,1.537,2.993,2.527,Touching
-41.503,63.097,-58.987,-0.275,0.418,-0.391,0.667,0.440,0.267,-2.427,1.053,-0.682,1.000,6.000,2.000,-0.399,0.308,-0.425,0.581,0.341,0.216,0.568,0.317,0.214,0.542,1.048,0.358,1.747,3.093,2.523,Touching
-49.676,69.254,-65.555,-0.329,0.459,-0.434,0.591,0.318,0.363,-1.797,0.694,-0.835,1.000,2.000,4.000,-0.480,0.358,-0.318,0.514,0.256,0.303,0.497,0.242,0.290,0.557,0.543,-0.501,1.720,2.865,2.269,Touching
-14.891,97.429,-31.645,-0.098,0.641,-0.208,0.562,0.319,0.334,-5.737,0.498,-1.602,2.000,0.000,10.000,-0.208,0.529,-0.044,0.481,0.255,0.287,0.471,0.233,0.260,0.221,1.149,-0.772,1.786,2.989,2.200,Touching
13.268,89.071,-53.537,0.088,0.590,-0.355,0.657,0.368,0.288,7.476,0.624,-0.812,1.000,0.000,4.000,0.158,0.444,-0.477,0.608,0.292,0.240,0.606,0.259,0.227,-0.196,1.276,0.861,1.371,3.741,2.692,Touching
-6.831,107.801,-35.431,-0.045,0.709,-0.233,0.554,0.292,0.367,-12.332,0.411,-1.572,2.000,0.000,10.000,-0.191,0.607,-0.081,0.473,0.240,0.322,0.450,0.221,0.299,0.114,1.002,-0.655,1.863,3.040,2.028,Touching
-10.853,39.860,-72.916,-0.071,0.262,-0.480,0.623,0.483,0.252,-8.724,1.840,-0.525,2.000,4.000,0.000,-0.152,0.179,-0.439,0.542,0.390,0.219,0.540,0.384,0.218,0.168,0.894,-0.501,1.608,2.682,2.254,Touching
