f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,class
0.247,0.238,0.248,0.263,0.260,0.261,0.258,0.255,0.251,0.244,0.243,0.242,0.241,0.243,0.240,0.242,0.251,0.254,0.247,0.197,0.928,0.908,0.910,0.935,0.952,0.962,0.956,7.377,0.199,0.010,0.049,0.198,0.007,0.007,0.000,0.221,2.843,No Touching
0.517,0.540,0.478,0.418,0.391,0.384,0.389,0.400,0.388,0.435,0.357,0.326,0.277,0.282,0.271,0.282,0.272,0.259,0.245,0.402,1.095,1.158,1.130,1.068,1.008,0.996,0.993,26.443,0.357,0.059,0.165,0.363,0.052,0.052,0.000,-0.220,1.768,No Touching
0.364,0.430,0.430,0.413,0.429,0.465,0.512,0.543,0.492,0.434,0.396,0.379,0.391,0.398,0.385,0.434,0.376,0.333,0.289,0.368,0.813,0.875,0.952,0.951,0.959,1.026,1.085,27.044,0.361,0.063,0.174,0.366,0.051,0.050,0.000,-0.780,2.798,No Touching
0.353,0.353,0.489,0.492,0.427,0.391,0.365,0.413,0.433,0.418,0.420,0.453,0.505,0.537,0.509,0.451,0.401,0.380,0.393,0.280,0.913,0.829,0.953,0.981,0.957,0.936,0.836,23.372,0.312,0.101,0.323,0.344,0.091,0.087,0.000,-0.329,1.719,No Touching
0.334,0.396,0.376,0.395,0.388,0.354,0.328,0.340,0.422,0.506,0.465,0.398,0.382,0.374,0.437,0.428,0.412,0.436,0.471,0.248,0.978,1.066,1.081,1.061,1.007,0.964,0.899,20.308,0.271,0.072,0.265,0.279,0.062,0.062,0.000,-0.307,2.030,No Touching
0.426,0.351,0.325,0.308,0.342,0.331,0.334,0.387,0.372,0.394,0.388,0.377,0.313,0.349,0.383,0.504,0.479,0.410,0.392,0.322,1.269,1.082,0.996,1.005,1.041,1.061,0.994,19.464,0.260,0.061,0.235,0.258,0.049,0.049,0.000,-0.363,2.681,No Touching
0.227,0.226,0.224,0.246,0.206,0.317,0.298,0.234,0.412,0.461,0.460,0.405,0.339,0.323,0.314,0.340,0.336,0.334,0.400,0.009,0.909,0.937,0.996,0.984,1.030,1.098,0.954,7.439,0.099,0.191,1.921,0.111,0.172,0.171,5.000,-0.347,1.546,No Touching
-0.226,-0.096,-0.045,0.002,0.095,0.120,0.173,0.199,0.227,0.226,0.224,0.246,0.206,0.317,0.298,0.234,0.412,0.461,0.460,-0.278,1.002,0.927,1.005,0.958,1.005,0.916,0.927,-8.809,-0.117,0.147,-1.252,-0.164,0.123,0.114,5.000,0.795,2.669,No Touching
-0.101,-0.170,-0.234,-0.221,-0.284,-0.283,-0.263,-0.121,-0.044,-0.024,0.087,0.099,0.173,0.190,0.219,0.230,0.225,0.240,0.181,-0.122,1.035,1.105,1.033,0.948,0.951,0.905,0.996,-12.621,-0.168,0.081,-0.479,-0.168,0.065,0.065,2.000,0.170,2.546,No Touching
-0.285,-0.293,-0.259,-0.215,-0.206,-0.155,-0.102,-0.152,-0.217,-0.221,-0.272,-0.283,-0.286,-0.151,-0.053,-0.040,0.065,0.091,0.161,-0.036,1.005,0.935,1.021,1.019,0.990,0.969,1.019,-9.718,-0.130,0.094,-0.728,-0.112,0.078,0.076,6.000,-0.459,2.165,No Touching
-0.115,-0.116,-0.163,-0.160,-0.187,-0.244,-0.267,-0.300,-0.272,-0.216,-0.215,-0.171,-0.110,-0.130,-0.196,-0.233,-0.254,-0.286,-0.292,0.022,0.987,1.001,1.027,0.999,1.010,0.923,1.012,-2.492,-0.033,0.088,-2.634,-0.037,0.072,0.072,7.000,0.165,2.573,No Touching
-0.163,-0.148,-0.198,-0.167,-0.277,-0.184,-0.108,-0.130,-0.139,-0.169,-0.172,-0.238,-0.251,-0.302,-0.280,-0.226,-0.219,-0.185,-0.129,0.154,0.971,1.099,0.991,0.993,1.015,1.016,0.985,2.696,0.036,0.082,2.282,0.040,0.069,0.069,5.000,-0.306,2.156,No Touching
-0.187,-0.183,-0.116,-0.120,-0.048,-0.071,-0.192,-0.131,-0.192,-0.173,-0.255,-0.217,-0.113,-0.134,-0.116,-0.179,-0.162,-0.222,-0.246,-0.287,0.913,0.897,0.971,1.016,0.976,1.105,0.965,10.253,0.131,0.104,0.788,0.113,0.083,0.082,2.000,0.654,2.549,No Touching
-0.056,0.028,0.062,0.044,-0.083,-0.183,-0.188,-0.202,-0.116,-0.118,-0.076,-0.032,-0.202,-0.127,-0.178,-0.190,-0.216,-0.251,-0.142,0.305,0.984,0.987,0.979,0.979,1.017,1.049,0.922,14.785,0.197,0.091,0.463,0.215,0.079,0.079,0.000,-0.049,1.944,No Touching
-0.306,0.029,-0.046,-0.078,-0.082,-0.120,-0.072,0.012,0.057,0.063,-0.057,-0.160,-0.196,-0.204,-0.127,-0.118,-0.100,-0.024,-0.161,0.168,1.204,0.837,0.963,0.975,0.982,1.002,0.979,14.137,0.188,0.125,0.666,0.215,0.091,0.089,1.000,-1.901,9.008,No Touching
-0.149,-0.108,-0.091,-0.145,-0.170,-0.218,-0.264,-0.010,-0.030,-0.075,-0.076,-0.121,-0.081,-0.014,0.047,0.067,-0.017,-0.133,-0.207,-0.056,1.001,0.980,0.970,0.992,0.997,1.046,1.088,7.502,0.100,0.148,1.475,0.116,0.118,0.118,6.000,-0.815,3.783,No Touching
-0.127,-0.129,-0.132,-0.137,-0.146,-0.150,-0.151,-0.134,-0.091,-0.113,-0.169,-0.059,-0.282,-0.254,0.017,-0.060,-0.080,-0.092,-0.119,-0.019,0.984,0.988,0.988,0.988,0.994,0.994,0.995,1.072,0.014,0.105,7.321,-0.005,0.072,0.070,11.000,-0.809,6.275,No Touching
-0.139,-0.137,-0.139,-0.142,-0.149,-0.147,-0.150,-0.158,-0.154,-0.159,-0.161,-0.149,-0.153,-0.164,-0.151,-0.157,-0.144,-0.130,-0.137,0.168,0.985,0.988,0.986,0.983,0.989,0.988,0.986,11.622,0.155,0.020,0.128,0.158,0.016,0.015,0.000,-0.192,3.140,Touching
-0.141,0.177,-0.089,-0.143,-0.140,0.123,-0.137,-0.138,-0.139,-0.141,-0.149,-0.147,-0.147,-0.157,-0.157,-0.156,-0.162,-0.151,-0.149,0.225,0.985,1.016,0.975,0.987,0.987,0.946,0.985,13.143,0.175,0.042,0.240,0.166,0.022,0.021,0.000,3.846,19.696,Touching
0.097,-0.101,-0.278,-0.200,-0.152,-0.149,-0.139,-0.074,0.160,-0.142,-0.142,0.063,-0.075,-0.138,-0.139,-0.140,-0.147,-0.149,-0.145,0.138,0.916,1.003,1.048,0.997,0.988,0.987,0.986,13.217,0.176,0.056,0.320,0.172,0.033,0.032,0.000,1.184,8.490,Touching
-0.090,-0.091,-0.213,-0.239,-0.096,0.032,-0.016,-0.369,-0.254,-0.082,-0.150,-0.152,-0.141,-0.184,0.272,-0.143,-0.145,-0.132,0.209,0.160,0.972,0.988,1.030,1.016,0.948,0.942,0.972,12.377,0.165,0.070,0.423,0.170,0.048,0.048,0.000,0.546,5.051,Touching
-0.145,-0.123,-0.116,-0.107,-0.108,-0.113,-0.094,-0.165,-0.205,-0.085,0.026,-0.075,-0.285,-0.401,-0.061,-0.051,-0.163,-0.153,-0.145,0.141,0.988,0.997,0.987,0.983,0.982,0.984,0.980,10.893,0.145,0.055,0.377,0.142,0.036,0.036,0.000,0.130,4.417,Touching
-0.567,-0.350,-0.069,-0.064,-0.203,-0.149,-0.140,-0.128,-0.116,-0.113,-0.106,-0.113,-0.113,-0.178,-0.100,-0.000,-0.090,-0.275,-0.366,0.133,1.336,1.276,1.329,1.031,1.117,1.011,0.981,21.035,0.280,0.321,1.143,0.145,0.229,0.166,0.000,1.896,4.933,Touching
-0.593,-0.674,-0.715,-0.764,-0.689,-0.688,-0.604,-0.405,-0.146,-0.016,-0.204,-0.157,-0.133,-0.134,-0.120,-0.118,-0.104,-0.112,-0.114,1.111,0.760,0.860,1.002,1.037,1.112,1.342,1.339,36.203,0.483,0.378,0.784,0.390,0.338,0.335,0.000,0.524,1.717,Touching
-0.638,-0.622,-0.599,-0.600,-0.567,-0.484,-0.578,-0.644,-0.715,-0.760,-0.695,-0.701,-0.629,-0.466,-0.234,0.009,-0.170,-0.169,-0.135,0.382,0.745,0.721,0.754,0.753,0.676,0.630,0.738,40.530,0.540,0.335,0.619,0.447,0.291,0.278,0.000,0.526,1.948,Touching
-0.700,-0.665,-0.594,-0.624,-0.553,-0.614,-0.654,-0.630,-0.585,-0.606,-0.585,-0.492,-0.554,-0.620,-0.711,-0.744,-0.719,-0.705,-0.662,0.352,0.954,0.831,0.629,0.650,0.629,0.747,0.765,33.831,0.451,0.264,0.585,0.375,0.201,0.193,0.000,1.025,3.620,Touching
-0.222,-0.140,-0.074,-0.089,-0.484,-0.597,-0.703,-0.691,-0.597,-0.622,-0.567,-0.587,-0.662,-0.629,-0.590,-0.605,-0.596,-0.517,-0.504,0.942,0.987,1.548,1.502,1.478,1.100,1.355,1.022,30.361,0.405,0.234,0.578,0.359,0.176,0.170,0.000,0.813,3.271,Touching
-0.134,-0.183,-0.236,-0.203,-0.070,-0.078,-0.181,-0.197,-0.129,-0.016,-0.279,-0.568,-0.671,-0.700,-0.639,-0.598,-0.612,-0.551,-0.627,0.223,0.987,1.023,1.021,1.071,0.974,0.869,1.000,31.437,0.419,0.231,0.550,0.375,0.173,0.168,0.000,0.695,3.245,Touching
-0.153,-0.158,-0.150,-0.155,-0.165,-0.158,-0.131,-0.169,-0.226,-0.225,-0.097,-0.064,-0.152,-0.232,-0.131,-0.026,-0.171,-0.541,-0.607,0.356,0.986,0.985,0.985,0.984,0.988,0.984,0.983,32.840,0.438,0.200,0.457,0.369,0.144,0.122,0.000,1.189,4.346,Touching
-0.154,-0.159,-0.149,-0.152,-0.159,-0.153,-0.151,-0.158,-0.153,-0.153,-0.163,-0.161,-0.135,-0.156,-0.212,-0.238,-0.133,-0.055,-0.109,0.355,0.987,0.990,0.983,0.983,0.991,0.984,0.985,26.994,0.360,0.049,0.135,0.361,0.025,0.025,0.000,-0.193,8.541,No Touching
-0.157,-0.157,-0.153,-0.153,-0.154,-0.151,-0.153,-0.159,-0.152,-0.150,-0.159,-0.154,-0.150,-0.158,-0.155,-0.150,-0.160,-0.163,-0.149,0.353,0.986,0.988,0.985,0.986,0.985,0.984,0.987,26.903,0.359,0.008,0.022,0.356,0.006,0.005,0.000,1.412,4.543,No Touching
-0.164,-0.153,-0.156,-0.159,-0.156,-0.153,-0.156,-0.157,-0.154,-0.153,-0.154,-0.152,-0.153,-0.158,-0.154,-0.148,-0.158,-0.156,-0.151,0.352,0.989,0.983,0.984,0.986,0.984,0.985,0.985,26.548,0.354,0.003,0.008,0.354,0.002,0.002,0.000,0.031,3.145,No Touching
-0.149,-0.149,-0.147,-0.152,-0.144,-0.174,-0.164,-0.153,-0.156,-0.159,-0.156,-0.153,-0.156,-0.157,-0.154,-0.153,-0.154,-0.152,-0.154,0.355,0.983,0.988,0.980,0.984,0.981,1.001,0.989,26.433,0.352,0.004,0.011,0.353,0.003,0.003,0.000,-0.858,3.671,No Touching
-0.154,-0.165,-0.153,-0.166,-0.157,-0.151,-0.156,-0.149,-0.145,-0.153,-0.145,-0.157,-0.176,-0.156,-0.153,-0.158,-0.158,-0.155,-0.152,0.342,0.987,0.991,0.986,0.994,0.984,0.985,0.986,26.236,0.350,0.005,0.015,0.351,0.004,0.004,0.000,-0.447,2.431,No Touching
-0.136,-0.141,-0.148,-0.149,-0.163,-0.158,-0.160,-0.163,-0.150,-0.157,-0.149,-0.149,-0.147,-0.152,-0.144,-0.174,-0.164,-0.153,-0.156,0.347,0.980,0.983,0.985,0.982,0.991,0.987,0.992,26.251,0.350,0.006,0.016,0.351,0.005,0.005,0.000,-0.285,2.382,No Touching
-0.181,-0.154,-0.136,-0.128,-0.120,-0.131,-0.159,-0.161,-0.140,-0.140,-0.157,-0.163,-0.164,-0.157,-0.145,-0.149,-0.153,-0.152,-0.155,-0.158,0.993,0.974,0.973,0.976,0.977,0.992,1.007,12.048,0.602,0.037,0.061,0.601,0.033,0.033,0.000,0.260,1.566,No Touching
-0.050,-0.019,-0.072,-0.081,-0.128,-0.096,0.020,-0.019,-0.174,-0.145,-0.175,-0.338,-0.343,-0.325,-0.242,-0.304,-0.318,-0.280,-0.245,-0.175,1.017,1.038,0.986,1.097,1.034,0.870,0.953,23.701,0.409,0.164,0.401,0.460,0.132,0.126,0.000,-0.782,2.884,No Touching
-0.240,-0.240,-0.245,-0.252,-0.256,-0.253,-0.251,-0.250,-0.244,-0.241,-0.238,-0.235,-0.229,-0.230,-0.229,-0.227,-0.229,-0.251,-0.277,-0.290,0.984,0.983,0.985,0.991,0.998,0.995,0.994,3.981,0.097,0.022,0.229,0.102,0.017,0.016,0.000,-1.209,4.930,No Touching
-0.280,-0.270,-0.269,-0.265,-0.256,-0.200,-0.223,-0.267,-0.305,-0.271,-0.280,-0.266,-0.262,-0.248,-0.247,-0.248,-0.249,-0.249,-0.243,-0.240,0.988,0.979,0.970,0.976,1.010,0.934,0.964,6.082,0.077,0.051,0.666,0.100,0.043,0.038,4.000,-0.830,2.633,No Touching
-0.255,-0.278,-0.284,-0.269,-0.288,-0.279,-0.269,-0.265,-0.259,-0.206,-0.233,-0.302,-0.273,-0.278,-0.265,-0.252,-0.247,-0.248,-0.250,-0.008,0.984,0.989,0.990,0.987,0.993,0.987,0.978,5.590,0.061,0.050,0.816,0.047,0.044,0.043,4.000,-0.067,2.092,No Touching
-0.253,-0.255,-0.247,-0.242,-0.254,-0.264,-0.255,-0.266,-0.283,-0.282,-0.269,-0.282,-0.290,-0.271,-0.269,-0.268,-0.282,-0.198,-0.220,0.051,0.987,0.985,0.982,0.981,0.981,0.983,0.985,2.601,0.035,0.029,0.836,0.039,0.023,0.022,3.000,-0.904,3.364,No Touching
-0.243,-0.248,-0.249,-0.239,-0.239,-0.248,-0.254,-0.255,-0.249,-0.242,-0.251,-0.262,-0.260,-0.259,-0.280,-0.285,-0.271,-0.276,-0.292,0.070,0.982,0.986,0.988,0.980,0.981,0.985,0.988,4.198,0.056,0.019,0.348,0.061,0.016,0.016,0.000,-0.862,2.986,No Touching
-0.247,-0.247,-0.245,-0.243,-0.245,-0.245,-0.241,-0.248,-0.250,-0.242,-0.237,-0.246,-0.254,-0.254,-0.253,-0.243,-0.246,-0.259,-0.266,0.079,0.986,0.986,0.984,0.985,0.985,0.984,0.980,5.401,0.072,0.011,0.156,0.074,0.009,0.009,0.000,-0.907,4.217,No Touching
-0.246,-0.248,-0.247,-0.247,-0.248,-0.245,-0.247,-0.248,-0.246,-0.243,-0.246,-0.245,-0.238,-0.247,-0.250,-0.245,-0.237,-0.244,-0.253,0.075,0.985,0.985,0.983,0.987,0.986,0.982,0.986,5.932,0.079,0.007,0.086,0.079,0.006,0.006,0.000,0.198,2.434,No Touching
-0.251,-0.245,-0.242,-0.249,-0.250,-0.245,-0.244,-0.247,-0.248,-0.246,-0.248,-0.246,-0.247,-0.247,-0.247,-0.245,-0.244,-0.245,-0.245,0.087,0.986,0.983,0.983,0.986,0.986,0.983,0.984,6.298,0.084,0.006,0.075,0.085,0.005,0.005,0.000,-0.119,2.205,No Touching
-0.244,-0.255,-0.246,-0.247,-0.251,-0.245,-0.250,-0.248,-0.240,-0.247,-0.251,-0.247,-0.244,-0.246,-0.248,-0.247,-0.247,-0.247,-0.246,0.090,0.983,0.989,0.984,0.983,0.986,0.982,0.986,6.553,0.087,0.008,0.090,0.087,0.006,0.006,0.000,0.507,3.394,No Touching
-0.249,-0.252,-0.237,-0.239,-0.255,-0.252,-0.243,-0.253,-0.249,-0.246,-0.251,-0.246,-0.248,-0.249,-0.241,-0.245,-0.251,-0.248,-0.244,0.097,0.984,0.985,0.980,0.983,0.986,0.984,0.982,6.939,0.093,0.007,0.077,0.092,0.006,0.006,0.000,0.307,2.385,No Touching
-0.249,-0.250,-0.248,-0.255,-0.251,-0.248,-0.248,-0.254,-0.240,-0.237,-0.252,-0.254,-0.244,-0.250,-0.252,-0.244,-0.251,-0.247,-0.246,0.090,0.983,0.983,0.983,0.987,0.985,0.984,0.984,7.135,0.095,0.006,0.067,0.096,0.005,0.005,0.000,-0.165,2.632,No Touching
