f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-83.075,20.324,-57.449,-0.791,0.194,-0.547,0.017,0.014,0.017,-0.022,0.074,-0.032,0.000,0.000,0.000,-0.790,0.194,-0.547,0.012,0.008,0.012,0.012,0.008,0.012,0.125,-1.316,-0.084,6.611,12.078,5.835,No Touching
-83.152,20.260,-57.454,-0.792,0.193,-0.547,0.017,0.015,0.017,-0.021,0.077,-0.031,0.000,0.000,0.000,-0.792,0.193,-0.549,0.011,0.010,0.012,0.011,0.010,0.011,0.299,-1.087,-0.001,7.347,10.005,6.579,No Touching
-83.246,20.208,-57.342,-0.793,0.192,-0.546,0.025,0.029,0.024,-0.031,0.153,-0.043,0.000,0.000,0.000,-0.793,0.193,-0.549,0.016,0.017,0.017,0.016,0.017,0.016,0.261,1.165,0.453,6.923,14.213,5.424,No Touching
-83.380,20.394,-57.050,-0.794,0.194,-0.543,0.024,0.030,0.024,-0.031,0.154,-0.044,0.000,0.000,0.000,-0.794,0.195,-0.544,0.015,0.018,0.017,0.015,0.018,0.017,0.414,0.957,0.140,7.535,13.233,4.920,No Touching
-83.425,20.363,-57.025,-0.795,0.194,-0.543,0.020,0.027,0.019,-0.025,0.140,-0.036,0.000,0.000,0.000,-0.794,0.194,-0.546,0.011,0.015,0.013,0.011,0.015,0.013,0.473,1.521,0.644,13.651,18.634,7.956,No Touching
-84.273,20.644,-57.612,-0.795,0.195,-0.544,0.019,0.027,0.019,-0.024,0.138,-0.035,0.000,0.000,0.000,-0.795,0.195,-0.545,0.011,0.014,0.013,0.011,0.014,0.013,0.556,1.465,0.669,14.458,18.999,8.345,No Touching
-83.380,20.499,-57.109,-0.794,0.195,-0.544,0.009,0.010,0.011,-0.011,0.053,-0.021,0.000,0.000,0.000,-0.795,0.195,-0.544,0.007,0.008,0.009,0.007,0.008,0.009,1.211,-0.421,-0.419,6.652,4.637,3.450,No Touching
-83.438,20.211,-57.257,-0.795,0.192,-0.545,0.008,0.009,0.010,-0.010,0.048,-0.017,0.000,0.000,0.000,-0.794,0.193,-0.546,0.007,0.007,0.008,0.007,0.007,0.008,-0.029,-0.134,-0.329,2.461,3.280,2.564,No Touching
-83.260,19.767,-57.419,-0.793,0.188,-0.547,0.009,0.013,0.010,-0.011,0.071,-0.019,0.000,0.000,0.000,-0.793,0.189,-0.546,0.007,0.010,0.008,0.007,0.010,0.008,0.218,-1.002,-0.586,2.912,5.442,2.971,No Touching
-83.448,19.327,-57.373,-0.795,0.184,-0.546,0.010,0.013,0.011,-0.012,0.070,-0.019,0.000,0.000,0.000,-0.795,0.185,-0.546,0.008,0.010,0.009,0.008,0.010,0.009,0.153,-0.642,-0.522,2.664,4.840,2.865,No Touching
-85.085,19.154,-57.725,-0.810,0.182,-0.550,0.039,0.013,0.017,-0.049,0.072,-0.031,0.000,0.000,0.000,-0.799,0.183,-0.546,0.024,0.010,0.013,0.021,0.010,0.012,-2.444,-0.528,-1.541,8.456,5.161,6.077,No Touching
-87.574,15.773,-57.034,-0.834,0.150,-0.543,0.056,0.065,0.032,-0.068,0.430,-0.059,0.000,2.000,0.000,-0.807,0.177,-0.546,0.049,0.049,0.021,0.041,0.039,0.021,-0.964,-1.594,0.874,2.390,4.082,4.595,No Touching
-85.991,8.603,-56.301,-0.819,0.082,-0.536,0.072,0.122,0.037,-0.088,1.493,-0.069,0.000,3.000,0.000,-0.806,0.166,-0.543,0.058,0.110,0.028,0.056,0.101,0.027,-0.351,-0.716,0.647,2.136,2.012,3.230,No Touching
-84.073,0.079,-57.002,-0.801,0.001,-0.543,0.084,0.147,0.043,-0.105,194.909,-0.079,0.000,3.000,0.000,-0.793,-0.011,-0.546,0.073,0.132,0.033,0.073,0.132,0.033,-0.493,0.146,0.501,1.781,1.433,2.637,No Touching
-80.642,-11.037,-59.574,-0.768,-0.105,-0.567,0.091,0.134,0.063,-0.119,-1.275,-0.112,0.000,3.000,0.000,-0.725,-0.149,-0.570,0.077,0.112,0.051,0.064,0.107,0.051,-1.050,0.601,0.040,2.454,2.538,2.266,No Touching
-75.677,-19.157,-61.468,-0.721,-0.182,-0.585,0.027,0.078,0.060,-0.037,-0.426,-0.103,0.000,2.000,0.000,-0.720,-0.184,-0.597,0.019,0.062,0.049,0.019,0.062,0.048,-1.268,0.590,0.526,6.178,2.652,2.586,No Touching
-84.305,20.596,-54.188,-0.803,0.196,-0.516,0.059,0.054,0.053,-0.073,0.274,-0.102,0.000,0.000,0.000,-0.816,0.195,-0.510,0.030,0.037,0.036,0.028,0.037,0.036,5.509,0.980,-1.321,42.850,6.084,5.312,Touching
