f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-71.149,17.421,-49.159,-0.791,0.194,-0.546,0.018,0.015,0.018,-0.023,0.079,-0.033,0.000,0.000,0.000,-0.789,0.194,-0.547,0.012,0.009,0.013,0.012,0.009,0.013,0.091,-1.255,-0.157,6.553,10.715,5.648,No Touching
-71.267,17.408,-49.202,-0.792,0.193,-0.547,0.018,0.016,0.018,-0.023,0.081,-0.033,0.000,0.000,0.000,-0.792,0.194,-0.548,0.013,0.010,0.012,0.013,0.010,0.012,0.267,-1.127,-0.067,6.335,9.414,6.033,No Touching
-71.397,17.335,-49.194,-0.793,0.193,-0.547,0.026,0.032,0.025,-0.033,0.165,-0.046,0.000,0.000,0.000,-0.793,0.193,-0.549,0.017,0.019,0.018,0.017,0.019,0.018,0.299,1.071,0.484,6.525,12.252,4.894,No Touching
-71.630,17.570,-48.895,-0.796,0.195,-0.543,0.022,0.029,0.022,-0.028,0.150,-0.040,0.000,0.000,0.000,-0.795,0.195,-0.545,0.013,0.017,0.016,0.013,0.017,0.015,0.472,1.287,0.495,10.735,15.780,6.055,No Touching
-71.493,17.447,-48.861,-0.794,0.194,-0.543,0.021,0.029,0.020,-0.026,0.149,-0.037,0.000,0.000,0.000,-0.793,0.194,-0.545,0.012,0.015,0.014,0.012,0.015,0.013,0.430,1.485,0.617,12.385,17.016,7.739,No Touching
-72.371,17.823,-49.432,-0.795,0.196,-0.543,0.021,0.027,0.018,-0.026,0.139,-0.033,0.000,0.000,0.000,-0.796,0.195,-0.544,0.011,0.014,0.012,0.011,0.014,0.012,0.604,1.833,-0.334,13.438,19.577,6.354,No Touching
-71.504,17.599,-48.893,-0.794,0.196,-0.543,0.008,0.009,0.010,-0.010,0.048,-0.018,0.000,0.000,0.000,-0.794,0.196,-0.544,0.006,0.007,0.008,0.006,0.007,0.008,0.116,-0.322,0.080,2.558,3.795,2.934,No Touching
-71.424,17.295,-49.181,-0.794,0.192,-0.546,0.008,0.010,0.009,-0.010,0.050,-0.017,0.000,0.000,0.000,-0.793,0.193,-0.546,0.006,0.007,0.008,0.006,0.007,0.008,-0.126,-0.127,-0.291,2.695,3.305,2.675,No Touching
-71.356,16.963,-49.155,-0.793,0.188,-0.546,0.009,0.014,0.011,-0.011,0.075,-0.019,0.000,0.000,0.000,-0.793,0.190,-0.545,0.007,0.011,0.009,0.007,0.010,0.008,0.229,-1.013,-0.696,3.085,5.113,3.096,No Touching
-71.543,16.428,-49.285,-0.795,0.183,-0.548,0.010,0.013,0.011,-0.013,0.073,-0.020,0.000,0.000,0.000,-0.795,0.183,-0.547,0.009,0.010,0.009,0.008,0.010,0.009,0.194,-0.411,-0.298,2.364,4.701,2.695,No Touching
-73.224,16.413,-49.540,-0.814,0.182,-0.550,0.041,0.014,0.018,-0.051,0.074,-0.032,0.000,0.000,0.000,-0.803,0.184,-0.546,0.027,0.010,0.013,0.023,0.010,0.012,-2.230,-0.665,-1.583,7.254,5.171,5.958,No Touching
-75.673,12.881,-48.840,-0.841,0.143,-0.543,0.058,0.067,0.034,-0.069,0.470,-0.062,0.000,2.000,0.000,-0.809,0.173,-0.546,0.052,0.054,0.023,0.045,0.043,0.023,-0.756,-1.384,0.814,1.995,3.397,4.103,No Touching
-74.142,6.080,-47.980,-0.824,0.068,-0.533,0.077,0.126,0.039,-0.093,1.872,-0.073,0.000,3.000,0.000,-0.809,0.118,-0.540,0.065,0.115,0.030,0.062,0.114,0.029,-0.163,-0.469,0.440,1.874,1.725,2.864,No Touching
-71.961,-2.702,-48.973,-0.800,-0.030,-0.544,0.091,0.136,0.046,-0.114,-4.525,-0.084,0.000,3.000,0.000,-0.745,-0.062,-0.551,0.084,0.118,0.037,0.079,0.116,0.037,-0.495,0.487,0.551,1.554,1.830,2.353,No Touching
-66.585,-13.096,-50.919,-0.740,-0.146,-0.566,0.064,0.095,0.067,-0.086,-0.656,-0.119,0.000,3.000,0.000,-0.720,-0.161,-0.559,0.045,0.078,0.056,0.039,0.076,0.056,-1.783,0.227,-0.026,5.140,2.152,2.055,No Touching
-64.386,-18.464,-54.264,-0.715,-0.205,-0.603,0.020,0.057,0.044,-0.027,-0.277,-0.073,0.000,0.000,0.000,-0.715,-0.208,-0.609,0.016,0.048,0.036,0.016,0.047,0.035,0.115,0.274,0.103,2.538,2.540,2.205,No Touching
-71.962,17.624,-46.553,-0.800,0.196,-0.517,0.063,0.058,0.057,-0.079,0.296,-0.110,0.000,0.000,0.000,-0.814,0.191,-0.510,0.033,0.042,0.041,0.031,0.042,0.040,5.119,0.927,-1.182,37.272,5.255,4.538,Touching
-68.186,20.431,-46.858,-0.758,0.227,-0.521,0.221,0.087,0.065,-0.292,0.384,-0.124,2.000,0.000,0.000,-0.801,0.223,-0.509,0.093,0.064,0.050,0.076,0.064,0.049,5.920,1.265,-0.491,43.813,6.719,3.690,Touching
-66.771,23.453,-47.461,-0.742,0.261,-0.527,0.395,0.112,0.089,-0.532,0.430,-0.169,8.000,0.000,0.000,-0.784,0.247,-0.509,0.234,0.090,0.074,0.224,0.089,0.073,0.774,0.633,0.002,7.208,3.132,2.733,Touching
-65.867,30.102,-48.727,-0.732,0.334,-0.541,0.398,0.118,0.087,-0.544,0.354,-0.161,8.000,0.000,0.000,-0.763,0.318,-0.538,0.238,0.088,0.070,0.232,0.088,0.070,0.663,0.959,0.336,6.888,4.834,3.066,Touching
-74.196,29.243,-34.865,-0.824,0.325,-0.387,0.359,0.169,0.270,-0.436,0.521,-0.696,6.000,2.000,2.000,-0.787,0.317,-0.486,0.242,0.124,0.203,0.237,0.124,0.178,0.231,0.406,1.524,4.539,4.010,4.544,Touching
-71.431,38.981,-26.185,-0.794,0.433,-0.291,0.277,0.243,0.264,-0.349,0.560,-0.906,2.000,2.000,2.000,-0.756,0.380,-0.261,0.194,0.198,0.215,0.189,0.192,0.214,-0.239,0.138,0.743,4.723,2.284,3.157,Touching
-71.347,46.208,-15.499,-0.793,0.513,-0.172,0.143,0.246,0.209,-0.180,0.479,-1.214,0.000,2.000,2.000,-0.770,0.586,-0.157,0.101,0.203,0.147,0.098,0.194,0.146,-1.193,-0.647,0.497,4.236,2.534,3.855,Touching
-68.631,50.923,-8.920,-0.763,0.566,-0.099,0.130,0.219,0.143,-0.170,0.386,-1.444,0.000,2.000,3.000,-0.739,0.607,-0.124,0.093,0.155,0.093,0.091,0.148,0.088,-1.514,-1.267,2.045,5.758,4.233,7.051,Touching
-67.376,52.947,-13.094,-0.749,0.588,-0.145,0.102,0.185,0.065,-0.136,0.314,-0.448,0.000,0.000,2.000,-0.730,0.607,-0.138,0.078,0.135,0.054,0.077,0.134,0.054,-0.803,-0.488,-0.042,3.522,2.953,2.345,Touching
-72.306,43.213,-19.164,-0.803,0.480,-0.213,0.100,0.206,0.138,-0.124,0.429,-0.650,0.000,0.000,2.000,-0.792,0.544,-0.184,0.084,0.182,0.113,0.083,0.178,0.109,-0.308,0.259,-0.707,2.222,2.235,2.468,Touching
-72.961,36.415,-28.659,-0.811,0.405,-0.318,0.098,0.203,0.166,-0.121,0.502,-0.520,0.000,0.000,2.000,-0.815,0.338,-0.326,0.080,0.164,0.151,0.080,0.155,0.150,-0.154,1.079,0.153,2.312,3.410,1.666,Touching
-73.776,28.224,-38.712,-0.820,0.314,-0.430,0.085,0.087,0.142,-0.104,0.277,-0.329,0.000,0.000,0.000,-0.809,0.306,-0.480,0.070,0.073,0.114,0.070,0.073,0.106,-0.577,0.097,1.099,2.413,2.247,3.236,Touching
-69.666,32.444,-44.893,-0.774,0.360,-0.499,0.062,0.093,0.056,-0.080,0.257,-0.112,0.000,0.000,0.000,-0.743,0.389,-0.512,0.052,0.078,0.045,0.048,0.076,0.043,-0.985,-0.668,0.499,2.916,2.453,2.742,No Touching
-66.537,36.071,-46.995,-0.739,0.401,-0.522,0.033,0.066,0.033,-0.045,0.164,-0.064,0.000,0.000,0.000,-0.727,0.415,-0.522,0.024,0.045,0.023,0.021,0.042,0.023,-1.665,-1.881,0.125,4.914,7.178,4.374,No Touching
-65.091,37.532,-46.852,-0.723,0.417,-0.521,0.009,0.027,0.029,-0.012,0.066,-0.056,0.000,0.000,0.000,-0.722,0.416,-0.523,0.006,0.018,0.018,0.006,0.018,0.018,0.107,-0.976,0.303,6.186,5.730,6.372,No Touching
-64.812,37.519,-47.291,-0.720,0.417,-0.525,0.005,0.016,0.011,-0.007,0.039,-0.021,0.000,0.000,0.000,-0.720,0.414,-0.524,0.004,0.012,0.009,0.004,0.011,0.009,-0.190,1.071,-0.317,3.342,5.164,2.367,No Touching
-64.658,36.814,-47.476,-0.718,0.409,-0.528,0.005,0.009,0.010,-0.007,0.021,-0.018,0.000,0.000,0.000,-0.719,0.410,-0.527,0.004,0.007,0.008,0.004,0.007,0.008,0.047,-0.802,-0.350,2.540,4.637,2.592,No Touching
-64.393,37.449,-47.658,-0.715,0.416,-0.530,0.006,0.018,0.009,-0.008,0.044,-0.018,0.000,0.000,0.000,-0.714,0.412,-0.530,0.005,0.014,0.008,0.005,0.013,0.008,-0.197,1.029,-0.141,2.601,3.970,2.428,No Touching
-64.211,37.896,-47.386,-0.713,0.421,-0.527,0.006,0.020,0.008,-0.008,0.047,-0.016,0.000,0.000,0.000,-0.713,0.413,-0.527,0.005,0.017,0.007,0.005,0.016,0.007,-0.439,0.516,-0.046,2.795,2.332,2.411,No Touching
-64.176,37.856,-47.772,-0.713,0.421,-0.531,0.006,0.022,0.015,-0.008,0.052,-0.028,0.000,0.000,0.000,-0.713,0.420,-0.529,0.004,0.018,0.010,0.004,0.018,0.010,-0.470,0.093,-1.618,2.750,2.387,6.845,No Touching
-64.120,36.750,-48.695,-0.712,0.408,-0.541,0.006,0.034,0.025,-0.009,0.084,-0.045,0.000,0.000,0.000,-0.713,0.411,-0.533,0.005,0.029,0.019,0.005,0.029,0.018,0.186,-0.263,-0.994,3.258,1.958,2.994,No Touching
-64.080,35.006,-49.792,-0.712,0.389,-0.553,0.007,0.026,0.025,-0.009,0.068,-0.045,0.000,0.000,0.000,-0.713,0.389,-0.553,0.006,0.023,0.022,0.005,0.023,0.022,0.135,0.130,-0.061,2.799,1.977,1.901,No Touching
-64.008,34.007,-50.596,-0.711,0.378,-0.562,0.007,0.022,0.019,-0.010,0.059,-0.034,0.000,0.000,0.000,-0.711,0.374,-0.564,0.006,0.018,0.016,0.006,0.017,0.016,-0.099,0.614,0.118,2.646,2.594,2.200,No Touching
-63.618,33.374,-51.633,-0.707,0.371,-0.574,0.010,0.024,0.023,-0.014,0.064,-0.040,0.000,0.000,0.000,-0.707,0.371,-0.573,0.007,0.016,0.017,0.007,0.016,0.017,1.082,1.151,-0.574,4.494,10.533,3.948,No Touching
-64.063,33.404,-51.524,-0.712,0.371,-0.572,0.021,0.047,0.041,-0.029,0.126,-0.072,0.000,0.000,0.000,-0.707,0.374,-0.574,0.014,0.031,0.029,0.013,0.031,0.029,-1.455,0.213,0.516,5.473,5.428,3.938,No Touching
-65.890,31.075,-49.286,-0.732,0.345,-0.548,0.038,0.060,0.060,-0.052,0.172,-0.109,0.000,0.000,0.000,-0.713,0.350,-0.558,0.035,0.048,0.052,0.032,0.048,0.051,-0.442,0.544,0.076,1.694,3.359,1.952,No Touching
-67.304,29.736,-48.406,-0.748,0.330,-0.538,0.038,0.056,0.060,-0.050,0.169,-0.111,0.000,0.000,0.000,-0.766,0.321,-0.526,0.033,0.038,0.050,0.030,0.037,0.049,0.562,1.376,-0.359,1.877,5.379,2.056,No Touching
-69.108,28.165,-46.205,-0.768,0.313,-0.513,0.022,0.028,0.039,-0.029,0.090,-0.077,0.000,0.000,0.000,-0.769,0.320,-0.511,0.014,0.021,0.029,0.014,0.021,0.028,1.578,-0.558,-0.863,5.994,4.611,4.664,No Touching
-69.259,28.626,-46.573,-0.770,0.318,-0.517,0.012,0.020,0.022,-0.015,0.064,-0.043,0.000,0.000,0.000,-0.767,0.324,-0.523,0.009,0.014,0.016,0.008,0.013,0.015,-1.127,-1.713,1.637,4.083,5.869,6.222,No Touching
-69.005,29.242,-46.871,-0.767,0.325,-0.521,0.010,0.008,0.013,-0.013,0.025,-0.025,0.000,0.000,0.000,-0.766,0.326,-0.523,0.007,0.006,0.011,0.007,0.006,0.010,-0.626,-0.133,0.575,3.520,3.808,2.620,No Touching
-68.773,29.302,-47.302,-0.764,0.326,-0.526,0.006,0.007,0.009,-0.009,0.022,-0.018,0.000,0.000,0.000,-0.763,0.326,-0.527,0.005,0.006,0.007,0.005,0.005,0.007,-0.347,0.265,0.597,3.412,3.514,3.389,No Touching
-68.820,29.202,-47.460,-0.765,0.324,-0.527,0.006,0.006,0.011,-0.008,0.019,-0.020,0.000,0.000,0.000,-0.765,0.325,-0.529,0.005,0.005,0.008,0.005,0.005,0.008,-0.222,-0.296,0.379,3.552,3.466,3.510,No Touching
-69.037,29.099,-47.301,-0.767,0.323,-0.526,0.009,0.007,0.013,-0.011,0.023,-0.025,0.000,0.000,0.000,-0.766,0.324,-0.528,0.007,0.006,0.010,0.007,0.006,0.010,-0.557,-0.205,0.763,3.042,3.002,3.897,No Touching
-69.817,28.689,-45.924,-0.776,0.319,-0.510,0.014,0.012,0.028,-0.017,0.039,-0.056,0.000,0.000,0.000,-0.770,0.321,-0.520,0.012,0.009,0.024,0.012,0.009,0.022,-0.383,-1.382,0.832,1.688,5.642,2.514,No Touching
-70.595,28.424,-44.875,-0.784,0.316,-0.499,0.013,0.014,0.028,-0.016,0.043,-0.056,0.000,0.000,0.000,-0.788,0.320,-0.489,0.011,0.011,0.024,0.011,0.011,0.024,0.442,-0.764,-0.073,1.777,3.480,2.014,No Touching
-71.529,28.232,-43.267,-0.795,0.314,-0.481,0.008,0.013,0.018,-0.010,0.042,-0.038,0.000,0.000,0.000,-0.795,0.315,-0.480,0.007,0.011,0.014,0.007,0.011,0.014,0.552,-0.463,-0.408,2.827,3.237,2.793,No Touching
-71.828,28.141,-42.845,-0.798,0.313,-0.476,0.006,0.012,0.012,-0.008,0.038,-0.026,0.000,0.000,0.000,-0.799,0.313,-0.478,0.005,0.010,0.010,0.005,0.010,0.009,0.116,-0.015,0.288,2.254,2.787,3.330,No Touching
-72.008,28.042,-42.899,-0.800,0.312,-0.477,0.007,0.010,0.008,-0.008,0.031,-0.017,0.000,0.000,0.000,-0.801,0.310,-0.478,0.006,0.008,0.006,0.006,0.008,0.006,0.237,0.372,0.573,2.475,2.425,2.954,No Touching
-71.914,27.986,-43.069,-0.799,0.311,-0.479,0.007,0.009,0.010,-0.009,0.029,-0.020,0.000,0.000,0.000,-0.800,0.310,-0.480,0.006,0.007,0.008,0.006,0.007,0.008,0.078,0.458,0.301,2.187,2.858,2.751,No Touching
-71.718,27.853,-43.449,-0.797,0.309,-0.483,0.008,0.008,0.009,-0.010,0.025,-0.019,0.000,0.000,0.000,-0.795,0.309,-0.483,0.006,0.006,0.007,0.006,0.006,0.007,-0.440,0.200,0.439,2.249,2.523,2.645,No Touching
-71.675,27.729,-43.619,-0.796,0.308,-0.485,0.007,0.007,0.009,-0.009,0.023,-0.019,0.000,0.000,0.000,-0.796,0.307,-0.487,0.006,0.006,0.007,0.006,0.005,0.007,-0.401,0.389,0.763,2.561,2.911,2.973,No Touching
-71.638,27.657,-43.779,-0.796,0.307,-0.486,0.006,0.006,0.007,-0.008,0.021,-0.015,0.000,0.000,0.000,-0.795,0.307,-0.487,0.005,0.005,0.006,0.005,0.005,0.006,-0.344,0.706,0.357,2.780,3.619,2.376,No Touching
-71.610,27.812,-43.647,-0.796,0.309,-0.485,0.006,0.024,0.009,-0.007,0.078,-0.019,0.000,0.000,0.000,-0.795,0.306,-0.486,0.005,0.013,0.007,0.005,0.012,0.007,-0.365,2.988,0.567,2.869,12.448,4.670,No Touching
-71.534,28.761,-43.156,-0.795,0.320,-0.480,0.006,0.030,0.013,-0.007,0.094,-0.027,0.000,0.000,0.000,-0.795,0.307,-0.482,0.005,0.024,0.010,0.005,0.022,0.010,-0.292,1.227,0.317,3.288,4.145,2.702,No Touching
-71.388,29.631,-42.891,-0.793,0.329,-0.477,0.006,0.029,0.012,-0.008,0.090,-0.026,0.000,0.000,0.000,-0.792,0.336,-0.477,0.005,0.024,0.010,0.005,0.023,0.010,-0.404,0.410,-0.092,3.571,3.262,2.884,No Touching
-71.218,30.854,-42.521,-0.791,0.343,-0.472,0.005,0.023,0.012,-0.006,0.067,-0.025,0.000,0.000,0.000,-0.792,0.343,-0.472,0.004,0.014,0.009,0.004,0.014,0.009,0.432,-0.175,-0.676,2.856,6.087,3.621,No Touching
