f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,class
-8.488,-3.216,-27.577,-0.283,-0.107,-0.919,0.018,0.013,0.033,-0.063,-0.125,-0.036,0.000,0.000,0.000,-0.286,-0.108,-0.929,0.013,0.011,0.022,0.012,0.011,0.020,1.492,0.242,2.215,5.335,2.186,7.122,NoTouching
-10.859,25.540,-4.221,-0.362,0.851,-0.141,0.042,0.115,0.106,-0.117,0.135,-0.753,0.000,0.000,0.000,-0.355,0.882,-0.104,0.035,0.086,0.096,0.035,0.085,0.094,0.432,-1.004,-0.228,2.317,3.455,1.606,NoTouching
-12.051,22.576,17.164,-0.402,0.753,0.572,0.023,0.054,0.098,-0.058,0.072,0.171,0.000,0.000,0.000,-0.396,0.770,0.593,0.018,0.049,0.086,0.018,0.048,0.086,-1.319,-0.265,-0.178,4.927,1.562,1.589,NoTouching
-11.624,19.985,21.704,-0.387,0.666,0.723,0.018,0.095,0.106,-0.046,0.143,0.147,0.000,0.000,0.000,-0.383,0.683,0.670,0.015,0.072,0.092,0.015,0.070,0.085,-0.318,-0.093,0.765,1.937,2.564,2.088,NoTouching
-16.195,24.881,6.319,-0.540,0.829,0.211,0.045,0.069,0.244,-0.083,0.084,1.159,0.000,0.000,1.000,-0.545,0.837,0.379,0.035,0.053,0.218,0.033,0.052,0.203,1.029,-1.007,-0.722,2.924,3.353,2.017,NoTouching
-11.746,13.097,-21.254,-0.392,0.437,-0.708,0.033,0.093,0.096,-0.085,0.213,-0.136,0.000,0.000,0.000,-0.397,0.420,-0.747,0.025,0.072,0.077,0.025,0.071,0.072,0.296,0.432,1.081,3.431,3.062,2.986,NoTouching
-13.391,19.599,-15.392,-0.446,0.653,-0.513,0.094,0.126,0.139,-0.211,0.193,-0.271,0.000,0.000,0.000,-0.416,0.653,-0.560,0.076,0.095,0.122,0.069,0.095,0.112,-1.118,0.273,0.231,3.116,3.097,1.853,NoTouching
-14.569,18.754,17.410,-0.486,0.625,0.580,0.024,0.094,0.072,-0.049,0.150,0.123,0.000,0.000,0.000,-0.478,0.628,0.605,0.021,0.078,0.066,0.020,0.078,0.066,-0.145,-0.380,-0.173,1.846,2.063,1.459,NoTouching
-14.600,19.941,-2.450,-0.487,0.665,-0.082,0.092,0.213,0.491,-0.189,0.321,-6.007,0.000,0.000,0.000,-0.510,0.600,-0.000,0.076,0.164,0.403,0.072,0.152,0.397,0.448,1.343,-0.443,2.145,3.892,2.138,NoTouching
-11.857,10.864,-22.508,-0.395,0.362,-0.750,0.118,0.131,0.213,-0.299,0.361,-0.284,0.000,0.000,0.000,-0.348,0.339,-0.833,0.097,0.107,0.193,0.091,0.104,0.176,-0.872,0.705,0.521,2.609,2.557,1.623,NoTouching
56.050,50.309,-1.092,1.868,1.677,-0.036,0.245,0.554,0.330,0.131,0.330,-9.061,0.000,0.000,1.000,1.816,1.488,0.077,0.160,0.509,0.287,0.150,0.493,0.264,1.572,0.320,-0.546,6.023,1.517,1.988,NoTouching
47.759,2.043,32.439,1.592,0.068,1.081,0.451,1.922,1.011,0.283,28.222,0.935,0.000,1.000,2.000,1.600,1.245,0.782,0.380,1.703,0.860,0.380,1.581,0.775,-0.096,-0.764,0.836,1.938,2.062,2.414,NoTouching
40.786,-24.350,33.625,1.360,-0.812,1.121,0.430,1.698,1.222,0.316,-2.092,1.090,0.000,2.000,2.000,1.388,-0.486,0.809,0.372,1.433,1.087,0.370,1.431,1.064,-0.047,-0.137,0.485,1.720,1.953,1.961,NoTouching
33.468,-19.580,31.757,1.154,-0.675,1.095,0.417,1.780,1.216,0.361,-2.636,1.110,0.000,1.000,1.000,1.234,-0.651,0.944,0.381,1.587,1.097,0.376,1.587,1.091,-0.210,-0.039,0.311,1.430,1.555,1.590,NoTouching
55.866,46.879,14.899,1.862,1.563,0.497,0.367,0.678,0.547,0.197,0.434,1.101,0.000,1.000,2.000,2.091,1.739,0.735,0.339,0.476,0.486,0.330,0.456,0.461,-0.390,-1.811,-0.392,1.585,6.070,1.759,NoTouching
52.440,88.650,-2.677,1.748,2.955,-0.089,0.342,1.667,0.681,0.196,0.564,-7.629,0.000,0.000,3.000,1.686,2.913,0.200,0.269,1.354,0.483,0.257,1.351,0.434,0.937,0.895,-1.942,3.010,2.846,6.231,NoTouching
52.462,54.999,13.422,1.692,1.774,0.433,0.207,0.447,0.362,0.122,0.252,0.837,0.000,0.000,2.000,1.698,1.734,0.581,0.172,0.306,0.301,0.171,0.302,0.258,-0.280,0.229,-0.863,2.247,3.577,2.491,NoTouching
35.939,2.968,26.541,1.198,0.099,0.885,0.222,1.868,0.787,0.186,18.880,0.890,0.000,1.000,0.000,1.230,1.370,0.732,0.184,1.603,0.634,0.184,1.438,0.613,-0.680,-0.976,0.869,2.911,2.468,2.448,NoTouching
53.644,-9.875,28.133,1.788,-0.329,0.938,0.891,2.063,0.983,0.498,-6.267,1.048,0.000,1.000,2.000,1.790,-0.411,0.728,0.815,1.895,0.864,0.815,1.890,0.845,-0.009,-0.078,0.307,1.375,1.465,1.755,NoTouching
46.005,52.102,5.794,1.484,1.681,0.187,0.450,0.395,0.286,0.303,0.235,1.529,0.000,0.000,4.000,1.475,1.608,0.162,0.390,0.302,0.258,0.390,0.299,0.257,0.046,0.434,-0.173,1.790,3.701,1.656,NoTouching
-1.835,-6.494,-27.741,-0.061,-0.216,-0.925,0.018,0.086,0.041,-0.296,-0.397,-0.044,0.000,0.000,0.000,-0.067,-0.270,-0.909,0.015,0.079,0.034,0.015,0.070,0.033,0.561,0.663,-0.635,2.241,1.754,2.227,NoTouching
-4.764,9.832,-27.360,-0.159,0.328,-0.912,0.016,0.042,0.037,-0.100,0.127,-0.041,0.000,0.000,0.000,-0.163,0.331,-0.911,0.012,0.036,0.032,0.012,0.036,0.032,0.983,0.294,-0.020,3.682,1.981,2.113,NoTouching
-3.104,9.219,-28.098,-0.103,0.307,-0.937,0.054,0.081,0.045,-0.520,0.263,-0.048,4.000,0.000,0.000,-0.106,0.339,-0.932,0.040,0.065,0.032,0.040,0.057,0.032,0.413,-1.063,-0.747,3.642,3.218,3.983,NoTouching
-4.280,8.516,-28.327,-0.143,0.284,-0.944,0.012,0.023,0.018,-0.083,0.081,-0.019,0.000,0.000,0.000,-0.144,0.285,-0.941,0.009,0.020,0.012,0.009,0.020,0.011,1.352,0.124,-2.010,4.358,1.908,7.295,NoTouching
